title,doctor_url,specialization,kraj,nepritomnost,doctor_id,zastupenie
"Všeobecná ambulancia pre dospelých, Banská Bystrica, (MUDr. Taťána Švédová)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/vseobecna-ambulancia-pre-dospelych-banska-bystrica-mudr.-tatana-svedova.html?page_id=95412, Všeobecné lekárstvo,Banskobystrický samosprávny kraj,"Neprítomnosti:
od 16.09.2022
do 10.10.2022
																		, 16.9.2022-23.9.2022- MUDr. Tóthová; 26.9.2022-10.10.2022- MUDr. Kováčová (PreventCare s.r.o.)",66-31935664-A0001,"MUDr. Mária Tóthová

miesto prevádzky: Spojová 6986/25, 97404 Banská Bystrica"
"Ambulancia zubného lekárstva, Banská Bystrica, (ŠVÉDASTOM, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-zubneho-lekarstva-banska-bystrica-svedastom.html?page_id=96752, Zubné lekárstvo,Banskobystrický samosprávny kraj,"Neprítomnosti:
od 16.09.2022
do 10.10.2022",66-45389306-A0002,"GL-DENT, s.r.o.

miesto prevádzky: 1.mája 635/2, 97613 Slovenská Ľupča"
"Všeobecná ambulancia pre dospelých, MUDr. Richard Didič, Brezno, (GERMED, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/vseobecna-ambulancia-pre-dospelych-mudr.-richard-didic-brezno-germed.html?page_id=93869, Všeobecné lekárstvo,Banskobystrický samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 26.09.2022
																		, sestrička je v ambulancii riaďte sa jej pokynmi 048/6111120",66-45623279-A0001,"NOVAPHARM, s.r.o.

miesto prevádzky: Československej Armády 60/12, 97701 Brezno
zástup každý deň do 9:30


U-zdrav. s. r. o.

miesto prevádzky: Sládkovičova 77/8, 97681 Podbrezová
po 9:30 do konca PD."
"Všeobecná ambulancia pre dospelých, MUDr. Janka Adamčáková, Brezno, (MEDIJANE s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/vseobecna-ambulancia-pre-dospelych-mudr.-janka-adamcakova-brezno-medijane.html?page_id=127850, Všeobecné lekárstvo,Banskobystrický samosprávny kraj,"Neprítomnosti:
od 14.09.2022
do 05.10.2022
																		, zastupuje  14 a 16.9. 22 MUDr.Mikloško Erik ,
19-23.9.2022 MUDr. Psotka,  26 -30.9.2022 MUDr.Gál, 
3-5.10.2022 MUDr.Mikloško Erik",66-51261791-A0001,"TATRAMEDIKs.r.o.

miesto prevádzky: Hlavná 62, 97656 Pohronská Polhora
14-16.9.2022a 3-5.10.2022 


Psotka Med s.r.o.

miesto prevádzky: Štúrova 880/3, 97701 Brezno
19-23.9.2022 


U-zdrav. s. r. o.

miesto prevádzky: Sládkovičova 77/8, 97681 Podbrezová
26 -30.9.2022"
"Všeobecná ambulancia pre dospelých, Detva, (X-MEDIC s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-dospelych-detva-x-medic.html?page_id=96664, Všeobecné lekárstvo,Banskobystrický samosprávny kraj,"Neprítomnosti:
od 22.09.2022
do 30.09.2022",66-45341095-A0001,"MEDIGOL, s.r.o.

miesto prevádzky: J. G. Tajovského 1320/5, 96212 Detva
22. 09. 2022 - 23. 09. 2022


MEDIJAN, s.r.o.

miesto prevádzky: Jarmočná 1476/39, 96205 Hriňová
26. 09. 2022 - 30. 09. 2022


MUDr. Matúš Záchenský

miesto prevádzky: J. G. Tajovského 1320/5, 96212 Detva
29. 09. 2022"
"Všeobecná ambulancia pre deti a dorast, Krupina, (MUDr. Martin Olej s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/krupina/vseobecna-ambulancia-pre-deti-a-dorast-krupina-mudr.-martin-olej.html?page_id=95146, Pediatria,Banskobystrický samosprávny kraj,"Neprítomnosti:
od 23.09.2022
do 27.09.2022
																		, -akútne prípady zastupuje  MUDr.Milota Fraňová 
-volať 0452901010
-sestra  je  v ambulancii",66-36641596-A0002,"MUDr. Milota Fraňová

miesto prevádzky: 29. augusta 610/5, 96301 Krupina"
"Ambulancia klinickej psychológie, Mgr. Anna Paulovičová, Krupina, (Mgr. Anna Paulovičová)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/krupina/ambulancia-klinickej-psychologie-mgr.-anna-paulovicova-krupina-mgr.-anna-paulovicova.html?page_id=129609," Klinická psychológia, Psychoterapia",Banskobystrický samosprávny kraj,"Neprítomnosti:
od 12.09.2022
do 26.09.2022",66-41909941-A0001,"KLIP s.r.o.

miesto prevádzky: Divadelná 2037/4, 96001 Zvolen"
"Všeobecná ambulancia pre dospelých, Fiľakovo, (LAM - MED, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/vseobecna-ambulancia-pre-dospelych-filakovo-lam-med.html?page_id=94157, Všeobecné lekárstvo,Banskobystrický samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 30.09.2022",66-45390045-A0001,"LOMALIB, s.r.o.

miesto prevádzky: Rúbanisko II 3001/77, 98401 Lučenec
19.9.2022; 22.-23.9.2022; 26.9.-28.9.2022


FORAMED s.r.o.

miesto prevádzky: SNP 2073/8, 98601 Fiľakovo
20.-21.9.2022"
"Všeobecná ambulancia pre dospelých, Fiľakovo, (VIVAXMED, s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/vseobecna-ambulancia-pre-dospelych-filakovo-vivaxmed-s.-r.-o..html?page_id=96548, Všeobecné lekárstvo,Banskobystrický samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 28.09.2022
																		, Zastupuje  MUDr.Libor Lóška, Lučenec, Rúbanisko II,poliklinika Q",66-43840426-A0002,MUDr.Libor Lóška
"Ambulancia zubného lekárstva, Fiľakovo, (EMELI s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/ambulancia-zubneho-lekarstva-filakovo-emeli.html?page_id=135544, Zubné lekárstvo,Banskobystrický samosprávny kraj,"Neprítomnosti:
od 07.02.2022
do 01.02.2023
																		, Zastupovanie len pre akútne prípady,  volať 0918 982 529.",66-53111401-A0001,"KÖNIG - DENT s.r.o.

miesto prevádzky: Ulica Hany Ponickej 6325/19, 98401 Lučenec


MUDr. Peter Pančík

miesto prevádzky: Šávoľská cesta 323/1, 98601 Fiľakovo


KEHER Dent s.r.o.

miesto prevádzky: Továrenská 602, 98401 Lučenec


MUDr. Jozef Michalko

miesto prevádzky: Námestie republiky 2373/15, 98401 Lučenec"
