title,doctor_url,specialization,kraj,nepritomnost,doctor_id,zastupenie
"Gynekologická ambulancia, Moldava nad Bodvou, (KG + M, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/gynekologicka-ambulancia-moldava-nad-bodvou-kg-m.html?page_id=80679," Gynekológia a pôrodníctvo, Ultrazvuk v gynekológii a pôrodníctve",Košický samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 30.09.2022
																		, Dna 20.9.,27.9.,29.9.,zastupovanie na ambulancii,ainformacie u sestricky na ambulancii",68-43794050-A0001,"LP + AP s.r.o.

miesto prevádzky: Jasov 73, 04423 Jasov
T.c.4668500


GYN Turňa, s.r.o.

miesto prevádzky: Hájska cesta 366/1, 04402 Turňa nad Bodvou
t.c.0948737313"
"Ambulancia Klinickej psychológie Aklipsy s.r.o., Moldava nad Bodvou, (Aklipsy spol. s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/ambulancia-klinickej-psychologie-aklipsy-moldava-nad-bodvou-aklipsy-spol..html?page_id=105422," Klinická psychológia, Dopravná psychológia",Košický samosprávny kraj,"Neprítomnosti:
od 21.09.2022
do 26.09.2022
																		, V súrnych prípadoch sme dostupní na obvyklom tel.čísle.",68-50309943-A0001,"Centrum klinickej psychológie s.r.o.

miesto prevádzky: Hviezdoslavova 13/34A, 09101 Stropkov
- pre akútne stavy, SÚRNE prípady"
"Ambulancia zubného lekárstva, MUDr. Rastislav Dráč, Košice-Staré Mesto, (Tomka Dent Košice s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-i/ambulancia-zubneho-lekarstva-mudr.-rastislav-drac-kosice-stare-mesto-tomka-dent-kosice.html?page_id=126203, Zubné lekárstvo,Košický samosprávny kraj,"Neprítomnosti:
od 23.09.2022
do 26.09.2022",68-51017539-A0001,"LUK Dent s.r.o.

miesto prevádzky: Biela 262/2, 04001 Košice-Staré Mesto"
"Všeobecná ambulancia pre dospelých, MUDr. Iveta Štofaníková, Košice-Staré Mesto, (MED - OAS s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-i/vseobecna-ambulancia-pre-dospelych-mudr.-iveta-stofanikova-kosice-stare-mesto-med-oas-s.-r.-o..html?page_id=81823, Všeobecné lekárstvo,Košický samosprávny kraj,"Neprítomnosti:
od 16.09.2022
do 25.09.2022",68-36588687-A0001,"Medicell, spol. s r.o.

miesto prevádzky: Československej armády 1175/18, 04001 Košice-Staré Mesto"
"Ambulancia zubného lekárstva, MUDr. Katarína Mižáková, Košice-Sever, (JES DENT s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-i/ambulancia-zubneho-lekarstva-mudr.-katarina-mizakova-kosice-sever-jes-dent.html?page_id=140104, Zubné lekárstvo,Košický samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 14.10.2022
																		, V prípade bolesti prosím volajte na naše číslo 055/6323963, po dohode ordinujeme u kolegu vo vedľajšej ambulancii. Ďakujeme za pochopenie.",68-50933507-A0001,"Mesárošová Dent s.r.o.

miesto prevádzky: Kováčska 270/40, 04001 Košice-Staré Mesto"
"Všeobecná ambulancia pre dospelých, Košice-Sever, (MUCOMED s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-i/vseobecna-ambulancia-pre-dospelych-kosice-sever-mucomed.html?page_id=140246, Všeobecné lekárstvo,Košický samosprávny kraj,"Neprítomnosti:
od 23.09.2022
do 26.09.2022
																		, zdravotna sestra pritomna na ambulancii",51-47850230-A0003,"MUCOMED s.r.o.

miesto prevádzky: Švábska 7077/31, 08005 Prešov"
"Ambulancia klinickej psychológie, PhDr. Katarína Mirossayová, Košice-Staré Mesto, (Ambulancia ARCHÉ s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-i/ambulancia-klinickej-psychologie-phdr.-katarina-mirossayova-kosice-stare-mesto-ambulancia-arche.html?page_id=140575," Klinická psychológia, Psychoterapia",Košický samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 26.09.2022",68-52764303-A0001,"Centrum klinickej psychológie s.r.o.

miesto prevádzky: Hviezdoslavova 13/34A, 09101 Stropkov"
"Ambulancia klinickej imunológie a alergológie, MUDr. Daniela Šafčáková, Košice-Dargov.hrdinov, (ALERSA, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-iii/ambulancia-klinickej-imunologie-a-alergologie-mudr.-daniela-safcakova-kosice-dargov.hrdinov-alersa.html?page_id=81545, Klinická imunológia a alergológia,Košický samosprávny kraj,"Neprítomnosti:
od 21.09.2022
do 26.09.2022",68-36697001-A0001,"STALERG s.r.o.

miesto prevádzky: Maršala Koneva 985/1, 04022 Košice-Dargov.hrdinov"
"Mobilné antigénové odberové miesto pre samoplatcov, Košice-Dargov.hrdinov, (APOTHEKA KOŠICE, s.r.o.)",https://www.e-vuc.sk/ksk/mobilne-odberove-miesta/kosice-iii/mobilne-antigenove-odberove-miesto-pre-samoplatcov-kosice-dargov.hrdinov-apotheka-kosice.html?page_id=141748, Mobilné odberové miesto,Košický samosprávny kraj,"Neprítomnosti:
od 23.09.2022
do 31.10.2022
																		, MOM Jegorovovo námestie 5 má prerušenú prevádzku. Antigénové testy a testy PCR vykonávame na MOM Bencúrova 6, Košice-Staré mesto. Všetky informácie sú zverejnené na https://www.agtest-kosice.ga/",83-47619945-A0002,"APOTHEKA KOŠICE, s.r.o.

miesto prevádzky: prízemie tehlovej budovy, testovanie cez okná, Bencúrova 1518/6, 04001 Košice-Staré Mesto"
"Neurologická ambulancia, MUDr. Daniela Arendárčiková, Košice-Nad jazerom, (ARIADNÉ - DAREN s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-iv/neurologicka-ambulancia-mudr.-daniela-arendarcikova-kosice-nad-jazerom-ariadne-daren.html?page_id=80239, Neurológia,Košický samosprávny kraj,"Neprítomnosti:
od 12.09.2022
do 26.09.2022",68-36604402-A0001,"METTA, s. r. o.

miesto prevádzky: Maršala Koneva 985/1, 04022 Košice-Dargov.hrdinov"
