title,doctor_url,specialization,kraj,nepritomnost,doctor_id,zastupenie
"Ambulancia zubného lekárstva, Bardejov, (STOMADENT s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-zubneho-lekarstva-bardejov-stomadent.html?page_id=100188, Zubné lekárstvo,Prešovský samosprávny kraj,"Neprítomnosti:
od 22.08.2022
do 21.10.2022",67-36501778-A0001,"IgoDent, s.r.o.

miesto prevádzky: Nám. L. Berku 3, 08501 Bardejov"
"Ambulancia zubného lekárstva, Humenné, (DOJORI, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/ambulancia-zubneho-lekarstva-humenne-dojori.html?page_id=97566," Zubné lekárstvo, Dentoalveolárna chirurgia, Implantológia",Prešovský samosprávny kraj,"Neprítomnosti:
od 14.09.2022
do 06.10.2022",67-36512753-A0001,"VT - DENT, s.r.o.

miesto prevádzky: 1.mája 2045, 06601 Humenné"
"Všeobecná ambulancia pre dospelých, Slovenská Ves, (Maďar Med, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/vseobecna-ambulancia-pre-dospelych-slovenska-ves-madar-med.html?page_id=120255, Všeobecné lekárstvo,Prešovský samosprávny kraj,"Neprítomnosti:
od 22.09.2022
do 25.09.2022",67-47519991-A0001,"PractiCARE, s.r.o.

miesto prevádzky: 261, 05955 Ždiar"
"Ambulancia zubného lekárstva, Spišský Štvrtok, (PODENT)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levoca/ambulancia-zubneho-lekarstva-spissky-stvrtok-podent.html?page_id=99791, Zubné lekárstvo,Prešovský samosprávny kraj,"Neprítomnosti:
od 17.01.2022
do 30.09.2022
																		, Zastupuje MDDr. Jozef onduško v Hrabušiciach. Je možné sa objednať na čísle 053/44 902 12",67-36651338-A0001,"URBANDENT s.r.o.

miesto prevádzky: Hlavná 171/46, 05315 Hrabušice
 053/ 44 902 12"
"COR-azone,s.r.o. - kardiologická  ambulancia , Poprad, (Cor-azone)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/cor-azone-kardiologicka-ambulancia-poprad-cor-azone.html?page_id=97407, Kardiológia,Prešovský samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 25.09.2022",67-45328561-A0001,"REKA Kežmarok, s.r.o.

miesto prevádzky: Dr. Daniela Fischera 2331/6A, 06001 Kežmarok
22.-23.9.2022

UrgentnýpríjemNemocnica Poprad a.s.

19.9.-21.9.2022"
"Všeobecná ambulancia pre dospelých, Vysoké Tatry, (TATRA INVEST COMPANY, spol. s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/vseobecna-ambulancia-pre-dospelych-vysoke-tatry-tatra-invest-company-spol..html?page_id=100249, Všeobecné lekárstvo,Prešovský samosprávny kraj,"Neprítomnosti:
od 16.09.2022
do 29.09.2022",67-36444774-A0001,"AlergoImuno centrum s.r.o.

miesto prevádzky: Zdravotné stredisko, Tatranská Lomnica552, 06201 Vysoké Tatry"
"Ortopedická ambulancia, Poprad, (ORTHOS-K, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ortopedicka-ambulancia-poprad-orthos-k.html?page_id=104303, Ortopédia,Prešovský samosprávny kraj,"Neprítomnosti:
od 20.09.2022
do 31.10.2022",67-44055111-A0001,"MUDr. Andrej Paľa - ortopedická ambulancia, s.r.o.

miesto prevádzky: Mnoheľova 2, 05801 Poprad


MUDr. Mária Paráková

miesto prevádzky: Banícka 800/27, 05801 Poprad


AVICENA ORT

miesto prevádzky: Okružná 761/25, 05801 Poprad"
"Ortopedická ambulancia, Vysoké Tatry, (ORTHOS-K, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ortopedicka-ambulancia-vysoke-tatry-orthos-k.html?page_id=104304, Ortopédia,Prešovský samosprávny kraj,"Neprítomnosti:
od 20.09.2022
do 31.10.2022",67-44055111-A0002,"MUDr. Andrej Paľa - ortopedická ambulancia, s.r.o.

miesto prevádzky: Mnoheľova 2, 05801 Poprad


MUDr. Mária Paráková

miesto prevádzky: Banícka 800/27, 05801 Poprad


AVICENA ORT

miesto prevádzky: Okružná 761/25, 05801 Poprad"
"Mobilné odberové miesto, Štrba, (DOM SENIOROV Tatranská Štrba, n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/mobilne-odberove-miesta/poprad/mobilne-odberove-miesto-strba-dom-seniorov-tatranska-strba-n.o..html?page_id=136263, Mobilné odberové miesto,Prešovský samosprávny kraj,"Neprítomnosti:
od 12.03.2022
do 30.11.2022",45-45743991-A0002,"DOM SENIOROV Tatranská Štrba, n.o.

miesto prevádzky: Horská 76/28, 05941 Štrba"
"Dermatovenerologická ambulancia, Prešov, (DERMA-CARE s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/dermatovenerologicka-ambulancia-presov-derma-care.html?page_id=97511, Dermatovenerológia,Prešovský samosprávny kraj,"Neprítomnosti:
od 23.09.2022
do 23.10.2022",67-43856993-A0001,"MUDr. Andrea Pasečiaková

miesto prevádzky: budova ŽSR, Masarykova 11266/31, 08001 Prešov"
"Gynekologická ambulancia, Prešov, (ORPEGA, s.r.o.,)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/gynekologicka-ambulancia-presov-orpega-1.html?page_id=99613, Gynekológia a pôrodníctvo,Prešovský samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 26.09.2022
																		, len akútne prípady",67-36486817-A0002,"GYNPRO, s. r. o.

miesto prevádzky: Masarykova 11266/31, 08001 Prešov"
"Gynekologická ambulancia, Prešov, (ORPEGA, s.r.o.,)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/gynekologicka-ambulancia-presov-orpega.html?page_id=99614, Gynekologická urológia,Prešovský samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 26.09.2022
																		, len akútne prípady",67-36486817-A0003,"GYNPRO, s. r. o.

miesto prevádzky: Masarykova 11266/31, 08001 Prešov"
"Ambulancia vnútorného lekárstva, Prešov, (TRIMEDIN s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/ambulancia-vnutorneho-lekarstva-presov-trimedin-s.-r.-o..html?page_id=100300, Vnútorné lekárstvo,Prešovský samosprávny kraj,"Neprítomnosti:
od 12.09.2022
do 21.10.2022
																		, s miestom výkonu činnosti:
Zastupovanie:
MUDr. Leško Anton, Matice slovenskej 2A od 8.9.2022 do 30.9.2022
Tel: 051 774 7654
MUDr.Viňanská Daniela, Konštantínová 17, Prešov  od 3.10.2022 do 7.10.2022
Tel:051 77 11 972
MUDr. Bachratý Augustín, Hlavná 2972/60, Prešov od 10.10.2022 do 14.10.2022
Tel.051 770 353
MUDr. Čenčárik Juraj, Prostejovská 125, Prešov od 17.10.2022 do 21.10.2022
Tel. 0517 77 21 498",67-36496090-A0001,"LEAMED, s r.o.,

miesto prevádzky: Matice slovenskej 2A, 08001 Prešov


MEDISPOL, s.r.o.

miesto prevádzky: Konštantínova 17, 08001 Prešov


Interba, s.r.o.

miesto prevádzky: Hlavná 60, 08001 Prešov


INTERMEDIS, s.r.o.

miesto prevádzky: Prostějovská 125, 08001 Prešov"
"Ambulancia úrazovej chirurgie, MUDr Roman Timko, Prešov, (wesper, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/ambulancia-urazovej-chirurgie-mudr-roman-timko-presov-wesper-a.s..html?page_id=100456, úrazová chirurgia,Prešovský samosprávny kraj,"Neprítomnosti:
od 16.09.2022
do 30.09.2022
																		, PN lekára",67-44653174-A0025,"wesper, a.s.

miesto prevádzky: Poliklinika ProCare Prešov, Jurkovičova 7186/19, 08001 Prešov"
"Dermatovenerologická ambulancia, MUDr. Klára Martinásková, Prešov, (wesper, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/dermatovenerologicka-ambulancia-mudr.-klara-martinaskova-presov-wesper-a.s..html?page_id=100458, Dermatovenerológia,Prešovský samosprávny kraj,"Neprítomnosti:
od 14.09.2022
do 28.09.2022
																		, PN",67-44653174-A0029,"wesper, a.s.

miesto prevádzky: Jurkovičova 7186/19, 08001 Prešov"
"Dermatovenerologická ambulancia, Prešov, (COSMEDERM Q. s.r.o.,)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/dermatovenerologicka-ambulancia-presov-cosmederm-q..html?page_id=121503, Dermatovenerológia,Prešovský samosprávny kraj,"Neprítomnosti:
od 11.08.2022
do 29.09.2022",67-36499561-A0002,"DERKOL, s.r.o.

miesto prevádzky: Kováčska 15, 08001 Prešov


DERMAFIT, s.r.o.

miesto prevádzky: Prostějovská 33, 08001 Prešov"
"Všeobecná ambulancia pre dospelých, Prešov, (MUCOMED s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/vseobecna-ambulancia-pre-dospelych-presov-mucomed-1.html?page_id=140242, Všeobecné lekárstvo,Prešovský samosprávny kraj,"Neprítomnosti:
od 31.08.2022
do 30.09.2022
																		, zdravotná sestra prítomná na ambulancii

od 31.08.2022
do 30.09.2022",51-47850230-A0002,"MUCOMED s.r.o.

miesto prevádzky: Národná trieda 214/27, 04001 Košice-Sever"
"Dermatovenerologická ambulancia, Lipany, (COSMEDERM Q. s.r.o.,)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/dermatovenerologicka-ambulancia-lipany-cosmederm-q..html?page_id=121504, Dermatovenerológia,Prešovský samosprávny kraj,"Neprítomnosti:
od 11.08.2022
do 30.09.2022

od 22.04.2022
do 31.12.2022

od 14.01.2022
do 31.12.2022
																		, Pre chorobu ambulancia v Lipanoch dlhodobo neordinuje, zastupuje ambulancia v Prešove,  Sabinovská 78. Za porozumenie ďakujeme.",67-36499561-A0003,"DERKOL, s.r.o.

miesto prevádzky: Kováčska 15, 08001 Prešov


DERMAFIT, s.r.o.

miesto prevádzky: Prostějovská 33, 08001 Prešov"
"Ambulancia zubného lekárstva, Snina, (MUDr. Boris Skulina)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/ambulancia-zubneho-lekarstva-snina-mudr.-boris-skulina.html?page_id=98843, Zubné lekárstvo,Prešovský samosprávny kraj,"Neprítomnosti:
od 07.09.2022
do 30.09.2022",67-31304770-A0001,"MDDr. Janka Fedorová

miesto prevádzky: Sládkovičova 300/3, 06901 Snina"
"Všeobecná ambulancia pre dospelých, Stakčín, (Stakmed s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-dospelych-stakcin-stakmed-s.-r.-o..html?page_id=142074, Všeobecné lekárstvo,Prešovský samosprávny kraj,"Neprítomnosti:
od 17.01.2022
do 31.12.2024
																		,  utorok celý deň a štvrtok od 10:00 - zastupujem v amb. v Ubli, súrne prípady  - volať do Uble: 057 767 3128
sestrička je na amb. v Stakčíne prítomná",67-52663175-A0001,"PRO SAN-MR s.r.o.

miesto prevádzky: Sládkovičova 300/4, 06901 Snina"
"Všeobecná ambulancia pre dospelých, Ubľa, (MUDr. Alina Piteľ)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-dospelych-ubla-mudr.-alina-pitel.html?page_id=142070, Všeobecné lekárstvo,Prešovský samosprávny kraj,"Neprítomnosti:
od 17.01.2022
do 31.12.2022
																		, zástup priamo v amb. zabezpečuje Stakmed sro, MUDr. Boris Piteľ, v utorok celý deň, štvrtok od 10:30, zvyšné dni prosím kontaktujte amb. VL v Stakčíne 057/ 76 92 700.
sestrička je na amb. prítomná",67-54232163-A0001,"Stakmed s. r. o.

miesto prevádzky: Slov.Národ.Povstania 574/6, 06761 Stakčín"
"Všeobecná ambulancia pre dospelých, Nová Ľubovňa, (DAPTI, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/vseobecna-ambulancia-pre-dospelych-nova-lubovna-dapti.html?page_id=97436, Všeobecné lekárstvo,Prešovský samosprávny kraj,"Neprítomnosti:
od 22.09.2022
do 25.09.2022",67-36514012-A0001,"DAPTI, s.r.o.

miesto prevádzky: Obchodná 1110/3, 06401 Stará Ľubovňa"
"Všeobecná ambulancia pre dospelých, Stropkov, (AUDAX D5 s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/vseobecna-ambulancia-pre-dospelych-stropkov-audax-d5.html?page_id=97138, Všeobecné lekárstvo,Prešovský samosprávny kraj,"Neprítomnosti:
od 21.09.2022
do 26.09.2022",67-46317431-A0001,"ABASIST, s.r.o.

miesto prevádzky: MUDr.Pribulu 798/10, 08901 Svidník"
"Gynekologická ambulancia, Stropkov, (TOPGYN, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/gynekologicka-ambulancia-stropkov-topgyn.html?page_id=100288," Gynekológia a pôrodníctvo, Ultrazvuk v gynekológii a pôrodníctve",Prešovský samosprávny kraj,"Neprítomnosti:
od 23.09.2022
do 27.09.2022

od 23.09.2022
do 27.09.2022",67-36823449-A0002,"ANZUMED, spol. s r.o.

miesto prevádzky: MUDr.Pribulu 412/14, 08901 Svidník"
