title,doctor_url,specialization,kraj,nepritomnost,doctor_id,zastupenie
"Všeobecná ambulancia pre dospelých, MUDr. Monika Machalová, Bánovce nad Bebravou, (HPD s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/vseobecna-ambulancia-pre-dospelych-mudr.-monika-machalova-banovce-nad-bebravou-hpd.html?page_id=90098, Všeobecné lekárstvo,Trenčiansky samosrpávny kraj,"Neprítomnosti:
od 19.09.2022
do 04.10.2022
																		, Sestra prítomná. Zástup 19- 23.9.2022 MUDr.Dolan,  26.9-4.10.2022 MUDr.Masaryková",63-50038095-A0001,"MUDr. Jozef Dolan, s.r.o.

miesto prevádzky: Hviezdoslavova 23/3, 95701 Bánovce nad Bebravou"
"Ambulancia dentálnej hygieny, Bánovce nad Bebravou, (JL Dental s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/ambulancia-dentalnej-hygieny-banovce-nad-bebravou-jl-dental.html?page_id=132272, Dentálna hygiena,Trenčiansky samosrpávny kraj,"Neprítomnosti:
od 20.09.2022
do 11.10.2022
																		, Ambulancia nepracuje",63-52501698-A0001,"Bc. Ľubica Prílepková

miesto prevádzky: Nemocničná 1944/10, 02601 Dolný Kubín"
"Urologická ambulancia, MUDr. Matúš Chocholatý, Bánovce nad Bebravou, (PRIVÁTNA UROLOGICKÁ AMBULANCIA s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/urologicka-ambulancia-mudr.-matus-chocholaty-banovce-nad-bebravou-privatna-urologicka-ambulancia.html?page_id=132358, Urológia,Trenčiansky samosrpávny kraj,"Neprítomnosti:
od 30.08.2022
do 30.09.2022",63-36344125-A0003,"PRIVÁTNA UROLOGICKÁ AMBULANCIA s.r.o.

miesto prevádzky: Piaristická 7834/19, 91101 Trenčín"
"Gastroenterologická ambulancia, MUDr. Mario Kirka, Ilava, (GE-AMB, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ilava/gastroenterologicka-ambulancia-mudr.-mario-kirka-ilava-ge-amb.html?page_id=90096, Gastroenterológia,Trenčiansky samosrpávny kraj,"Neprítomnosti:
od 15.09.2022
do 30.09.2022",63-50020862-A0001,"Statim plus, s.r.o.

miesto prevádzky: Nemocničná 1/986, 01701 Považská Bystrica
Len urgentne stavy, nie planovana diagnostika."
"Všeobecná ambulancia pre dospelých, MUDr. Jakub Kubík, Myjava, (JK PrimCare, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/vseobecna-ambulancia-pre-dospelych-mudr.-jakub-kubik-myjava-jk-primcare.html?page_id=140703, Všeobecné lekárstvo,Trenčiansky samosrpávny kraj,"Neprítomnosti:
od 16.09.2022
do 28.09.2022",63-53630076-A0001,"Neonmedical s. r. o.

miesto prevádzky: Staromyjavská 690/2/A, 90701 Myjava
nie 16.9.2022


SERIAMED s.r.o.

miesto prevádzky: Staromyjavská 690/2A, 90701 Myjava
nie 16.9.2022


DAJAMED s.r.o.

miesto prevádzky: Staromyjavská 59, 90701 Myjava


PRAMED, s.r.o.

miesto prevádzky: Staromyjavská 59, 90701 Myjava


Nemocnica s poliklinikou Myjava so sídlom v Myjave

miesto prevádzky: Staromyjavská 59, 90701 Myjava"
"Psychiatrická ambulancia II, Považská Bystrica, (Nemocnica s poliklinikou Považská Bystrica)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/psychiatricka-ambulancia-ii-povazska-bystrica-nemocnica-s-poliklinikou-povazska-bystrica.html?page_id=62728, Psychiatria,Trenčiansky samosrpávny kraj,"Neprítomnosti:
od 02.06.2022
do 31.12.2022
																		, Dlhodobá PN",63-00610411-A0042,Mimoriadne a akútne prípady - psychiatrické oddelenie NsP Považská Bystrica
"Psychiatrická ambulancia I., Považská Bystrica, (Nemocnica s poliklinikou Považská Bystrica)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/psychiatricka-ambulancia-i.-povazska-bystrica-nemocnica-s-poliklinikou-povazska-bystrica.html?page_id=62730, Psychiatria,Trenčiansky samosrpávny kraj,"Neprítomnosti:
od 02.09.2022
do 30.09.2022
																		, sestra v ambulancii prítomná v čase od 8.00 - 12.00hod.",63-00610411-A0044,akútne a mimoriadne prípady: psychiatrické oddelenie NsP Považská Bystrica
"Gastroenterologická ambulancia, Považská Bystrica, (MUDr. Pavol Karas)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/gastroenterologicka-ambulancia-povazska-bystrica-mudr.-pavol-karas.html?page_id=73320, Gastroenterológia,Trenčiansky samosrpávny kraj,"Neprítomnosti:
od 23.08.2022
do 30.09.2022",63-36129232-A0001,"Statim plus, s.r.o.

miesto prevádzky: Nemocničná 1/986, 01701 Považská Bystrica


Nemocnica s poliklinikou Považská Bystrica so sídlom v Považskej Bystrici

miesto prevádzky: Nemocničná 986, 01726 Považská Bystrica"
"Všeobecná ambulancia pre dospelých, MUDr. Marta Kohútová, Považská Bystrica, (MUDr. Marta Kohútová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/vseobecna-ambulancia-pre-dospelych-mudr.-marta-kohutova-povazska-bystrica-mudr.-marta-kohutova.html?page_id=63618, Všeobecné lekárstvo,Trenčiansky samosrpávny kraj,"Neprítomnosti:
od 21.09.2022
do 30.09.2022",63-31925898-A0001,"MUDr. Jarmila Jurčíková s.r.o.

miesto prevádzky: Mládežnícka 2174, 01701 Považská Bystrica
21/9 -23/9


MUDr. Janka Kardošová

miesto prevádzky: Mládežnícka 2174, 01701 Považská Bystrica
26/9-30/9"
"Urologická ambulancia, MUDr. Jozef Lalinský, Považská Bystrica, (URO-PRAKTIK s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/urologicka-ambulancia-mudr.-jozef-lalinsky-povazska-bystrica-uro-praktik-s.-r.-o..html?page_id=64119, Urológia,Trenčiansky samosrpávny kraj,"Neprítomnosti:
od 24.08.2022
do 30.09.2022",51-46379096-A0001,"CENTRUM UROLÓGIE Považská Bystrica s.r.o.

miesto prevádzky: Tatranská 293, 01701 Považská Bystrica"
