title,doctor_url,specialization,kraj,nepritomnost,doctor_id,zastupenie
"Ambulancia vnútorného lekárstva, Dunajská Streda, (AMINT, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-vnutorneho-lekarstva-dunajska-streda-amint.html?page_id=85485, Vnútorné lekárstvo,Trnavský samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 21.10.2022",62-36722740-A0001,"SANDREX INVEST s.r.o.

miesto prevádzky: Veľkoblahovská cesta 67/23, 92901 Dunajská Streda
od 19.9 .2022 do 30.9.2022, a od 10.10.2022 do 14.10.2022


ENDVIVA, s.r.o.

miesto prevádzky: Veľkoblahovská cesta 67/23, 92901 Dunajská Streda
od 3.10.2022 do 7.10.2022, a od 17.10.2022 do 21.10.2022"
"Endokrinologická ambulancia, Galanta, (MUDr. Viliam Popov)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/endokrinologicka-ambulancia-galanta-mudr.-viliam-popov.html?page_id=86584, Endokrinológia,Trnavský samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 30.09.2022",62-42153999-A0001,"Nemocnica s poliklinikou Sv. Lukáša Galanta, a.s.

miesto prevádzky: Nemocnica s poliklinikou, Hodská 373/38, 92422 Galanta"
"Oftalmologická ambulancia, Galanta, (Očná ambulancia - MUDr. Arnaudová spol. s r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/oftalmologicka-ambulancia-galanta-ocna-ambulancia-mudr.-arnaudova-spol.-s-r.o..html?page_id=86729, Oftalmológia,Trnavský samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 30.09.2022",62-36363936-A0001,"MUDr. Magdaléna Miklósová

miesto prevádzky: Hodská 3161/101, 92401 Galanta"
"Všeobecná ambulancia pre dospelých, Galanta, (SZULY-MED s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/vseobecna-ambulancia-pre-dospelych-galanta-szuly-med-s.-r.-o..html?page_id=86948, Všeobecné lekárstvo,Trnavský samosprávny kraj,"Neprítomnosti:
od 01.02.2022
do 30.09.2022
																		, sestrička prítomná v ambulancii",62-43838529-A0001,"MUDr. Igor Kántor

miesto prevádzky: Hlavná 978/46, 92401 Galanta"
"Ambulancia vnútorného lekárstva, Hlohovec, (INTERMEDI Centrum, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/ambulancia-vnutorneho-lekarstva-hlohovec-intermedi-centrum-1.html?page_id=85933, Vnútorné lekárstvo,Trnavský samosprávny kraj,"Neprítomnosti:
od 15.09.2022
do 30.09.2022",62-36260843-A0002,"INTERMEDI Centrum, s.r.o.

miesto prevádzky: Nábrežie A.Hlinku 69/27, 92001 Hlohovec"
"Pneumologicko-ftizeologická ambulancia, Hlohovec, (PPF, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/pneumologicko-ftizeologicka-ambulancia-hlohovec-ppf.html?page_id=86785, Pneumológia a ftizeológia,Trnavský samosprávny kraj,"Neprítomnosti:
od 02.09.2022
do 30.09.2022

od 01.08.2022
do 30.09.2022",62-36280330-A0001,"Medigyn spol. s r.o.

miesto prevádzky: Robotnícka 3234/12, 92101 Piešťany
Poliklinika Piešťany 

MUDr.Drličková Gabriela

Poliklinika Piešťany 


MUDr. Terézia Lacková Rolníková

miesto prevádzky: Rekreačná 4827/2, 92101 Piešťany
Poliklinika Piešťany"
"Urologická ambulancia, Piešťany, (MEDICIS s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/urologicka-ambulancia-piestany-medicis.html?page_id=86093, Urológia,Trnavský samosprávny kraj,"Neprítomnosti:
od 27.04.2022
do 01.12.2022
																		, Vzhľadom na zhoršený zdravotný stav lekára, bude ambulancia pracovať v obmedzenom režime, s prítomnosťou lekára v utorok a štvrtok. Ostatné dni bude prítomná zdravotná sestra, a v prípade akútnych prípadov je zabezpečené ošetrenie pacientov FN Trenčín.",51-35912154-A0003,Fakultná nemocnica Trenčín urologická ambulancia
"Všeobecná ambulancia pre deti a dorast, Veselé, (MUDr. Alena Štefková)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/vseobecna-ambulancia-pre-deti-a-dorast-vesele-mudr.-alena-stefkova.html?page_id=86225, Všeobecná starostlivosť o deti a dorast,Trnavský samosprávny kraj,"Neprítomnosti:
od 21.07.2022
do 29.09.2022
																		, Z dôvodu rekonštrukcie mostu Rakovice-Veselé a uzavretia cesty a zároveň neprevádzkovania lekárne vo Veselom sa bude ordinovať v ambulancii VLDD v Drahovciach",62-34025294-A0001,"MUDr. Alena Štefková

miesto prevádzky: Riadok 427/58, 92241 Drahovce
V ambulancii VLDD v Drahovciach sa bude ordinovať každý pracovný deň. Informujte sa na t.č. 0903 236220"
"Ambulancia zubného lekárstva, Veľké Kostoľany, (MUDr. Juraj Ľupták)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-zubneho-lekarstva-velke-kostolany-mudr.-juraj-luptak.html?page_id=86383, Zubné lekárstvo,Trnavský samosprávny kraj,"Neprítomnosti:
od 14.09.2022
do 14.10.2022",62-31209181-A0001,"SK Dental, LSPP,s.r.o.

miesto prevádzky: Ulica Piešťanská 8188/3, 91701 Trnava
po telefonickom dohovore"
"Všeobecná ambulancia pre deti a dorast, Piešťany, (MUDr. Rohoňová & syn, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/vseobecna-ambulancia-pre-deti-a-dorast-piestany-mudr.-rohonova-syn.html?page_id=86552, Všeobecná starostlivosť o deti a dorast,Trnavský samosprávny kraj,"Neprítomnosti:
od 16.09.2022
do 25.09.2022
																		, Zástup MUDr. Ondrusová Jana NZZ ambul. pre deti a dorast Piešťany A.Trajan 9",62-36275361-A0001,"MUDr. Jana Ondrusová

miesto prevádzky: Adama Trajana 6755/9, 92101 Piešťany"
