title,doctor_url,specialization,kraj,nepritomnost,doctor_id,zastupenie
"Všeobecná ambulancia pre dospelých, Párnica, (MEDICAL PRO, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dolny-kubin/vseobecna-ambulancia-pre-dospelych-parnica-medical-pro-s.-r.-o..html?page_id=66895, Všeobecné lekárstvo,Žilinský samosprávny kraj,"Neprítomnosti:
od 22.09.2022
do 30.09.2022",65-45914176-A0001,"HARIMED, s. r. o.

miesto prevádzky: Istebné 2, 02753 Istebné"
"Všeobecná ambulancia pre dospelých, MUDr. Zuzana Butvinová , Dolný Kubín, (MEDICAL PRO, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dolny-kubin/vseobecna-ambulancia-pre-dospelych-mudr.-zuzana-butvinova-dolny-kubin-medical-pro-s.-r.-o..html?page_id=73904, Všeobecné lekárstvo,Žilinský samosprávny kraj,"Neprítomnosti:
od 22.09.2022
do 30.09.2022",65-45914176-A0002,"HARIMED, s. r. o.

miesto prevádzky: Istebné 2, 02753 Istebné"
"Všeobecná ambulancia pre dospelých, MUDr. Mária Drahňáková, Kysucké Nové Mesto, (MUDr. Mária Drahňáková s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/vseobecna-ambulancia-pre-dospelych-mudr.-maria-drahnakova-kysucke-nove-mesto-mudr.-maria-drahnakova.html?page_id=55280, Všeobecné lekárstvo,Žilinský samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 30.09.2022
																		, Sestra na ambulancii",65-36698067-A0001,"JAZMIK - PED, s.r.o.

miesto prevádzky: Belanského 1346/83, 02401 Kysucké Nové Mesto"
"Všeobecná ambulancia pre dospelých, Kysucké Nové Mesto, (MUDr. Imrich Maráček, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kysucke-nove-mesto/vseobecna-ambulancia-pre-dospelych-kysucke-nove-mesto-mudr.-imrich-maracek.html?page_id=74038, Všeobecné lekárstvo,Žilinský samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 30.09.2022
																		, Sestra na ambulancii",65-36706680-A0001,"JAZMIK - PED, s.r.o.

miesto prevádzky: Belanského 1346/83, 02401 Kysucké Nové Mesto"
"Všeobecná ambulancia pre dospelých, Liptovský Mikuláš, (LiptovMed, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/liptovsky-mikulas/vseobecna-ambulancia-pre-dospelych-liptovsky-mikulas-liptovmed-s.-r.-o..html?page_id=54900, Všeobecné lekárstvo,Žilinský samosprávny kraj,"Neprítomnosti:
od 08.09.2022
do 30.09.2022",65-45895473-A0001,"MUDr. Zlatica Čajková, s.r.o.

miesto prevádzky: Jánošíkovo nábrežie 1212, 03101 Liptovský Mikuláš"
"Ušno-nosovo-krčná ambulancia pre deti a dospelých, foniatrická ambulancia, Liptovský Mikuláš, (Centrum Kramáre, spol. s r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/liptovsky-mikulas/usno-nosovo-krcna-ambulancia-pre-deti-a-dospelych-foniatricka-ambulancia-liptovsky-mikulas-centrum-kramare-spol.-s-r.o..html?page_id=122655," Otorinolaryngológia, Foniatria",Žilinský samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 29.09.2022

od 19.09.2022
do 29.09.2022",51-36842079-A0012,"ORL Kažmér, s.r.o.

miesto prevádzky: Jánošíkovo nábrežie 1212, 03101 Liptovský Mikuláš"
"Ambulancia zubného lekárstva, Martin, (MUDr. Katarína Vakrčková)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/ambulancia-zubneho-lekarstva-martin-mudr.-katarina-vakrckova.html?page_id=54186, Zubné lekárstvo,Žilinský samosprávny kraj,"Neprítomnosti:
od 14.09.2022
do 26.09.2022
																		, od 8,00-10,00 bolesti ošetrí MDDr Poloncová, Stoma s.r.o., Priehradka 20, Martin",65-35664355-A0001,"STOMA, s.r.o.

miesto prevádzky: Priehradka 20, 03601 Martin"
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, MUDr. Ľubica Knéslová, Vrútky, (ŽOS-MEDIKA, s.r.o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/martin/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-mudr.-lubica-kneslova-vrutky-zos-medika.html?page_id=56806," Fyziatria, balneológia a liečebná rehabilitácia",Žilinský samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 30.09.2022",65-36006203-A0003,"Martinská poliklinika, s.r.o.

miesto prevádzky: Škultétyho 7, 03601 Martin"
"Chirurgická ambulancia, Ružomberok, (MUDr. Stanislav Mlynárik)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ruzomberok/chirurgicka-ambulancia-ruzomberok-mudr.-stanislav-mlynarik.html?page_id=55266, Chirurgia,Žilinský samosprávny kraj,"Neprítomnosti:
od 21.09.2022
do 05.10.2022
																		, Riadna dovolenka 21.9.2022-5.10.2022, nástup do práce 6.10.2022, zastupovanie na chir. a traumatolog. amb.UVN",65-37903934-A0001,"Ústredná vojenská nemocnica SNP Ružomberok - FN

miesto prevádzky: ÚVN, Gen. Miloša Vesela 21, 03426 Ružomberok


Ústredná vojenská nemocnica SNP Ružomberok - FN

miesto prevádzky: ÚVN, Gen. Miloša Vesela 21, 03426 Ružomberok"
"Všeobecná ambulancia pre dospelých, Ružomberok, (MUDr. Viera Maslová)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ruzomberok/vseobecna-ambulancia-pre-dospelych-ruzomberok-mudr.-viera-maslova.html?page_id=66927, Všeobecné lekárstvo,Žilinský samosprávny kraj,"Neprítomnosti:
od 19.09.2022
do 30.09.2022
																		, Madčova ul,  TF 044  4323490",65-31903631-A0001,"HELIM, s.r.o.

miesto prevádzky: Hasičská 241/16, 03491 Ľubochňa"
