title,doctor_url,specialization,kraj,okres
"Ambulancia cievnej chirurgie, Banská Štiavnica, (Nemocnica AGEL Handlová s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-stiavnica/ambulancia-cievnej-chirurgie-banska-stiavnica-nemocnica-agel-handlova.html?page_id=142225, Cievna chirurgia,Banskobystricky,Banska Štiavnica
"Neurologická ambulancia, Banská Štiavnica, (Neospace s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-stiavnica/neurologicka-ambulancia-banska-stiavnica-neospace.html?page_id=141812, Neurológia,Banskobystricky,Banska Štiavnica
"Všeobecná ambulancia pre dospelých, MUDr. Diana Berlanská, Banská Štiavnica, (PRAKTIKLEK s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-stiavnica/vseobecna-ambulancia-pre-dospelych-mudr.-diana-berlanska-banska-stiavnica-praktiklek.html?page_id=135020, Všeobecné lekárstvo,Banskobystricky,Banska Štiavnica
"Ambulancia rýchlej zdravotnej pomoci, Banská Štiavnica 2, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-stiavnica/ambulancia-rychlej-zdravotnej-pomoci-banska-stiavnica-2-zachranna-zdravotna-sluzba-bratislava.html?page_id=134916, Rýchla zdravotná pomoc,Banskobystricky,Banska Štiavnica
"Ambulancia rýchlej lekárskej pomoci, Banská Štiavnica 1, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-stiavnica/ambulancia-rychlej-lekarskej-pomoci-banska-stiavnica-1-zachranna-zdravotna-sluzba-bratislava.html?page_id=132721, Rýchla lekárska pomoc,Banskobystricky,Banska Štiavnica
"Ambulancia zubného lekárstva, Banská Štiavnica, (GUDENT s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-stiavnica/ambulancia-zubneho-lekarstva-banska-stiavnica-gudent-s.-r.-o..html?page_id=131585, Zubné lekárstvo,Banskobystricky,Banska Štiavnica
"Ambulancia zubného lekárstva, Banská Štiavnica, (HEALTHY SMILE, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-stiavnica/ambulancia-zubneho-lekarstva-banska-stiavnica-healthy-smile.html?page_id=130231, Zubné lekárstvo,Banskobystricky,Banska Štiavnica
"Ambulancia dentálnej hygieny, Banská Štiavnica, (BETHYS, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-stiavnica/ambulancia-dentalnej-hygieny-banska-stiavnica-bethys.html?page_id=129663, Dentálna hygiena,Banskobystricky,Banska Štiavnica
"Všeobecná ambulancia pre dospelých, Banská Štiavnica, (H.A.M. Academy, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-stiavnica/vseobecna-ambulancia-pre-dospelych-banska-stiavnica-h.a.m.-academy.html?page_id=128208, Všeobecné lekárstvo,Banskobystricky,Banska Štiavnica
"Všeobecná ambulancia pre dospelých, Banská Štiavnica, (Medsy s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-stiavnica/vseobecna-ambulancia-pre-dospelych-banska-stiavnica-medsy.html?page_id=126566, Všeobecné lekárstvo,Banskobystricky,Banska Štiavnica
