title,doctor_url,specialization,kraj,okres
"Ambulancia dentálnej hygieny, Banská Bystrica, (Dental M s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-dentalnej-hygieny-banska-bystrica-dental-m-s.-r.-o..html?page_id=143524, Dentálna hygiena,Banskobystricky,Banská Bystrica
"Neurologická ambulancia, Banská Bystrica, (Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/neurologicka-ambulancia-banska-bystrica-fakultna-nemocnica-s-poliklinikou-f.-d.-roosevelta-banska-bystrica.html?page_id=143485, Neurológia,Banskobystricky,Banská Bystrica
"SVaLZ, fyzioterapia, Banská Bystrica, (Mgr. Jana Sýkorová)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/svalz-fyzioterapia-banska-bystrica-mgr.-jana-sykorova-1.html?page_id=143454, Fyzioterapia,Banskobystricky,Banská Bystrica
"Jednodňová zdravotná starostlivosť, chirurgia, Banská Bystrica, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/jednodnova-zdravotna-starostlivost-chirurgia-banska-bystrica-nemocnica-agel-zvolen-a.s..html?page_id=143435, Chirurgia,Banskobystricky,Banská Bystrica
"Jednodňová zdravotná starostlivosť, ortopédia, Banská Bystrica, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/jednodnova-zdravotna-starostlivost-ortopedia-banska-bystrica-nemocnica-agel-zvolen-a.s..html?page_id=143433, Ortopédia,Banskobystricky,Banská Bystrica
"Jednodňová zdravotná starostlivosť, plastická chirurgia, Banská Bystrica, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/jednodnova-zdravotna-starostlivost-plasticka-chirurgia-banska-bystrica-nemocnica-agel-zvolen-a.s..html?page_id=143434, Plastická chirurgia,Banskobystricky,Banská Bystrica
"Gynekologická ambulancia, Banská Bystrica, (Sono BB, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/gynekologicka-ambulancia-banska-bystrica-sono-bb.html?page_id=143325, Gynekológia a pôrodníctvo,Banskobystricky,Banská Bystrica
"Ambulancia liečebnej pedagogiky, Banská Bystrica, (Zdravie duše s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-liecebnej-pedagogiky-banska-bystrica-zdravie-duse.html?page_id=143064, Liečebná pedagogika,Banskobystricky,Banská Bystrica
"Ambulancia klinickej psychológie 2, Banská Bystrica, (Detská fakultná nemocnica s poliklinikou Banská Bystrica)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-klinickej-psychologie-2-banska-bystrica-detska-fakultna-nemocnica-s-poliklinikou-banska-bystrica.html?page_id=142605, Klinická psychológia,Banskobystricky,Banská Bystrica
"Všeobecná ambulancia pre dospelých, MUDr. Dušan Pallay, Slovenská Ľupča, (MUDr. Dušan Pallay, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/vseobecna-ambulancia-pre-dospelych-mudr.-dusan-pallay-slovenska-lupca-mudr.-dusan-pallay.html?page_id=142442, Všeobecné lekárstvo,Banskobystricky,Banská Bystrica
"MUDr. Monika Chudíková, Banská Bystrica, (BeriMed s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/mudr.-monika-chudikova-banska-bystrica-berimed.html?page_id=142381, Všeobecné lekárstvo,Banskobystricky,Banská Bystrica
"Ambulancia zubného lekárstva, Banská Bystrica, (Dr. Hajnal s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-zubneho-lekarstva-banska-bystrica-dr.-hajnal-s.-r.-o..html?page_id=142173, Zubné lekárstvo,Banskobystricky,Banská Bystrica
"Oftalmologická ambulancia, Banská Bystrica, (TAMIMED, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/oftalmologicka-ambulancia-banska-bystrica-tamimed.html?page_id=142043, Oftalmológia,Banskobystricky,Banská Bystrica
"Všeobecná ambulancia pre dospelých, MUDr. Jana Kováčová, Banská Bystrica, (PreventCare s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/vseobecna-ambulancia-pre-dospelych-mudr.-jana-kovacova-banska-bystrica-preventcare.html?page_id=142041," Všeobecné lekárstvo, Dorastové lekárstvo",Banskobystricky,Banská Bystrica
"SVaLZ, fyzioterapia, Banská Bystrica, (Mgr. Kamil Gregáň)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/svalz-fyzioterapia-banska-bystrica-mgr.-kamil-gregan.html?page_id=141966, Fyzioterapia,Banskobystricky,Banská Bystrica
"SVaLZ, fyzioterapia, Banská Bystrica, (FyzioLen s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/svalz-fyzioterapia-banska-bystrica-fyziolen.html?page_id=141760," Fyzioterapia, Fyzioterapia funkčných a štrukturálnych porúch pohybového systému, Mobilizačné techniky",Banskobystricky,Banská Bystrica
"Ambulancia klinickej logopédie, Banská Bystrica, (Mgr. Blanka Kolenová)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-klinickej-logopedie-banska-bystrica-mgr.-blanka-kolenova-1.html?page_id=141677, Klinická logopédia,Banskobystricky,Banská Bystrica
"Ambulancia zubného lekárstva, MDDr. Karina Jančeková, Banská Bystrica, (Dentaly s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-zubneho-lekarstva-mddr.-karina-jancekova-banska-bystrica-dentaly.html?page_id=141664, Zubné lekárstvo,Banskobystricky,Banská Bystrica
"Všeobecná ambulancia pre dospelých, MUDr. Petra Kapuscinská, Banská Bystrica, (MerKaBa s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/vseobecna-ambulancia-pre-dospelych-mudr.-petra-kapuscinska-banska-bystrica-merkaba-s.-r.-o..html?page_id=141629, Všeobecné lekárstvo,Banskobystricky,Banská Bystrica
"Ambulancia zubného lekárstva, Banská Bystrica, (EDEMED s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-zubneho-lekarstva-banska-bystrica-edemed-1.html?page_id=141610," Zubné lekárstvo, Dentoalveolárna chirurgia",Banskobystricky,Banská Bystrica
"Ambulancia čeľustnej ortopédie, Banská Bystrica, (DEMIDENT Banská Bystrica s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-celustnej-ortopedie-banska-bystrica-demident-banska-bystrica.html?page_id=141577, čeľustná ortopédia,Banskobystricky,Banská Bystrica
