title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, Heľpa, (Merci n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/vseobecna-ambulancia-pre-dospelych-helpa-merci-n.o.-1.html?page_id=143486, Všeobecné lekárstvo,Banskobystricky,Brezno
"Všeobecná ambulancia pre dospelých, Pohorelá, (Merci n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/vseobecna-ambulancia-pre-dospelych-pohorela-merci-n.o.-1.html?page_id=143487, Všeobecné lekárstvo,Banskobystricky,Brezno
"Ambulancia zubného lekárstva,  MDDr. Kristína Kováčiková, Čierny Balog, (KK-Dental s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/ambulancia-zubneho-lekarstva-mddr.-kristina-kovacikova-cierny-balog-kk-dental-s.-r.-o..html?page_id=142383, Zubné lekárstvo,Banskobystricky,Brezno
"ADOS, Pionierska, Brezno, (ZDRAVÍ DOMA n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/ados-pionierska-brezno-zdravi-doma-n.o..html?page_id=142187, Domáca ošetrovateľská starostlivosť,Banskobystricky,Brezno
"SVaLZ, rádiológia, Brezno, (Diagnostic net, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/svalz-radiologia-brezno-diagnostic-net.html?page_id=142176, Rádiológia,Banskobystricky,Brezno
"ADOS, Hlavná, Pohronská Polhora, (Mgr. Janka Tyčiaková)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/ados-hlavna-pohronska-polhora-mgr.-janka-tyciakova.html?page_id=141539, Domáca ošetrovateľská starostlivosť,Banskobystricky,Brezno
"Všeobecná ambulancia pre dospelých, Šumiac, (Medical Help s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/vseobecna-ambulancia-pre-dospelych-sumiac-medical-help.html?page_id=141322, Všeobecné lekárstvo,Banskobystricky,Brezno
"Všeobecná ambulancia pre dospelých, Závadka nad Hronom, (Medical Help s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/vseobecna-ambulancia-pre-dospelych-zavadka-nad-hronom-medical-help.html?page_id=141323, Všeobecné lekárstvo,Banskobystricky,Brezno
"Všeobecná ambulancia pre dospelých, Heľpa, (Medical Help s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/vseobecna-ambulancia-pre-dospelych-helpa-medical-help.html?page_id=141324, Všeobecné lekárstvo,Banskobystricky,Brezno
"U-zdrav všeobecná ambulancia pre dospelých (MUDr. Roman Gál), Podbrezová, (U-zdrav. s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/u-zdrav-vseobecna-ambulancia-pre-dospelych-mudr.-roman-gal-podbrezova-u-zdrav.-s.-r.-o..html?page_id=140084, Všeobecné lekárstvo,Banskobystricky,Brezno
"Ambulancia rýchlej zdravotnej pomoci, Bystrá, (Nemocnica s poliklinikou Brezno, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/ambulancia-rychlej-zdravotnej-pomoci-bystra-nemocnica-s-poliklinikou-brezno-n.o..html?page_id=135377, Rýchla zdravotná pomoc,Banskobystricky,Brezno
"Jednodňová zdravotná starostlivosť, cievna chirurgia, Brezno, (Nemocnica s poliklinikou Brezno, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/jednodnova-zdravotna-starostlivost-cievna-chirurgia-brezno-nemocnica-s-poliklinikou-brezno-n.o..html?page_id=135099, Cievna chirurgia,Banskobystricky,Brezno
"Ambulancia rýchlej zdravotnej pomoci, Pohorelská Maša, (Nemocnica s poliklinikou Brezno, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/ambulancia-rychlej-zdravotnej-pomoci-pohorelska-masa-nemocnica-s-poliklinikou-brezno-n.o..html?page_id=134772, Rýchla zdravotná pomoc,Banskobystricky,Brezno
"Všeobecná ambulancia pre deti a dorast, MUDr. Erik Richter, Polomka, (AMBERIK s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-erik-richter-polomka-amberik.html?page_id=134642, Pediatria,Banskobystricky,Brezno
"Gynekologická ambulancia, MUDr. Miroslav Šestina, Podbrezová, (Šestina s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/gynekologicka-ambulancia-mudr.-miroslav-sestina-podbrezova-sestina-1.html?page_id=133113," Gynekológia a pôrodníctvo, Ultrazvuk v gynekológii a pôrodníctve",Banskobystricky,Brezno
"Gynekologická ambulancia, MUDr. Miroslav Šestina, Podbrezová, (Šestina s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/gynekologicka-ambulancia-mudr.-miroslav-sestina-podbrezova-sestina.html?page_id=133114, Pediatrická gynekológia,Banskobystricky,Brezno
"Ambulancia rýchlej zdravotnej pomoci „S“, Brezno 2, (Nemocnica s poliklinikou Brezno, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/ambulancia-rychlej-zdravotnej-pomoci-s-brezno-2-nemocnica-s-poliklinikou-brezno-n.o..html?page_id=132773, Rýchla zdravotná pomoc „S“,Banskobystricky,Brezno
"Dispečing dopravnej zdravotnej služby, Brezno, (Nemocnica s poliklinikou Brezno, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/dispecing-dopravnej-zdravotnej-sluzby-brezno-nemocnica-s-poliklinikou-brezno-n.o..html?page_id=132589,,Banskobystricky,Brezno
"Ambulancia rýchlej lekárskej pomoci, Brezno 1, (Nemocnica s poliklinikou Brezno, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/ambulancia-rychlej-lekarskej-pomoci-brezno-1-nemocnica-s-poliklinikou-brezno-n.o..html?page_id=132588, Rýchla lekárska pomoc,Banskobystricky,Brezno
"Psychiatrická ambulancia, Brezno, (Nemocnica s poliklinikou Brezno, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/psychiatricka-ambulancia-brezno-nemocnica-s-poliklinikou-brezno-n.o..html?page_id=131183," Psychiatria, Psychoterapia",Banskobystricky,Brezno
"ADOS, Hlavná, Heľpa, (ADOS Maková s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/ados-hlavna-helpa-ados-makova.html?page_id=130830, Domáca ošetrovateľská starostlivosť,Banskobystricky,Brezno
"Všeobecná ambulancia pre dospelých, Pohorelá, (Merci n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/vseobecna-ambulancia-pre-dospelych-pohorela-merci-n.o..html?page_id=130671,!,Banskobystricky,Brezno
