title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre deti a dorast, Detva, (RC & T Detva s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-deti-a-dorast-detva-rc-t-detva.html?page_id=143341, Pediatria,Banskobystricky,Detva
"Gynekologická ambulancia, Detva, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/gynekologicka-ambulancia-detva-nemocnica-agel-zvolen-a.s..html?page_id=142133, Gynekológia a pôrodníctvo,Banskobystricky,Detva
"SVaLZ, rádiológia, Detva, (KALMED s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/svalz-radiologia-detva-kalmed.html?page_id=141894, Rádiológia,Banskobystricky,Detva
"Všeobecná ambulancia pre dospelých, Hriňová, (REMEDICA s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-dospelych-hrinova-remedica.html?page_id=141630, Všeobecné lekárstvo,Banskobystricky,Detva
"Všeobecná ambulancia pre dospelých, Detva, (MediConty s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-dospelych-detva-mediconty.html?page_id=141489, Všeobecné lekárstvo,Banskobystricky,Detva
"Ambulancia zubného lekárstva, Dr. Valer Anghileanu, Detva, (KUNA-dent, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/ambulancia-zubneho-lekarstva-dr.-valer-anghileanu-detva-kuna-dent.html?page_id=140938, Zubné lekárstvo,Banskobystricky,Detva
"Pneumologicko-ftizeologická ambulancia, Detva, (ROZVOJOVÁ AGENTÚRA Banskobystrického samosprávneho kraja, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/pneumologicko-ftizeologicka-ambulancia-detva-rozvojova-agentura-banskobystrickeho-samospravneho-kraja-n.o..html?page_id=140926, Pneumológia a ftizeológia,Banskobystricky,Detva
"Ambulancia zubného lekárstva, Detva, (VIKTORIDENT s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/ambulancia-zubneho-lekarstva-detva-viktorident-s.-r.-o..html?page_id=140817, Zubné lekárstvo,Banskobystricky,Detva
"Ambulancia zubného lekárstva, Detva, (VIKTORIDENT s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/ambulancia-zubneho-lekarstva-detva-viktorident-s.-r.-o.-1.html?page_id=140818, Zubné lekárstvo,Banskobystricky,Detva
"Všeobecná ambulancia pre dospelých, Vígľaš, (AP MEDICAL, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-dospelych-viglas-ap-medical.html?page_id=140560, Všeobecné lekárstvo,Banskobystricky,Detva
"Všeobecná ambulancia pre dospelých, Kriváň, (REMEDICA s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-dospelych-krivan-remedica.html?page_id=135001, Všeobecné lekárstvo,Banskobystricky,Detva
"Ambulancia rýchlej zdravotnej pomoci, Hriňová, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/ambulancia-rychlej-zdravotnej-pomoci-hrinova-lse-life-star-emergency.html?page_id=134666, Rýchla zdravotná pomoc,Banskobystricky,Detva
"Urologická ambulancia, MUDr. Ján Farkas, Detva, (Konfero s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/urologicka-ambulancia-mudr.-jan-farkas-detva-konfero.html?page_id=132997, Urológia,Banskobystricky,Detva
"Dispečing dopravnej zdravotnej služby, Detva, (RC & T Detva s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/dispecing-dopravnej-zdravotnej-sluzby-detva-rc-t-detva.html?page_id=132643,,Banskobystricky,Detva
"Ambulancia rýchlej lekárskej pomoci, Detva, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/ambulancia-rychlej-lekarskej-pomoci-detva-lse-life-star-emergency.html?page_id=132640, Rýchla lekárska pomoc,Banskobystricky,Detva
"Gynekologická ambulancia, Detva, (GynDia s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/gynekologicka-ambulancia-detva-gyndia-s.-r.-o..html?page_id=132353, Gynekológia a pôrodníctvo,Banskobystricky,Detva
"Všeobecná ambulancia pre deti a dorast, MUDr. Janka Wrede, Detva, (ROZVOJOVÁ AGENTÚRA Banskobystrického samosprávneho kraja, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-janka-wrede-detva-rozvojova-agentura-banskobystrickeho-samospravneho-kraja-n.o..html?page_id=132077, Pediatria,Banskobystricky,Detva
"Ambulancia dentálnej hygieny, Hriňová, (Mgr. Erika Machovičová)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/ambulancia-dentalnej-hygieny-hrinova-mgr.-erika-machovicova.html?page_id=131535, Dentálna hygiena,Banskobystricky,Detva
"Všeobecná ambulancia pre dospelých, Detva, (MDclinic a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-dospelych-detva-mdclinic-a.s..html?page_id=123661, Všeobecné lekárstvo,Banskobystricky,Detva
"Oftalmologická ambulancia, Detva, (OPTO - Vision)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/oftalmologicka-ambulancia-detva-opto-vision.html?page_id=121809, Oftalmológia,Banskobystricky,Detva
"B. Braun Avitum s.r.o., Detva, (B. Braun Avitum, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/b.-braun-avitum-detva-b.-braun-avitum.html?page_id=105449, Nefrológia,Banskobystricky,Detva
"Všeobecná ambulancia pre dospelých, Detva, (MEDIGOL, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-dospelych-detva-medigol.html?page_id=104969, Všeobecné lekárstvo,Banskobystricky,Detva
"Všeobecná ambulancia pre dospelých, Detva, (MUDr. Krnáč Štefan s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-dospelych-detva-mudr.-krnac-stefan.html?page_id=104768, Všeobecné lekárstvo,Banskobystricky,Detva
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Detva, (POLIKLINIKA-LDCH, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-detva-poliklinika-ldch.html?page_id=103518," Fyziatria, balneológia a liečebná rehabilitácia",Banskobystricky,Detva
"Poliklinika, Kpt.Nálepku, Detva, (POLIKLINIKA-LDCH, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/poliklinika-kpt.nalepku-detva-poliklinika-ldch.html?page_id=103517,66-36621242-A0002,Banskobystricky,Detva
"Chirurgická ambulancia, Detva, (1.HILARION s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/chirurgicka-ambulancia-detva-1.hilarion.html?page_id=103103, Chirurgia,Banskobystricky,Detva
"Oftalmologická ambulancia, Detva, (Zrakové centrum, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/oftalmologicka-ambulancia-detva-zrakove-centrum.html?page_id=96689, Oftalmológia,Banskobystricky,Detva
"Všeobecná ambulancia pre dospelých, Hriňová, (ZH Derm s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-dospelych-hrinova-zh-derm.html?page_id=96679, Všeobecné lekárstvo,Banskobystricky,Detva
"Všeobecná ambulancia pre dospelých, Detva, (X-MEDIC s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-dospelych-detva-x-medic.html?page_id=96664, Všeobecné lekárstvo,Banskobystricky,Detva
"Gynekologická ambulancia, Hriňová, (VITASANA s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/gynekologicka-ambulancia-hrinova-vitasana.html?page_id=96545," Gynekológia a pôrodníctvo, Ultrazvuk v gynekológii a pôrodníctve",Banskobystricky,Detva
"Ortopedická ambulancia, Detva, (VERTEBRA M&M, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/ortopedicka-ambulancia-detva-vertebra-mm.html?page_id=96525, Ortopédia,Banskobystricky,Detva
"Všeobecná ambulancia pre deti a dorast,  MUDr. Anna Pivolusková, Detva, (TRIPED, s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/detva/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-anna-pivoluskova-detva-triped-s.-r.-o..html?page_id=96491, Všeobecná starostlivosť o deti a dorast,Banskobystricky,Detva
