title,doctor_url,specialization,kraj,okres
"Ortopedická ambulancia, Dudince, (ORTO BIEN s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/krupina/ortopedicka-ambulancia-dudince-orto-bien-s.-r.-o..html?page_id=143554, Ortopédia,Banskobystricky,Krupina
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Dudince, (REHAKLINIKA, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/krupina/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-dudince-rehaklinika.html?page_id=142179," Fyziatria, balneológia a liečebná rehabilitácia",Banskobystricky,Krupina
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Dudince, (REHAKLINIKA, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/krupina/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-dudince-rehaklinika.html?page_id=142178," Fyziatria, balneológia a liečebná rehabilitácia",Banskobystricky,Krupina
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Krupina, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/krupina/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-krupina-nemocnica-agel-zvolen-a.s.-1.html?page_id=141188," Fyziatria, balneológia a liečebná rehabilitácia",Banskobystricky,Krupina
"SVaLZ, rádiológia, Krupina, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/krupina/svalz-radiologia-krupina-nemocnica-agel-zvolen-a.s.-1.html?page_id=141187, Rádiológia,Banskobystricky,Krupina
"Ortopedická ambulancia, Krupina, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/krupina/ortopedicka-ambulancia-krupina-nemocnica-agel-zvolen-a.s.-1.html?page_id=141168, Ortopédia,Banskobystricky,Krupina
"Geriatrická ambulancia, Krupina, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/krupina/geriatricka-ambulancia-krupina-nemocnica-agel-zvolen-a.s.-1.html?page_id=141159, Geriatria,Banskobystricky,Krupina
"Chirurgická ambulancia, Krupina, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/krupina/chirurgicka-ambulancia-krupina-nemocnica-agel-zvolen-a.s.-1.html?page_id=141156, Chirurgia,Banskobystricky,Krupina
"Ambulancia vnútorného lekárstva, Krupina, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/krupina/ambulancia-vnutorneho-lekarstva-krupina-nemocnica-agel-zvolen-a.s.-1.html?page_id=141152, Vnútorné lekárstvo,Banskobystricky,Krupina
"ADOS, Sládkovičova, Krupina, (ADOS ZDRAVIE KRUPINA s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/krupina/ados-sladkovicova-krupina-ados-zdravie-krupina.html?page_id=140082, Domáca ošetrovateľská starostlivosť,Banskobystricky,Krupina
