title,doctor_url,specialization,kraj,okres
"Psychiatrická ambulancia, Lučenec, (INGMED, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/psychiatricka-ambulancia-lucenec-ingmed.html?page_id=143355, Psychiatria,Banskobystricky,Lučenec
"Chirurgická ambulancia, Lučenec, (LC-CHIR s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/chirurgicka-ambulancia-lucenec-lc-chir.html?page_id=142625, Chirurgia,Banskobystricky,Lučenec
"Ambulancia úrazovej chirurgie, Lučenec, (LC-CHIR s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/ambulancia-urazovej-chirurgie-lucenec-lc-chir.html?page_id=142624, úrazová chirurgia,Banskobystricky,Lučenec
"Všeobecná ambulancia pre deti a dorast, MUDr. Lal Faizi, Fiľakovo, (LMF med s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-lal-faizi-filakovo-lmf-med.html?page_id=142039, Pediatria,Banskobystricky,Lučenec
"Nefrologická ambulancia,  MUDr. Ivan Hrdina, Lučenec, (NEDIK-MED s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/nefrologicka-ambulancia-mudr.-ivan-hrdina-lucenec-nedik-med.html?page_id=141063," Nefrológia, Abdominálna ultrasonografia u dospelých",Banskobystricky,Lučenec
"Ambulancia diabetológie a porúch látkovej premeny a výživy, MUDr. Erika Rendeková, Lučenec, (NEDIK-MED s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-mudr.-erika-rendekova-lucenec-nedik-med.html?page_id=141060," Diabetológia, poruchy látkovej premeny a výživy",Banskobystricky,Lučenec
"Ambulancia vnútorného lekárstva, Lučenec, (NEDIK-MED s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/ambulancia-vnutorneho-lekarstva-lucenec-nedik-med.html?page_id=141061, Vnútorné lekárstvo,Banskobystricky,Lučenec
"Endokrinologická ambulancia,  MUDr. Erika Rendeková, Lučenec, (NEDIK-MED s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/endokrinologicka-ambulancia-mudr.-erika-rendekova-lucenec-nedik-med.html?page_id=141062, Endokrinológia,Banskobystricky,Lučenec
"Ambulancia zubného lekárstva, Lučenec, (STRAUSS DENT s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/ambulancia-zubneho-lekarstva-lucenec-strauss-dent-s.-r.-o..html?page_id=140270," Zubné lekárstvo, Dentoalveolárna chirurgia",Banskobystricky,Lučenec
"Ambulancia zubného lekárstva, Fiľakovo, (EMELI s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/lucenec/ambulancia-zubneho-lekarstva-filakovo-emeli.html?page_id=135544, Zubné lekárstvo,Banskobystricky,Lučenec
