title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, Málinec, (PO - UPOLMED s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/vseobecna-ambulancia-pre-dospelych-malinec-po-upolmed.html?page_id=140790, Všeobecné lekárstvo,Banskobystricky,Poltár
"Otorinolaryngologická ambulancia, MUDr. Drahoslava Kolenkášová, Poltár, (ORoL-med, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/otorinolaryngologicka-ambulancia-mudr.-drahoslava-kolenkasova-poltar-orol-med.html?page_id=140693, Otorinolaryngológia,Banskobystricky,Poltár
"Všeobecná ambulancia pre dospelých, MUDr. Peter Olšiak, Cinobaňa, (PO - UPOLMED s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/vseobecna-ambulancia-pre-dospelych-mudr.-peter-olsiak-cinobana-po-upolmed.html?page_id=135323, Všeobecné lekárstvo,Banskobystricky,Poltár
"Ambulancia rýchlej zdravotnej pomoci, Poltár, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/ambulancia-rychlej-zdravotnej-pomoci-poltar-lse-life-star-emergency.html?page_id=134740, Rýchla zdravotná pomoc,Banskobystricky,Poltár
"Ambulancia rýchlej zdravotnej pomoci, Kokava nad Rimavicou, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/ambulancia-rychlej-zdravotnej-pomoci-kokava-nad-rimavicou-lse-life-star-emergency.html?page_id=134739, Rýchla zdravotná pomoc,Banskobystricky,Poltár
"Ambulancia zubného lekárstva, Ion Castravet, Poltár, (CASTRAVET DENT, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/ambulancia-zubneho-lekarstva-ion-castravet-poltar-castravet-dent.html?page_id=126018, Zubné lekárstvo,Banskobystricky,Poltár
"Psychiatrická ambulancia, Poltár, (SAMINO s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/psychiatricka-ambulancia-poltar-samino.html?page_id=124133, Psychiatria,Banskobystricky,Poltár
"Ambulancia detskej psychiatrie, Poltár, (SAMINO s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/ambulancia-detskej-psychiatrie-poltar-samino.html?page_id=124132, Detská psychiatria,Banskobystricky,Poltár
"ADOS, Banská ulica, Cinobaňa, (TOP SAMBESI s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/ados-banska-ulica-cinobana-top-sambesi.html?page_id=96482, Domáca ošetrovateľská starostlivosť,Banskobystricky,Poltár
"Ambulancia zubného lekárstva, Kokava nad Rimavicou, (TKdent s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/ambulancia-zubneho-lekarstva-kokava-nad-rimavicou-tkdent.html?page_id=96477," Zubné lekárstvo, čeľustná ortopédia",Banskobystricky,Poltár
"ADOS, Slaná Lehota, Poltár, (TILIA nezisková organizácia)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/ados-slana-lehota-poltar-tilia-neziskova-organizacia.html?page_id=96473, Domáca ošetrovateľská starostlivosť,Banskobystricky,Poltár
"Všeobecná ambulancia pre dospelých, Hrnčiarska Ves, (TEN PRAKTIK s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/vseobecna-ambulancia-pre-dospelych-hrnciarska-ves-ten-praktik.html?page_id=96471, Všeobecné lekárstvo,Banskobystricky,Poltár
"Všeobecná ambulancia pre dospelých, Sušany, (TEN PRAKTIK s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/vseobecna-ambulancia-pre-dospelych-susany-ten-praktik.html?page_id=96470, Všeobecné lekárstvo,Banskobystricky,Poltár
"Všeobecná ambulancia pre dospelých, Hrnčiarske Zalužany, (TEN PRAKTIK s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/vseobecna-ambulancia-pre-dospelych-hrnciarske-zaluzany-ten-praktik.html?page_id=96468, Všeobecné lekárstvo,Banskobystricky,Poltár
"Ambulancia zubného lekárstva, Cinobaňa, (STRAUSS DENT s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/ambulancia-zubneho-lekarstva-cinobana-strauss-dent-s.-r.-o..html?page_id=96334," Zubné lekárstvo, Dentoalveolárna chirurgia",Banskobystricky,Poltár
"SVaLZ, rádiológia, Poltár, (SOMATO s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/svalz-radiologia-poltar-somato.html?page_id=96310, Rádiológia,Banskobystricky,Poltár
"Všeobecná ambulancia pre deti a dorast, Poltár, (PDOS, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poltar/vseobecna-ambulancia-pre-deti-a-dorast-poltar-pdos.html?page_id=95976, Všeobecná starostlivosť o deti a dorast,Banskobystricky,Poltár
