title,doctor_url,specialization,kraj,okres
"Mobilný hospic, Revúca, (Nemocnica s poliklinikou, n.o. Revúca)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/revuca/mobilny-hospic-revuca-nemocnica-s-poliklinikou-n.o.-revuca.html?page_id=143593, Domáca hospicová starostlivosť,Banskobystricky,Revúca
"ADOS, Litovelská, Revúca, (Nemocnica s poliklinikou, n.o. Revúca)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/revuca/ados-litovelska-revuca-nemocnica-s-poliklinikou-n.o.-revuca.html?page_id=143592, Domáca ošetrovateľská starostlivosť,Banskobystricky,Revúca
"Ambulancia pediatrickej neurológie, Tornaľa, (MEDI P-K s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/revuca/ambulancia-pediatrickej-neurologie-tornala-medi-p-k-s.-r.-o..html?page_id=143559,!,Banskobystricky,Revúca
"Ambulancia vnútorného lekárstva, Muránska Huta, (Odborný liečebný ústav psychiatrický n. o. Predná Hora)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/revuca/ambulancia-vnutorneho-lekarstva-muranska-huta-odborny-liecebny-ustav-psychiatricky-n.-o.-predna-hora.html?page_id=143174, Vnútorné lekárstvo,Banskobystricky,Revúca
"SVaLZ, fyzioterapia, Muránska Huta, (Odborný liečebný ústav psychiatrický n. o. Predná Hora)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/revuca/svalz-fyzioterapia-muranska-huta-odborny-liecebny-ustav-psychiatricky-n.-o.-predna-hora.html?page_id=143175, Fyzioterapia,Banskobystricky,Revúca
"Ambulancia zubného lekárstva, Tornaľa, (pH-dent s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/revuca/ambulancia-zubneho-lekarstva-tornala-ph-dent-s.-r.-o..html?page_id=142484, Zubné lekárstvo,Banskobystricky,Revúca
"Ambulancia zubného lekárstva, Tornaľa, (OZDent s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/revuca/ambulancia-zubneho-lekarstva-tornala-ozdent.html?page_id=142482, Zubné lekárstvo,Banskobystricky,Revúca
"Všeobecná ambulancia pre dospelých, Jelšava, (JADAMED s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/revuca/vseobecna-ambulancia-pre-dospelych-jelsava-jadamed.html?page_id=141789, Všeobecné lekárstvo,Banskobystricky,Revúca
"Všeobecná ambulancia pre deti a dorast, MUDr. Pavel Koniar, Tornaľa, (MEDI P-K s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/revuca/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-pavel-koniar-tornala-medi-p-k-s.-r.-o..html?page_id=135842, Pediatria,Banskobystricky,Revúca
"Ambulancia rýchlej zdravotnej pomoci, Tornaľa 1, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/revuca/ambulancia-rychlej-zdravotnej-pomoci-tornala-1-lse-life-star-emergency.html?page_id=134914, Rýchla zdravotná pomoc,Banskobystricky,Revúca
