title,doctor_url,specialization,kraj,okres
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Rimavská Sobota, (Santé rs, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/rimavska-sobota/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-rimavska-sobota-sante-rs.html?page_id=143555," Fyziatria, balneológia a liečebná rehabilitácia",Banskobystricky,Rimavska Sobota
"Ambulancia vnútorného lekárstva, Číž, (Prírodné jódové kúpele Číž, a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/rimavska-sobota/ambulancia-vnutorneho-lekarstva-ciz-prirodne-jodove-kupele-ciz-a.s..html?page_id=142598, Vnútorné lekárstvo,Banskobystricky,Rimavska Sobota
"Ambulancia zubného lekárstva, Rimavská Sobota, (SS-dent, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/rimavska-sobota/ambulancia-zubneho-lekarstva-rimavska-sobota-ss-dent.html?page_id=142183, Zubné lekárstvo,Banskobystricky,Rimavska Sobota
"Chirurgická ambulancia, Rimavská Sobota, (CHIR-MED s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/rimavska-sobota/chirurgicka-ambulancia-rimavska-sobota-chir-med.html?page_id=140970, Chirurgia,Banskobystricky,Rimavska Sobota
"Ambulancia zubného lekárstva, Rimavská Sobota, (OZDent s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/rimavska-sobota/ambulancia-zubneho-lekarstva-rimavska-sobota-ozdent.html?page_id=140663, Zubné lekárstvo,Banskobystricky,Rimavska Sobota
"Ambulancia zubného lekárstva, Rimavská Sobota, (OZDent s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/rimavska-sobota/ambulancia-zubneho-lekarstva-rimavska-sobota-ozdent-1.html?page_id=140664, Zubné lekárstvo,Banskobystricky,Rimavska Sobota
"Všeobecná ambulancia pre dospelých, MUDr. Zuzana Uličná, Bátka, (DOCTOR RS s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/rimavska-sobota/vseobecna-ambulancia-pre-dospelych-mudr.-zuzana-ulicna-batka-doctor-rs-s.-r.-o..html?page_id=140431, Všeobecné lekárstvo,Banskobystricky,Rimavska Sobota
"Ambulancia zubného lekárstva, Nová Bašta, (OZDent s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/rimavska-sobota/ambulancia-zubneho-lekarstva-nova-basta-ozdent.html?page_id=135941, Zubné lekárstvo,Banskobystricky,Rimavska Sobota
"Oftalmologická ambulancia, Rimavská Sobota, (Svet zdravia, a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/rimavska-sobota/oftalmologicka-ambulancia-rimavska-sobota-svet-zdravia-a.s..html?page_id=135516, Oftalmológia,Banskobystricky,Rimavska Sobota
"Ambulancia zubného lekárstva, Rimavská Sobota, (microDENT clinic, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/rimavska-sobota/ambulancia-zubneho-lekarstva-rimavska-sobota-microdent-clinic-1.html?page_id=135503," Zubné lekárstvo, Dentoalveolárna chirurgia",Banskobystricky,Rimavska Sobota
