title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, Vinica, (MUDr. Beata Krupčiaková)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/vseobecna-ambulancia-pre-dospelych-vinica-mudr.-beata-krupciakova.html?page_id=143520, Všeobecné lekárstvo,Banskobystricky,Veľký Krtíš
"ADOS, Cesta Slobody, Vinica, (SWOT spol. s r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ados-cesta-slobody-vinica-swot-spol.-s-r.o..html?page_id=143176, Domáca ošetrovateľská starostlivosť,Banskobystricky,Veľký Krtíš
"Ambulancia zubného lekárstva, Mykhailo Kotsan, Veľký Krtíš, (Milvus Dent s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-zubneho-lekarstva-mykhailo-kotsan-velky-krtis-milvus-dent.html?page_id=142748," Zubné lekárstvo, Dentoalveolárna chirurgia, Implantológia",Banskobystricky,Veľký Krtíš
"Kardiologická ambulancia, Veľký Krtíš, (ROZVOJOVÁ AGENTÚRA Banskobystrického samosprávneho kraja, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/kardiologicka-ambulancia-velky-krtis-rozvojova-agentura-banskobystrickeho-samospravneho-kraja-n.o..html?page_id=142735, Kardiológia,Banskobystricky,Veľký Krtíš
"Ambulancia vnútorného lekárstva, Veľký Krtíš, (ROZVOJOVÁ AGENTÚRA Banskobystrického samosprávneho kraja, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-vnutorneho-lekarstva-velky-krtis-rozvojova-agentura-banskobystrickeho-samospravneho-kraja-n.o..html?page_id=142734, Vnútorné lekárstvo,Banskobystricky,Veľký Krtíš
"Všeobecná ambulancia pre deti a dorast, Veľký Krtíš, (MedGol s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/vseobecna-ambulancia-pre-deti-a-dorast-velky-krtis-medgol-s.-r.-o..html?page_id=142627, Pediatria,Banskobystricky,Veľký Krtíš
"Všeobecná ambulancia pre dospelých,  doc. MUDr. Ferdinand Sasváry, PhD., Balog nad Ipľom, (Interhem s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/vseobecna-ambulancia-pre-dospelych-doc.-mudr.-ferdinand-sasvary-phd.-balog-nad-iplom-interhem.html?page_id=141226, Všeobecné lekárstvo,Banskobystricky,Veľký Krtíš
"Všeobecná ambulancia pre dospelých, MUDr. Ľudmila Resutíková, Veľký Krtíš, (Resutík s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/vseobecna-ambulancia-pre-dospelych-mudr.-ludmila-resutikova-velky-krtis-resutik.html?page_id=140791, Všeobecné lekárstvo,Banskobystricky,Veľký Krtíš
"Ambulancia zubného lekárstva, Vinica, (MJ - DENT s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-zubneho-lekarstva-vinica-mj-dent.html?page_id=139048, Zubné lekárstvo,Banskobystricky,Veľký Krtíš
"Ortopedická ambulancia, Vinica, (KOLLÁR ORTHOPAEDICS s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ortopedicka-ambulancia-vinica-kollar-orthopaedics.html?page_id=135376, Ortopédia,Banskobystricky,Veľký Krtíš
"Ambulancia zubného lekárstva, Veľký Krtíš, (AADent s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-zubneho-lekarstva-velky-krtis-aadent.html?page_id=135319, Zubné lekárstvo,Banskobystricky,Veľký Krtíš
"Všeobecná ambulancia pre dospelých, MUDr. Mária Tóthová, Modrý Kameň, (TMT - GPRAKTIK s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/vseobecna-ambulancia-pre-dospelych-mudr.-maria-tothova-modry-kamen-tmt-gpraktik.html?page_id=135022, Všeobecné lekárstvo,Banskobystricky,Veľký Krtíš
"Ambulancia rýchlej zdravotnej pomoci, Vinica, (ZaMED, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-rychlej-zdravotnej-pomoci-vinica-zamed.html?page_id=134915, Rýchla zdravotná pomoc,Banskobystricky,Veľký Krtíš
"Ambulancia zubného lekárstva, Veľký Krtíš, (SchwarzDent, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-zubneho-lekarstva-velky-krtis-schwarzdent-1.html?page_id=134755, Zubné lekárstvo,Banskobystricky,Veľký Krtíš
"Ambulancia zubného lekárstva, Veľký Krtíš, (SchwarzDent, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-zubneho-lekarstva-velky-krtis-schwarzdent.html?page_id=134756, Zubné lekárstvo,Banskobystricky,Veľký Krtíš
"Ambulancia rýchlej zdravotnej pomoci, Slovenské Ďarmoty, (ZaMED, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-rychlej-zdravotnej-pomoci-slovenske-darmoty-zamed.html?page_id=134701, Rýchla zdravotná pomoc,Banskobystricky,Veľký Krtíš
"Ambulancia rýchlej zdravotnej pomoci, Veľký Krtíš 2, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-rychlej-zdravotnej-pomoci-velky-krtis-2-lse-life-star-emergency.html?page_id=134700, Rýchla zdravotná pomoc,Banskobystricky,Veľký Krtíš
"Ambulancia rýchlej lekárskej pomoci, Veľký Krtíš 1, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-rychlej-lekarskej-pomoci-velky-krtis-1-lse-life-star-emergency.html?page_id=134699, Rýchla lekárska pomoc,Banskobystricky,Veľký Krtíš
"Dopravná zdravotná služba, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/dopravna-zdravotna-sluzba-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=132775,,Banskobystricky,Veľký Krtíš
"Všeobecná ambulancia pre dospelých, Bušince, (MD medical s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/vseobecna-ambulancia-pre-dospelych-busince-md-medical.html?page_id=132641, Všeobecné lekárstvo,Banskobystricky,Veľký Krtíš
"Ambulancia zubného lekárstva, Mykhailo Oros, Balog nad Ipľom, (Milvus Dent s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-zubneho-lekarstva-mykhailo-oros-balog-nad-iplom-milvus-dent.html?page_id=132433," Zubné lekárstvo, Dentoalveolárna chirurgia, Implantológia",Banskobystricky,Veľký Krtíš
"ADOS Biele srdce, s.r.o., Lesenice 109, Lesenice, (ADOS Biele srdce s r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ados-biele-srdce-lesenice-109-lesenice-ados-biele-srdce-s-r.o..html?page_id=132075, Domáca ošetrovateľská starostlivosť,Banskobystricky,Veľký Krtíš
"Ambulancia vnútorného lekárstva, MUDr. Brigita Škerlecová, Veľký Krtíš, (INT-MED s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-vnutorneho-lekarstva-mudr.-brigita-skerlecova-velky-krtis-int-med.html?page_id=130979, Vnútorné lekárstvo,Banskobystricky,Veľký Krtíš
"SVaLZ, rádiológia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/svalz-radiologia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=130972, Rádiológia,Banskobystricky,Veľký Krtíš
"SVaLZ, klinická biochémia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/svalz-klinicka-biochemia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=130973, Klinická biochémia,Banskobystricky,Veľký Krtíš
"Všeobecná ambulancia pre dospelých, Veľký Krtíš, (MUDr. Adriana Magerčáková)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/vseobecna-ambulancia-pre-dospelych-velky-krtis-mudr.-adriana-magercakova.html?page_id=126586, Všeobecné lekárstvo,Banskobystricky,Veľký Krtíš
"RAO s.r.o., Veľký Krtíš, (RAO s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/rao-velky-krtis-rao.html?page_id=126256, Urológia,Banskobystricky,Veľký Krtíš
"SVaLZ, klinická biochémia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/svalz-klinicka-biochemia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o.-1.html?page_id=96651, Klinická biochémia,Banskobystricky,Veľký Krtíš
"SVaLZ, klinická mikrobiológia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/svalz-klinicka-mikrobiologia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96652, Klinická mikrobiológia,Banskobystricky,Veľký Krtíš
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96653," Fyziatria, balneológia a liečebná rehabilitácia",Banskobystricky,Veľký Krtíš
"SVaLZ, funkčná diagnostika, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/svalz-funkcna-diagnostika-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96654, Funkčná diagnostika,Banskobystricky,Veľký Krtíš
"SVaLZ, hematológia a transfuziológia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/svalz-hematologia-a-transfuziologia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96655, Hematológia a transfuziológia,Banskobystricky,Veľký Krtíš
"Jednodňová zdravotná starostlivosť, ortopédia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/jednodnova-zdravotna-starostlivost-ortopedia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96647, Ortopédia,Banskobystricky,Veľký Krtíš
"Jednodňová zdravotná starostlivosť, úrazová chirurgia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/jednodnova-zdravotna-starostlivost-urazova-chirurgia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96648, úrazová chirurgia,Banskobystricky,Veľký Krtíš
"Jednodňová zdravotná starostlivosť, gastroenterológia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/jednodnova-zdravotna-starostlivost-gastroenterologia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96649, Gastroenterológia,Banskobystricky,Veľký Krtíš
"SVaLZ, rádiológia,  prim. MUDr. Judita Janičinová, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/svalz-radiologia-prim.-mudr.-judita-janicinova-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96650, Rádiológia,Banskobystricky,Veľký Krtíš
"Nefrologická ambulancia, MUDr. Tomáš Resutík, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/nefrologicka-ambulancia-mudr.-tomas-resutik-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96643, Nefrológia,Banskobystricky,Veľký Krtíš
"Pediatrická ambulancia, MUDr. Július Boldiš, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/pediatricka-ambulancia-mudr.-julius-boldis-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96644, Pediatria,Banskobystricky,Veľký Krtíš
"Stacionár, pediatria, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/stacionar-pediatria-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96645, Pediatria,Banskobystricky,Veľký Krtíš
"Jednodňová zdravotná starostlivosť, chirurgia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/jednodnova-zdravotna-starostlivost-chirurgia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96646, Chirurgia,Banskobystricky,Veľký Krtíš
"Chirurgická ambulancia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/chirurgicka-ambulancia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96639," Chirurgia, Onkológia v chirurgii",Banskobystricky,Veľký Krtíš
"Gastroenterologická ambulancia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/gastroenterologicka-ambulancia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96640, Gastroenterológia,Banskobystricky,Veľký Krtíš
"Geriatrická ambulancia, MUDr. Jana Vyoralová, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/geriatricka-ambulancia-mudr.-jana-vyoralova-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96641, Geriatria,Banskobystricky,Veľký Krtíš
"Kardiologická ambulancia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/kardiologicka-ambulancia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96642, Kardiológia,Banskobystricky,Veľký Krtíš
"Ambulancia vnútorného lekárstva, MUDr. Nikoletta Ryazanová, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-vnutorneho-lekarstva-mudr.-nikoletta-ryazanova-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96634, Vnútorné lekárstvo,Banskobystricky,Veľký Krtíš
"Ambulancia úrazovej chirurgie, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-urazovej-chirurgie-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96635, úrazová chirurgia,Banskobystricky,Veľký Krtíš
"Chirurgická ambulancia, Prim. MUDr. Vladimír Lukáč, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/chirurgicka-ambulancia-prim.-mudr.-vladimir-lukac-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96636, Chirurgia,Banskobystricky,Veľký Krtíš
"Chirurgická ambulancia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/chirurgicka-ambulancia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o.-2.html?page_id=96637, Chirurgia,Banskobystricky,Veľký Krtíš
"Chirurgická ambulancia, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/chirurgicka-ambulancia-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o.-1.html?page_id=96638, Chirurgia,Banskobystricky,Veľký Krtíš
"Ambulancia anestéziológie a intenzívnej medicíny, Prim. MUDr. Milan Panenko, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-anesteziologie-a-intenzivnej-mediciny-prim.-mudr.-milan-panenko-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96631, Anestéziológia a intenzívna medicína,Banskobystricky,Veľký Krtíš
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Veľký Krtíš, (Všeobecná nemocnica s poliklinikou, n.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-velky-krtis-vseobecna-nemocnica-s-poliklinikou-n.o..html?page_id=96632," Fyziatria, balneológia a liečebná rehabilitácia",Banskobystricky,Veľký Krtíš
