title,doctor_url,specialization,kraj,okres
"Angiologická ambulancia, Zvolen, (SANAVEN s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/angiologicka-ambulancia-zvolen-sanaven-s.-r.-o..html?page_id=143582, Angiológia,Banskobystricky,Zvolen
"SVaLZ, fyzioterapia, Zvolen, (Bc. Martin Kučera)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/svalz-fyzioterapia-zvolen-bc.-martin-kucera.html?page_id=143552, Fyzioterapia,Banskobystricky,Zvolen
"Jednodňová zdravotná starostlivosť, urológia, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/jednodnova-zdravotna-starostlivost-urologia-zvolen-nemocnica-agel-zvolen-a.s..html?page_id=143366, Urológia,Banskobystricky,Zvolen
"Jednodňová zdravotná starostlivosť, plastická chirurgia, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/jednodnova-zdravotna-starostlivost-plasticka-chirurgia-zvolen-nemocnica-agel-zvolen-a.s..html?page_id=143367, Plastická chirurgia,Banskobystricky,Zvolen
"SVaLZ, fyzioterapia, Zvolen, (Bc. Gabriela Chamulová)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/svalz-fyzioterapia-zvolen-bc.-gabriela-chamulova.html?page_id=143161, Fyzioterapia,Banskobystricky,Zvolen
"Jednodňová zdravotná starostlivosť, chirurgia, Zvolen, (AB MED, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/jednodnova-zdravotna-starostlivost-chirurgia-zvolen-ab-med.html?page_id=143123, Chirurgia,Banskobystricky,Zvolen
"SVaLZ, liečebná rehabilitácia a fyzioterapia porúch vybraných systémov, Zvolen, (BODY - CENTRUM s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/svalz-liecebna-rehabilitacia-a-fyzioterapia-poruch-vybranych-systemov-zvolen-body-centrum.html?page_id=142523, Liečebná rehabilitácia a fyzioterapia porúch vybraných systémov,Banskobystricky,Zvolen
"SVaLZ, fyzioterapia, Zvolen, (RehaBrevis, s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/svalz-fyzioterapia-zvolen-rehabrevis-s.-r.-o..html?page_id=142121," Fyzioterapia, Fyzioterapia vybraných ochorení pohybového systému",Banskobystricky,Zvolen
"Chirurgická ambulancia, Sliač, (Viktorka s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/chirurgicka-ambulancia-sliac-viktorka-s.-r.-o..html?page_id=141896," Chirurgia, Abdominálna ultrasonografia u dospelých",Banskobystricky,Zvolen
"Stacionár, klinická onkológia, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/stacionar-klinicka-onkologia-zvolen-nemocnica-agel-zvolen-a.s..html?page_id=141479, Klinická onkológia,Banskobystricky,Zvolen
"Ambulancia klinickej onkológie, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/ambulancia-klinickej-onkologie-zvolen-nemocnica-agel-zvolen-a.s.-1.html?page_id=141478, Klinická onkológia,Banskobystricky,Zvolen
"Ambulancia klinickej logopédie, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/ambulancia-klinickej-logopedie-zvolen-nemocnica-agel-zvolen-a.s..html?page_id=141299, Klinická logopédia,Banskobystricky,Zvolen
"SVaLZ, klinická mikrobiológia, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/svalz-klinicka-mikrobiologia-zvolen-nemocnica-agel-zvolen-a.s.-1.html?page_id=141186, Klinická mikrobiológia,Banskobystricky,Zvolen
"SVaLZ, klinická imunológia a alergológia, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/svalz-klinicka-imunologia-a-alergologia-zvolen-nemocnica-agel-zvolen-a.s.-1.html?page_id=141189, Klinická imunológia a alergológia,Banskobystricky,Zvolen
"SVaLZ, rádiológia, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/svalz-radiologia-zvolen-nemocnica-agel-zvolen-a.s.-2.html?page_id=141191, Rádiológia,Banskobystricky,Zvolen
"Jednodňová zdravotná starostlivosť, otorinolaryngológia, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/jednodnova-zdravotna-starostlivost-otorinolaryngologia-zvolen-nemocnica-agel-zvolen-a.s.-1.html?page_id=141177, Otorinolaryngológia,Banskobystricky,Zvolen
"Jednodňová zdravotná starostlivosť, gynekológia a pôrodníctvo, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/jednodnova-zdravotna-starostlivost-gynekologia-a-porodnictvo-zvolen-nemocnica-agel-zvolen-a.s.-1.html?page_id=141178, Gynekológia a pôrodníctvo,Banskobystricky,Zvolen
"Jednodňová zdravotná starostlivosť, chirurgia, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/jednodnova-zdravotna-starostlivost-chirurgia-zvolen-nemocnica-agel-zvolen-a.s.-1.html?page_id=141179, Chirurgia,Banskobystricky,Zvolen
"Jednodňová zdravotná starostlivosť, ortopédia, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/jednodnova-zdravotna-starostlivost-ortopedia-zvolen-nemocnica-agel-zvolen-a.s.-1.html?page_id=141180, Ortopédia,Banskobystricky,Zvolen
"Jednodňová zdravotná starostlivosť, úrazová chirurgia, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/jednodnova-zdravotna-starostlivost-urazova-chirurgia-zvolen-nemocnica-agel-zvolen-a.s.-1.html?page_id=141181, úrazová chirurgia,Banskobystricky,Zvolen
"SVaLZ, rádiológia, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/svalz-radiologia-zvolen-nemocnica-agel-zvolen-a.s.-1.html?page_id=141182, Rádiológia,Banskobystricky,Zvolen
"SVaLZ, klinická biochémia, Zvolen, (Nemocnica AGEL Zvolen a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zvolen/svalz-klinicka-biochemia-zvolen-nemocnica-agel-zvolen-a.s.-1.html?page_id=141183, Klinická biochémia,Banskobystricky,Zvolen
