title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, Žarnovica, (Žarnovica Dent s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zarnovica/ambulancia-zubneho-lekarstva-zarnovica-zarnovica-dent.html?page_id=142754, Zubné lekárstvo,Banskobystricky,Žarnovica
"Ambulancia klinickej psychológie, Nová Baňa, (PSYCH-insieme, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zarnovica/ambulancia-klinickej-psychologie-nova-bana-psych-insieme.html?page_id=142491," Klinická psychológia, Psychoterapia",Banskobystricky,Žarnovica
"SVaLZ, rádiológia, Žarnovica, (DIAGNOSTICA MEDICA, a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zarnovica/svalz-radiologia-zarnovica-diagnostica-medica-a.s..html?page_id=142405, Rádiológia,Banskobystricky,Žarnovica
"Gynekologická ambulancia,  MUDr. Kamil Pahuli, Žarnovica, (Bona Quarta, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zarnovica/gynekologicka-ambulancia-mudr.-kamil-pahuli-zarnovica-bona-quarta.html?page_id=142298, Gynekológia a pôrodníctvo,Banskobystricky,Žarnovica
"Gynekologická ambulancia, Nová Baňa, (FMCK s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zarnovica/gynekologicka-ambulancia-nova-bana-fmck-s.-r.-o..html?page_id=141276, Gynekológia a pôrodníctvo,Banskobystricky,Žarnovica
"Ambulancia rýchlej lekárskej pomoci, Nová Baňa, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zarnovica/ambulancia-rychlej-lekarskej-pomoci-nova-bana-zachranna-zdravotna-sluzba-bratislava-1.html?page_id=134821, Rýchla lekárska pomoc,Banskobystricky,Žarnovica
"Ambulancia rýchlej zdravotnej pomoci, Žarnovica, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zarnovica/ambulancia-rychlej-zdravotnej-pomoci-zarnovica-zachranna-zdravotna-sluzba-bratislava-1.html?page_id=134820, Rýchla zdravotná pomoc,Banskobystricky,Žarnovica
"Urologická ambulancia, Nová Baňa, (Restarik Slovakia s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zarnovica/urologicka-ambulancia-nova-bana-restarik-slovakia-s.-r.-o..html?page_id=134654, Urológia,Banskobystricky,Žarnovica
"Všeobecná ambulancia pre deti a dorast, Žarnovica, (MUDr. Renáta Hrnčiarová s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zarnovica/vseobecna-ambulancia-pre-deti-a-dorast-zarnovica-mudr.-renata-hrnciarova-1.html?page_id=132391, Pediatria,Banskobystricky,Žarnovica
"Ambulancia klinickej imunológie a alergológie, Žarnovica, (IMMUNIS MEDICUS s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zarnovica/ambulancia-klinickej-imunologie-a-alergologie-zarnovica-immunis-medicus.html?page_id=132371, Klinická imunológia a alergológia,Banskobystricky,Žarnovica
