title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, Žiar nad Hronom, (JAMI DENT s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ziar-nad-hronom/ambulancia-zubneho-lekarstva-ziar-nad-hronom-jami-dent.html?page_id=143763, Zubné lekárstvo,Banskobystricky,Žiar nad Hronom
"Ambulancia klinickej psychológie, Kremnica, (Mgr. Marcela Fronková)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ziar-nad-hronom/ambulancia-klinickej-psychologie-kremnica-mgr.-marcela-fronkova.html?page_id=143100," Klinická psychológia, Dopravná psychológia",Banskobystricky,Žiar nad Hronom
"Ambulancia zubného lekárstva, MUDr. Anna Németová, Žiar nad Hronom, (DENTANEM, s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ziar-nad-hronom/ambulancia-zubneho-lekarstva-mudr.-anna-nemetova-ziar-nad-hronom-dentanem.html?page_id=136327, Zubné lekárstvo,Banskobystricky,Žiar nad Hronom
"Ambulancia dentálnej hygieny, Žiar nad Hronom, (Bc. Silvia Urbanová)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ziar-nad-hronom/ambulancia-dentalnej-hygieny-ziar-nad-hronom-bc.-silvia-urbanova.html?page_id=136325, Dentálna hygiena,Banskobystricky,Žiar nad Hronom
"SVaLZ, rádiológia, Žiar nad Hronom, (SONOMED s. r. o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ziar-nad-hronom/svalz-radiologia-ziar-nad-hronom-sonomed-s.-r.-o..html?page_id=135917, Rádiológia,Banskobystricky,Žiar nad Hronom
"Algeziologická ambulancia, Žiar nad Hronom, (Svet zdravia, a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ziar-nad-hronom/algeziologicka-ambulancia-ziar-nad-hronom-svet-zdravia-a.s..html?page_id=135046, Algeziológia,Banskobystricky,Žiar nad Hronom
"Ambulancia klinickej logopédie, Žiar nad Hronom, (Ambulancia klinickej logopédie s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ziar-nad-hronom/ambulancia-klinickej-logopedie-ziar-nad-hronom-ambulancia-klinickej-logopedie.html?page_id=134870, Klinická logopédia,Banskobystricky,Žiar nad Hronom
"Ambulancia rýchlej lekárskej pomoci, Žiar nad Hronom 1, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ziar-nad-hronom/ambulancia-rychlej-lekarskej-pomoci-ziar-nad-hronom-1-zachranna-zdravotna-sluzba-bratislava.html?page_id=133067, Rýchla lekárska pomoc,Banskobystricky,Žiar nad Hronom
"Endokrinologická ambulancia, Žiar nad Hronom, (Svet zdravia, a.s.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ziar-nad-hronom/endokrinologicka-ambulancia-ziar-nad-hronom-svet-zdravia-a.s..html?page_id=133031, Endokrinológia,Banskobystricky,Žiar nad Hronom
"Ambulancia rýchlej zdravotnej pomoci „S“, Žiar nad Hronom 2, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ziar-nad-hronom/ambulancia-rychlej-zdravotnej-pomoci-s-ziar-nad-hronom-2-zachranna-zdravotna-sluzba-bratislava.html?page_id=132776, Rýchla zdravotná pomoc „S“,Banskobystricky,Žiar nad Hronom
"Ambulancia zubného lekárstva, MUDr. Jozef Straňák, Žiar nad Hronom, (JL-Dent s.r.o.)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ziar-nad-hronom/ambulancia-zubneho-lekarstva-mudr.-jozef-stranak-ziar-nad-hronom-jl-dent.html?page_id=132769, Zubné lekárstvo,Banskobystricky,Žiar nad Hronom
"Ambulancia rýchlej zdravotnej pomoci, Kremnica, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ziar-nad-hronom/ambulancia-rychlej-zdravotnej-pomoci-kremnica-zachranna-zdravotna-sluzba-bratislava.html?page_id=132722, Rýchla zdravotná pomoc,Banskobystricky,Žiar nad Hronom
