title,doctor_url,specialization,kraj,okres
"SVaLZ, fyzioterapia, Malacky, (Šanca pre deti so spastickou diparézou)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/malacky/svalz-fyzioterapia-malacky-sanca-pre-deti-so-spastickou-diparezou.html?page_id=143328, Fyzioterapia,Bratislavsky Kraj,Malacky
"Ambulancia zubného lekárstva, Malacky, (RubyD s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/malacky/ambulancia-zubneho-lekarstva-malacky-rubyd.html?page_id=143105, Zubné lekárstvo,Bratislavsky Kraj,Malacky
"Ambulancia zubného lekárstva, Plavecký Mikuláš, (Zubná ambulancia Plavecký Mikuláš s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/malacky/ambulancia-zubneho-lekarstva-plavecky-mikulas-zubna-ambulancia-plavecky-mikulas.html?page_id=142690, Zubné lekárstvo,Bratislavsky Kraj,Malacky
"Ambulancia zubného lekárstva, Stupava, (Family Dental Care s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/malacky/ambulancia-zubneho-lekarstva-stupava-family-dental-care-s.-r.-o.-2.html?page_id=142558, Zubné lekárstvo,Bratislavsky Kraj,Malacky
"Ambulancia zubného lekárstva, Stupava, (Family Dental Care s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/malacky/ambulancia-zubneho-lekarstva-stupava-family-dental-care-s.-r.-o.-3.html?page_id=142559, Zubné lekárstvo,Bratislavsky Kraj,Malacky
"Ambulancia zubného lekárstva, Stupava, (Family Dental Care s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/malacky/ambulancia-zubneho-lekarstva-stupava-family-dental-care-s.-r.-o..html?page_id=142556, Zubné lekárstvo,Bratislavsky Kraj,Malacky
"Ambulancia zubného lekárstva, Stupava, (Family Dental Care s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/malacky/ambulancia-zubneho-lekarstva-stupava-family-dental-care-s.-r.-o.-1.html?page_id=142557, Zubné lekárstvo,Bratislavsky Kraj,Malacky
"Ambulancia čeľustnej ortopédie, Malacky, (Family Dental Care - Ortho s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/malacky/ambulancia-celustnej-ortopedie-malacky-family-dental-care-ortho-s.-r.-o..html?page_id=141774, čeľustná ortopédia,Bratislavsky Kraj,Malacky
"Ambulancia zubného lekárstva, Malacky, (Family Dental Care - Ortho s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/malacky/ambulancia-zubneho-lekarstva-malacky-family-dental-care-ortho-s.-r.-o..html?page_id=141773, Zubné lekárstvo,Bratislavsky Kraj,Malacky
"Ambulancia zubného lekárstva, Malacky, (HQ Dental, s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/malacky/ambulancia-zubneho-lekarstva-malacky-hq-dental.html?page_id=141657, Zubné lekárstvo,Bratislavsky Kraj,Malacky
