title,doctor_url,specialization,kraj,okres
"Jednodňová zdravotná starostlivosť, gastroenterológia, Pezinok, (GIT ambulancia s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/jednodnova-zdravotna-starostlivost-gastroenterologia-pezinok-git-ambulancia-s.-r.-o.-1.html?page_id=143657, Gastroenterológia,Bratislavsky Kraj,Pezinok
"Hepatologická ambulancia, Pezinok, (GIT ambulancia s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/hepatologicka-ambulancia-pezinok-git-ambulancia-s.-r.-o..html?page_id=143656, Hepatológia,Bratislavsky Kraj,Pezinok
"Psychiatrická ambulancia, Svätý Jur, (GERIN s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/psychiatricka-ambulancia-svaty-jur-gerin.html?page_id=143522, Psychiatria,Bratislavsky Kraj,Pezinok
"Dermatovenerologická ambulancia, Modra, (KD - DERMA s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/dermatovenerologicka-ambulancia-modra-kd-derma-s.-r.-o..html?page_id=143098, Dermatovenerológia,Bratislavsky Kraj,Pezinok
"Gynekologická ambulancia, Pezinok, (Hipcentrum s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/gynekologicka-ambulancia-pezinok-hipcentrum-s.-r.-o.-1.html?page_id=142693, Gynekológia a pôrodníctvo,Bratislavsky Kraj,Pezinok
"Stacionár, ortopédia, Pezinok, (ORCINUS ORCA s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/stacionar-ortopedia-pezinok-orcinus-orca.html?page_id=142589, Ortopédia,Bratislavsky Kraj,Pezinok
"Stacionár, reumatológia, Pezinok, (ORCINUS ORCA s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/stacionar-reumatologia-pezinok-orcinus-orca.html?page_id=142590, Reumatológia,Bratislavsky Kraj,Pezinok
"Stacionár, fyziatria, balneológia a liečebná rehabilitácia, Pezinok, (ORCINUS ORCA s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/stacionar-fyziatria-balneologia-a-liecebna-rehabilitacia-pezinok-orcinus-orca.html?page_id=142588," Fyziatria, balneológia a liečebná rehabilitácia",Bratislavsky Kraj,Pezinok
"Kardiologická ambulancia, Pezinok, (TopKardio s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/kardiologicka-ambulancia-pezinok-topkardio.html?page_id=142355, Kardiológia,Bratislavsky Kraj,Pezinok
"Ambulancia diabetológie a porúch látkovej premeny a výživy, MUDr.Lenka Godál, Pezinok, (Adiamax s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-mudr.lenka-godal-pezinok-adiamax.html?page_id=141476," Diabetológia, poruchy látkovej premeny a výživy",Bratislavsky Kraj,Pezinok
"Ambulancia vnútorného lekárstva, MUDr.Lenka Godál, Pezinok, (Adiamax s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/ambulancia-vnutorneho-lekarstva-mudr.lenka-godal-pezinok-adiamax.html?page_id=141477, Vnútorné lekárstvo,Bratislavsky Kraj,Pezinok
"Všeobecná ambulancia pre dospelých, Svätý Jur, (MEDICA JUR, s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/vseobecna-ambulancia-pre-dospelych-svaty-jur-medica-jur.html?page_id=141266, Všeobecné lekárstvo,Bratislavsky Kraj,Pezinok
"Ambulancia zubného lekárstva, Svätý Jur, (Maryana Kit)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/ambulancia-zubneho-lekarstva-svaty-jur-maryana-kit.html?page_id=141265," Zubné lekárstvo, Dentoalveolárna chirurgia, Implantológia",Bratislavsky Kraj,Pezinok
"Reumatologická ambulancia, Pezinok, (ORCINUS ORCA s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/reumatologicka-ambulancia-pezinok-orcinus-orca.html?page_id=141211, Reumatológia,Bratislavsky Kraj,Pezinok
"Jednodňová zdravotná starostlivosť, plastická chirurgia, Pezinok, (INŠTITÚT ESTETICKEJ MEDICÍNY, s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/jednodnova-zdravotna-starostlivost-plasticka-chirurgia-pezinok-institut-estetickej-mediciny-s.-r.-o..html?page_id=140872, Plastická chirurgia,Bratislavsky Kraj,Pezinok
"Ambulancia plastickej chirurgie, Pezinok, (INŠTITÚT ESTETICKEJ MEDICÍNY, s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/ambulancia-plastickej-chirurgie-pezinok-institut-estetickej-mediciny-s.-r.-o..html?page_id=140871, Plastická chirurgia,Bratislavsky Kraj,Pezinok
"Všeobecná ambulancia pre dospelých, Vištuk, (SOFIVA, s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/vseobecna-ambulancia-pre-dospelych-vistuk-sofiva.html?page_id=140784, Všeobecné lekárstvo,Bratislavsky Kraj,Pezinok
"Psychiatrická ambulancia, Pezinok, (Psychiatrická nemocnica Philippa Pinela Pezinok)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/psychiatricka-ambulancia-pezinok-psychiatricka-nemocnica-philippa-pinela-pezinok.html?page_id=140603, Psychiatria,Bratislavsky Kraj,Pezinok
"Jednodňová zdravotná starostlivosť, gastroenterológia, Pezinok, (GIT ambulancia s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/jednodnova-zdravotna-starostlivost-gastroenterologia-pezinok-git-ambulancia-s.-r.-o..html?page_id=140225, Gastroenterológia,Bratislavsky Kraj,Pezinok
"Ambulancia zubného lekárstva, Pezinok, (Family Dental Care s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/ambulancia-zubneho-lekarstva-pezinok-family-dental-care-s.-r.-o..html?page_id=136227," Zubné lekárstvo, Dentoalveolárna chirurgia",Bratislavsky Kraj,Pezinok
"Oftalmologická ambulancia, MUDr. Jana Nekorancová, Modra, (OftalMedic s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/oftalmologicka-ambulancia-mudr.-jana-nekorancova-modra-oftalmedic-s.-r.-o..html?page_id=136053, Oftalmológia,Bratislavsky Kraj,Pezinok
"Neurologická ambulancia, MUDr. Pavol Šiška, Pezinok, (NEUROSIS s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/neurologicka-ambulancia-mudr.-pavol-siska-pezinok-neurosis.html?page_id=135559, Neurológia,Bratislavsky Kraj,Pezinok
"Ambulancia zubného lekárstva, Báhoň, (ZUB A ZÚBOK s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/ambulancia-zubneho-lekarstva-bahon-zub-a-zubok.html?page_id=135535, Zubné lekárstvo,Bratislavsky Kraj,Pezinok
"Ambulancia úrazovej chirurgie, Pezinok, (Hipcentrum s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/ambulancia-urazovej-chirurgie-pezinok-hipcentrum-s.-r.-o..html?page_id=135297, úrazová chirurgia,Bratislavsky Kraj,Pezinok
"Jednodňová zdravotná starostlivosť, anestéziológia a intenzívna medicína, MUDr. Prétiová Lucia, Pezinok, (URGENT.SK s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/jednodnova-zdravotna-starostlivost-anesteziologia-a-intenzivna-medicina-mudr.-pretiova-lucia-pezinok-urgent.sk.html?page_id=134832, Anestéziológia a intenzívna medicína,Bratislavsky Kraj,Pezinok
"Jednodňová zdravotná starostlivosť, gynekológia a pôrodníctvo, Pezinok, (Hipcentrum s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/jednodnova-zdravotna-starostlivost-gynekologia-a-porodnictvo-pezinok-hipcentrum-s.-r.-o..html?page_id=134792, Gynekológia a pôrodníctvo,Bratislavsky Kraj,Pezinok
"Gynekologická ambulancia, Pezinok, (Hipcentrum s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/pezinok/gynekologicka-ambulancia-pezinok-hipcentrum-s.-r.-o..html?page_id=134790, Gynekológia a pôrodníctvo,Bratislavsky Kraj,Pezinok
