title,doctor_url,specialization,kraj,okres
"Neurologická ambulancia, MUDr. Zuzana Tóthová , Dunajská Lužná, (Univerzitná nemocnica s poliklinikou Milosrdní bratia, spol. s r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senec/neurologicka-ambulancia-mudr.-zuzana-tothova-dunajska-luzna-univerzitna-nemocnica-s-poliklinikou-milosrdni-bratia-spol.-s-r.-o..html?page_id=142537, Neurológia,Bratislavsky Kraj,Senec
"Ambulancia klinickej logopédie, Senec, (SC-logo s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senec/ambulancia-klinickej-logopedie-senec-sc-logo-s.-r.-o..html?page_id=142440, Klinická logopédia,Bratislavsky Kraj,Senec
"Všeobecná ambulancia pre dospelých, Bernolákovo, (Schwarzwasser Medica, s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senec/vseobecna-ambulancia-pre-dospelych-bernolakovo-schwarzwasser-medica.html?page_id=142084, Všeobecné lekárstvo,Bratislavsky Kraj,Senec
"ADOS, Pezinská, Senec, (ADOS KATKA s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senec/ados-pezinska-senec-ados-katka-s.-r.-o..html?page_id=141772,!,Bratislavsky Kraj,Senec
"Dermatovenerologická ambulancia, Most pri Bratislave, (CS - MEDIKLINIK, s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senec/dermatovenerologicka-ambulancia-most-pri-bratislave-cs-mediklinik-s.-r.-o..html?page_id=141692, Dermatovenerológia,Bratislavsky Kraj,Senec
"Kardiologická ambulancia, Most pri Bratislave, (CS - MEDIKLINIK, s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senec/kardiologicka-ambulancia-most-pri-bratislave-cs-mediklinik-s.-r.-o..html?page_id=141693, Kardiológia,Bratislavsky Kraj,Senec
"Life Dent, Senec, (Life dental s.r.o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senec/life-dent-senec-life-dental.html?page_id=141687, Zubné lekárstvo,Bratislavsky Kraj,Senec
"Jednodňová zdravotná starostlivosť, otorinolaryngológia, Most pri Bratislave, (CS - MEDIKLINIK, s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senec/jednodnova-zdravotna-starostlivost-otorinolaryngologia-most-pri-bratislave-cs-mediklinik-s.-r.-o..html?page_id=141285, Otorinolaryngológia,Bratislavsky Kraj,Senec
"Jednodňová zdravotná starostlivosť, anestéziológia a intenzívna medicína, Most pri Bratislave, (CS - MEDIKLINIK, s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senec/jednodnova-zdravotna-starostlivost-anesteziologia-a-intenzivna-medicina-most-pri-bratislave-cs-mediklinik-s.-r.-o..html?page_id=141286, Anestéziológia a intenzívna medicína,Bratislavsky Kraj,Senec
"Jednodňová zdravotná starostlivosť, chirurgia, Most pri Bratislave, (CS - MEDIKLINIK, s. r. o.)",https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/senec/jednodnova-zdravotna-starostlivost-chirurgia-most-pri-bratislave-cs-mediklinik-s.-r.-o..html?page_id=141287, Chirurgia,Bratislavsky Kraj,Senec
