title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, MUDr. Silvia Varadzinová, Švedlár, (Romadent, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/ambulancia-zubneho-lekarstva-mudr.-silvia-varadzinova-svedlar-romadent.html?page_id=141223, Zubné lekárstvo,Košický,Gelnica
"Všeobecná ambulancia pre dospelých, MUDr. Abdul Wares, Kluknava, (Wares s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/vseobecna-ambulancia-pre-dospelych-mudr.-abdul-wares-kluknava-wares.html?page_id=139332, Všeobecné lekárstvo,Košický,Gelnica
"Ambulancia dentálnej hygieny, Gelnica, (Mgr. Michaela Eližerová)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/ambulancia-dentalnej-hygieny-gelnica-mgr.-michaela-elizerova.html?page_id=135126, Dentálna hygiena,Košický,Gelnica
"Ambulancia rýchlej zdravotnej pomoci, Nálepkovo, (Záchranná služba Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/ambulancia-rychlej-zdravotnej-pomoci-nalepkovo-zachranna-sluzba-kosice.html?page_id=134946, Rýchla zdravotná pomoc,Košický,Gelnica
"Ambulancia rýchlej zdravotnej pomoci, Smolník, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/ambulancia-rychlej-zdravotnej-pomoci-smolnik-lse-life-star-emergency.html?page_id=133098, Rýchla zdravotná pomoc,Košický,Gelnica
"Ambulancia rýchlej zdravotnej pomoci, Gelnica, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/ambulancia-rychlej-zdravotnej-pomoci-gelnica-lse-life-star-emergency.html?page_id=133095, Rýchla zdravotná pomoc,Košický,Gelnica
"Dispečing dopravnej zdravotnej služby, Gelnica, (PRO VITAE n.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/dispecing-dopravnej-zdravotnej-sluzby-gelnica-pro-vitae-n.o..html?page_id=133018,,Košický,Gelnica
"Ambulancia rýchlej zdravotnej pomoci, Margecany, (Záchranná služba Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/ambulancia-rychlej-zdravotnej-pomoci-margecany-zachranna-sluzba-kosice.html?page_id=132239, Rýchla zdravotná pomoc,Košický,Gelnica
"SVaLZ, hematológia a transfuziológia, Gelnica, (Medirex, a.s.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/svalz-hematologia-a-transfuziologia-gelnica-medirex-a.s..html?page_id=126529, Hematológia a transfuziológia,Košický,Gelnica
"SVaLZ, klinická biochémia, Gelnica, (Medirex, a.s.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/svalz-klinicka-biochemia-gelnica-medirex-a.s..html?page_id=126528, Klinická biochémia,Košický,Gelnica
"Ambulancia zubného lekárstva, Margecany, (Orto Sport Centrum s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/ambulancia-zubneho-lekarstva-margecany-orto-sport-centrum.html?page_id=125163, Zubné lekárstvo,Košický,Gelnica
"Ambulancia zubného lekárstva, MDDr. Barbora Kocáková, Margecany, (Stomatológia Margecany, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/ambulancia-zubneho-lekarstva-mddr.-barbora-kocakova-margecany-stomatologia-margecany.html?page_id=124660, Zubné lekárstvo,Košický,Gelnica
"Oftalmologická ambulancia, Gelnica, (MEGA LENS s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/oftalmologicka-ambulancia-gelnica-mega-lens.html?page_id=96913, Oftalmológia,Košický,Gelnica
"Všeobecná ambulancia pre dospelých, Margecany, (Železničné zdravotníctvo Košice, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/vseobecna-ambulancia-pre-dospelych-margecany-zeleznicne-zdravotnictvo-kosice.html?page_id=93150, Všeobecné lekárstvo,Košický,Gelnica
"Všeobecná ambulancia pre deti a dorast, MUDr. Mahboob Yacoob, Mníšek nad Hnilcom, (YACOOB s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-mahboob-yacoob-mnisek-nad-hnilcom-yacoob.html?page_id=92648," Pediatria, Všeobecná starostlivosť o deti a dorast, Dorastové lekárstvo",Košický,Gelnica
"Všeobecná ambulancia pre dospelých, MUDr. Jozef Vrabec, Veľký Folkmar, (MUDr. Jozef Vrabec)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/vseobecna-ambulancia-pre-dospelych-mudr.-jozef-vrabec-velky-folkmar-mudr.-jozef-vrabec.html?page_id=92642, Všeobecné lekárstvo,Košický,Gelnica
"Všeobecná ambulancia pre deti a dorast, MUDr. Mária Popadičová, Margecany, (Mária PED, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/gelnica/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-maria-popadicova-margecany-maria-ped.html?page_id=92446, Všeobecná starostlivosť o deti a dorast,Košický,Gelnica
