title,doctor_url,specialization,kraj,okres
"Gynekologická ambulancia, MUDr. Lenka Falatová, Seňa, (GynVITA s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/gynekologicka-ambulancia-mudr.-lenka-falatova-sena-gynvita.html?page_id=143800, Gynekológia a pôrodníctvo,Košický,Košice - okolie
"Všeobecná ambulancia pre deti a dorast, MUDr. Rutrichová Eva, Seňa, (Zdravie Seňa s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-rutrichova-eva-sena-zdravie-sena.html?page_id=143781, Pediatria,Košický,Košice - okolie
"Ambulancia vnútorného lekárstva, MUDr. Zuzana Kočišová, Čaňa, (KardioZK s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/ambulancia-vnutorneho-lekarstva-mudr.-zuzana-kocisova-cana-kardiozk-s.-r.-o..html?page_id=143726, Vnútorné lekárstvo,Košický,Košice - okolie
"Kardiologická ambulancia, MUDr. Zuzana Kočišová, Čaňa, (KardioZK s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/kardiologicka-ambulancia-mudr.-zuzana-kocisova-cana-kardiozk-s.-r.-o..html?page_id=143727, Kardiológia,Košický,Košice - okolie
"Oftalmologická ambulancia, MUDr. Renáta Maďarová, Seňa, (VITALUX s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/oftalmologicka-ambulancia-mudr.-renata-madarova-sena-vitalux.html?page_id=143575, Oftalmológia,Košický,Košice - okolie
"Všeobecná ambulancia pre dospelých, Medzev, (Mestský podnik lesov Medzev, spoločnosť s ručením obmedzeným)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/vseobecna-ambulancia-pre-dospelych-medzev-mestsky-podnik-lesov-medzev-spolocnost-s-rucenim-obmedzenym.html?page_id=143514, Všeobecné lekárstvo,Košický,Košice - okolie
"Gynekologická ambulancia, Slanec, (GYO LIFE s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/gynekologicka-ambulancia-slanec-gyo-life.html?page_id=143491, Gynekológia a pôrodníctvo,Košický,Košice - okolie
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Štós, (KÚPELE ŠTÓS, a.s.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-stos-kupele-stos-a.s..html?page_id=143419," Fyziatria, balneológia a liečebná rehabilitácia",Košický,Košice - okolie
"Ambulancia čeľustnej ortopédie, MDDr. Gabriela Verbová, Kostoľany nad Hornádom, (WWDENT, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/ambulancia-celustnej-ortopedie-mddr.-gabriela-verbova-kostolany-nad-hornadom-wwdent.html?page_id=143288, čeľustná ortopédia,Košický,Košice - okolie
"Ambulancia zubného lekárstva, Čaňa, (Sigma Dent, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/ambulancia-zubneho-lekarstva-cana-sigma-dent.html?page_id=143282, Zubné lekárstvo,Košický,Košice - okolie
"Ambulancia klinickej psychológie, PhDr. Viera Trusková, PhD., Nižný Klátov, (PhDr. Trusková Viera, PhD.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/ambulancia-klinickej-psychologie-phdr.-viera-truskova-phd.-nizny-klatov-phdr.-truskova-viera-phd..html?page_id=143267, Klinická psychológia,Košický,Košice - okolie
"Gynekologická ambulancia, Čaňa, (Sonoclinic s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/gynekologicka-ambulancia-cana-sonoclinic.html?page_id=143184," Gynekológia a pôrodníctvo, Ultrazvuk v gynekológii a pôrodníctve",Košický,Košice - okolie
"Všeobecná ambulancia pre deti a dorast, Turňa nad Bodvou, (RÉDVAY - Med s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/vseobecna-ambulancia-pre-deti-a-dorast-turna-nad-bodvou-redvay-med.html?page_id=143093," Pediatria, Dorastové lekárstvo",Košický,Košice - okolie
"Ambulancia vnútorného lekárstva, MUDr. Agnesa Tóthová, Moldava nad Bodvou, (MediCardio s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/ambulancia-vnutorneho-lekarstva-mudr.-agnesa-tothova-moldava-nad-bodvou-medicardio.html?page_id=142272, Vnútorné lekárstvo,Košický,Košice - okolie
"Všeobecná ambulancia pre dospelých, Medzev, (Christ Cross Medical spol.s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/vseobecna-ambulancia-pre-dospelych-medzev-christ-cross-medical-spol..html?page_id=142078, Všeobecné lekárstvo,Košický,Košice - okolie
"Všeobecná ambulancia pre dospelých, Seňa, (Zdravie Seňa s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/vseobecna-ambulancia-pre-dospelych-sena-zdravie-sena.html?page_id=141583, Všeobecné lekárstvo,Košický,Košice - okolie
"Všeobecná ambulancia pre deti a dorast, Medzev, (Medica Zone s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/vseobecna-ambulancia-pre-deti-a-dorast-medzev-medica-zone.html?page_id=141368, Pediatria,Košický,Košice - okolie
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, MUDr. Zuzana Štefaniková, Moldava nad Bodvou, (PHYSIOMED s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-mudr.-zuzana-stefanikova-moldava-nad-bodvou-physiomed.html?page_id=141244," Fyziatria, balneológia a liečebná rehabilitácia",Košický,Košice - okolie
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, MUDr. Zuzana Štefaniková, Moldava nad Bodvou, (PHYSIOMED s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-mudr.-zuzana-stefanikova-moldava-nad-bodvou-physiomed.html?page_id=141245," Fyziatria, balneológia a liečebná rehabilitácia",Košický,Košice - okolie
"Všeobecná ambulancia pre dospelých, MUDr. Irena Tarabčáková, Turňa nad Bodvou, (ML MED s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/vseobecna-ambulancia-pre-dospelych-mudr.-irena-tarabcakova-turna-nad-bodvou-ml-med.html?page_id=140707, Všeobecné lekárstvo,Košický,Košice - okolie
"Ambulancia zubného lekárstva, MDDr. Barbora Baníková, Vyšný Medzev, (denti belli s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/ambulancia-zubneho-lekarstva-mddr.-barbora-banikova-vysny-medzev-denti-belli.html?page_id=140660, Zubné lekárstvo,Košický,Košice - okolie
"Ambulancia vnútorného lekárstva, MUDr. František Kujnisch, Moldava nad Bodvou, (FK-MED s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/ambulancia-vnutorneho-lekarstva-mudr.-frantisek-kujnisch-moldava-nad-bodvou-fk-med.html?page_id=140577, Vnútorné lekárstvo,Košický,Košice - okolie
"Gastroenterologická ambulancia, MUDr. František Kujnisch, Moldava nad Bodvou, (FK-MED s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/gastroenterologicka-ambulancia-mudr.-frantisek-kujnisch-moldava-nad-bodvou-fk-med.html?page_id=140578, Gastroenterológia,Košický,Košice - okolie
"Gynekologická ambulancia, MUDr. Lenka Falatová , Kechnec, (GynVITA s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/gynekologicka-ambulancia-mudr.-lenka-falatova-kechnec-gynvita.html?page_id=140501, Gynekológia a pôrodníctvo,Košický,Košice - okolie
"Gynekologická ambulancia, MUDr. Lenka Falatová, Valaliky, (GynVITA s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/gynekologicka-ambulancia-mudr.-lenka-falatova-valaliky-gynvita.html?page_id=140500, Gynekológia a pôrodníctvo,Košický,Košice - okolie
"Ambulancia zubného lekárstva, MUDr. Zuzana Vincová, Poproč, (VIDENTAL s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-okolie/ambulancia-zubneho-lekarstva-mudr.-zuzana-vincova-poproc-vidental.html?page_id=140106," Zubné lekárstvo, Dentoalveolárna chirurgia",Košický,Košice - okolie
