title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, MUDr. Dagmar Ledecká , Košice-Západ, (ZUBKY s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/ambulancia-zubneho-lekarstva-mudr.-dagmar-ledecka-kosice-zapad-zubky-s.-r.-o..html?page_id=143779, Zubné lekárstvo,Košický,Košice 2
"Gastroenterologická ambulancia, Košice-Západ, (PAV-MED s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/gastroenterologicka-ambulancia-kosice-zapad-pav-med.html?page_id=143757, Gastroenterológia,Košický,Košice 2
"Endokrinologická ambulancia, MUDr. Katarína Španirová, Košice-Západ, (MediSPAN s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/endokrinologicka-ambulancia-mudr.-katarina-spanirova-kosice-zapad-medispan-s.-r.-o..html?page_id=143719, Endokrinológia,Košický,Košice 2
"Ambulancia cievnej chirurgie, MUDr. Ivan Kopolovets, Košice-Šaca, (Kardiocentrum AGEL s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/ambulancia-cievnej-chirurgie-mudr.-ivan-kopolovets-kosice-saca-kardiocentrum-agel.html?page_id=143643, Cievna chirurgia,Košický,Košice 2
"Angiologická ambulancia, Košice-Šaca, (Kardiocentrum AGEL s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/angiologicka-ambulancia-kosice-saca-kardiocentrum-agel.html?page_id=143644, Angiológia,Košický,Košice 2
"Kardiologická ambulancia, MUDr. Monika Jankajová, PhD., MPH, Košice-Šaca, (Kardiocentrum AGEL s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/kardiologicka-ambulancia-mudr.-monika-jankajova-phd.-mph-kosice-saca-kardiocentrum-agel.html?page_id=143645, Kardiológia,Košický,Košice 2
"Kardiologická ambulancia, Košice-Šaca, (Kardiocentrum AGEL s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/kardiologicka-ambulancia-kosice-saca-kardiocentrum-agel.html?page_id=143646, Kardiológia,Košický,Košice 2
"Ambulancia čeľustnej ortopédie, MDDR. Diana Kováčiková, Košice-Šaca, (Santa Apollonia s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/ambulancia-celustnej-ortopedie-mddr.-diana-kovacikova-kosice-saca-santa-apollonia-s.-r.-o..html?page_id=143579, čeľustná ortopédia,Košický,Košice 2
"Otorinolaryngologická ambulancia, Košice-Západ, (Detská fakultná nemocnica Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/otorinolaryngologicka-ambulancia-kosice-zapad-detska-fakultna-nemocnica-kosice-2.html?page_id=143484, Otorinolaryngológia,Košický,Košice 2
"Ambulancia zubného lekárstva, MDDr. Viliam Nagy, Košice-Západ, (KEROdent s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/ambulancia-zubneho-lekarstva-mddr.-viliam-nagy-kosice-zapad-kerodent.html?page_id=143445, Zubné lekárstvo,Košický,Košice 2
"Ambulancia zubného lekárstva, Košice-Západ, (Ergomed Poliklinika, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/ambulancia-zubneho-lekarstva-kosice-zapad-ergomed-poliklinika.html?page_id=143418, Zubné lekárstvo,Košický,Košice 2
"SVaLZ, rádiológia, Košice-Západ, (Detská fakultná nemocnica Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-radiologia-kosice-zapad-detska-fakultna-nemocnica-kosice.html?page_id=143306," Rádiológia, Sonografia",Košický,Košice 2
"Kardiologická ambulancia, MUDr. Marta Jakubová, PhD., Košice-Západ, (NewCardio s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/kardiologicka-ambulancia-mudr.-marta-jakubova-phd.-kosice-zapad-newcardio.html?page_id=143278, Kardiológia,Košický,Košice 2
"Dermatovenerologická ambulancia, MUDr. Katarína Drotárová, Košice-Západ, (VLAVAN s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/dermatovenerologicka-ambulancia-mudr.-katarina-drotarova-kosice-zapad-vlavan.html?page_id=143258, Dermatovenerológia,Košický,Košice 2
"Ambulancia detskej psychiatrie, MUDr. Iveta Rjašková, Košice-Západ, (MUDr. Iveta Tokárová, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/ambulancia-detskej-psychiatrie-mudr.-iveta-rjaskova-kosice-zapad-mudr.-iveta-tokarova-1.html?page_id=143208, Detská psychiatria,Košický,Košice 2
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, MUDr. Štefan Valko, Košice-Sídlisko KVP, (Via Rehab s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-mudr.-stefan-valko-kosice-sidlisko-kvp-via-rehab.html?page_id=143095," Fyziatria, balneológia a liečebná rehabilitácia",Košický,Košice 2
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, MUDr. Štefan Valko, Košice-Sídlisko KVP, (Via Rehab s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-mudr.-stefan-valko-kosice-sidlisko-kvp-via-rehab.html?page_id=143096," Fyziatria, balneológia a liečebná rehabilitácia",Košický,Košice 2
"SVaLZ, klinická imunológia a alergológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-klinicka-imunologia-a-alergologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-8.html?page_id=143057, Klinická imunológia a alergológia,Košický,Košice 2
"SVaLZ, klinická imunológia a alergológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-klinicka-imunologia-a-alergologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-9.html?page_id=143058, Klinická imunológia a alergológia,Košický,Košice 2
"SVaLZ, rádiológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-radiologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-7.html?page_id=143050," Rádiológia, Osteodenzitometria",Košický,Košice 2
"SVaLZ, rádiológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-radiologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-8.html?page_id=143051," Rádiológia, Osteodenzitometria",Košický,Košice 2
"SVaLZ, intervenčná rádiológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-intervencna-radiologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-1.html?page_id=143052," Intervenčná rádiológia, Rádiológia",Košický,Košice 2
"SVaLZ, patologická anatómia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-patologicka-anatomia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-2.html?page_id=143053, Patologická anatómia,Košický,Košice 2
"SVaLZ, patologická anatómia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-patologicka-anatomia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-3.html?page_id=143054, Patologická anatómia,Košický,Košice 2
"SVaLZ, klinická imunológia a alergológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-klinicka-imunologia-a-alergologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-7.html?page_id=143056, Klinická imunológia a alergológia,Košický,Košice 2
"SVaLZ, klinická biochémia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-klinicka-biochemia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-3.html?page_id=143046, Klinická biochémia,Košický,Košice 2
"SVaLZ, klinická imunológia a alergológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-klinicka-imunologia-a-alergologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-6.html?page_id=143047, Klinická imunológia a alergológia,Košický,Košice 2
"SVaLZ, rádiológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-radiologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-5.html?page_id=143048, Rádiológia,Košický,Košice 2
"SVaLZ, rádiológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-radiologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-6.html?page_id=143049, Rádiológia,Košický,Košice 2
"SVaLZ, centrálna sterilizácia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-centralna-sterilizacia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-1.html?page_id=143035, Centrálna sterilizácia,Košický,Košice 2
"SVaLZ, stomatologická rádiológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-stomatologicka-radiologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice.html?page_id=143036, Rádiológia,Košický,Košice 2
"SVaLZ, klinická imunológia a alergológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-klinicka-imunologia-a-alergologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-5.html?page_id=143028, Klinická imunológia a alergológia,Košický,Košice 2
"SVaLZ, lekárska genetika, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-lekarska-genetika-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-1.html?page_id=143029, Lekárska genetika,Košický,Košice 2
"SVaLZ, klinická farmakológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-klinicka-farmakologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-1.html?page_id=143030, Klinická farmakológia,Košický,Košice 2
"SVaLZ, rádiológia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-radiologia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-4.html?page_id=143031, Rádiológia,Košický,Košice 2
"SVaLZ, magnetická rezonancia, Košice-Západ, (Univerzitná nemocnica L. Pasteura Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-ii/svalz-magneticka-rezonancia-kosice-zapad-univerzitna-nemocnica-l.-pasteura-kosice-1.html?page_id=143032," Magnetická rezonancia, Rádiológia",Košický,Košice 2
