title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, MUDr. Jolana Hrušovská, Košice-Dargov.hrdinov, (FABRYDENT s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-iii/ambulancia-zubneho-lekarstva-mudr.-jolana-hrusovska-kosice-dargov.hrdinov-fabrydent.html?page_id=143512, Zubné lekárstvo,Košický,Košice 3
"Všeobecná ambulancia pre deti a dorast, MUDr.  Adriana Schuster, Košice-Dargov.hrdinov, (ELAPED s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-iii/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-adriana-schuster-kosice-dargov.hrdinov-elaped.html?page_id=142080," Pediatria, Dorastové lekárstvo",Košický,Košice 3
"Oftalmologická ambulancia, MUDr. Lívia Sedlická, Košice-Dargov.hrdinov, (SED MED s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-iii/oftalmologicka-ambulancia-mudr.-livia-sedlicka-kosice-dargov.hrdinov-sed-med.html?page_id=140963, Oftalmológia,Košický,Košice 3
"Ambulancia zubného lekárstva, MUDr. Lívia Vargová, Košice-Dargov.hrdinov, (LV DENT s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-iii/ambulancia-zubneho-lekarstva-mudr.-livia-vargova-kosice-dargov.hrdinov-lv-dent.html?page_id=140959, Zubné lekárstvo,Košický,Košice 3
"Ambulancia čeľustnej ortopédie, MUDr. Silvia Nedbáleková , Košice-Dargov.hrdinov, (DENTALORTHO s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-iii/ambulancia-celustnej-ortopedie-mudr.-silvia-nedbalekova-kosice-dargov.hrdinov-dentalortho.html?page_id=140102, čeľustná ortopédia,Košický,Košice 3
"Ambulancia zubného lekárstva, MUDr. Silvia Nedbáleková, Košice-Dargov.hrdinov, (DENTALORTHO s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-iii/ambulancia-zubneho-lekarstva-mudr.-silvia-nedbalekova-kosice-dargov.hrdinov-dentalortho.html?page_id=140101, Zubné lekárstvo,Košický,Košice 3
"Miroslava Hrabkovská - Zdravotnícke rehabilitačné zariadenie, FYZIO - MI, Košice-Dargov.hrdinov, (Miroslava Hrabkovská)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-iii/miroslava-hrabkovska-zdravotnicke-rehabilitacne-zariadenie-fyzio-mi-kosice-dargov.hrdinov-miroslava-hrabkovska.html?page_id=135262, Fyzioterapia,Košický,Košice 3
"Ambulancia zubného lekárstva, MUDr. Milko Rusinko, Košice-Dargov.hrdinov, (MUDr. Milko Rusinko s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-iii/ambulancia-zubneho-lekarstva-mudr.-milko-rusinko-kosice-dargov.hrdinov-mudr.-milko-rusinko.html?page_id=133017, Zubné lekárstvo,Košický,Košice 3
"Jednodňová zdravotná starostlivosť, gynekológia a pôrodníctvo, Košice-Dargov.hrdinov, (GYNCARE, s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-iii/jednodnova-zdravotna-starostlivost-gynekologia-a-porodnictvo-kosice-dargov.hrdinov-gyncare-s.-r.-o..html?page_id=131046," Gynekológia a pôrodníctvo, Reprodukčná medicína",Košický,Košice 3
"Gynekologická ambulancia, Košice-Dargov.hrdinov, (GYNCARE, s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/kosice-iii/gynekologicka-ambulancia-kosice-dargov.hrdinov-gyncare-s.-r.-o..html?page_id=131044, Gynekológia a pôrodníctvo,Košický,Košice 3
