title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, Michalovce, (MUDr. Miroslava Višňanská)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/michalovce/ambulancia-zubneho-lekarstva-michalovce-mudr.-miroslava-visnanska.html?page_id=143534, Zubné lekárstvo,Košický,Michalovce
"Všeobecná ambulancia pre deti a dorast, MUDr. Ľudmila Brnová, Michalovce, (MUDr. ĽUDMILA BRNOVÁ, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/michalovce/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-ludmila-brnova-michalovce-mudr.-ludmila-brnova-1.html?page_id=143394, Pediatria,Košický,Michalovce
"Ambulancia zubného lekárstva, MUDr. Oto Krásenský, Michalovce, (Krasdent s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/michalovce/ambulancia-zubneho-lekarstva-mudr.-oto-krasensky-michalovce-krasdent.html?page_id=143251, Zubné lekárstvo,Košický,Michalovce
"Ambulancia rýchlej zdravotnej pomoci, Veľké Kapušany, (Záchranná služba Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/michalovce/ambulancia-rychlej-zdravotnej-pomoci-velke-kapusany-zachranna-sluzba-kosice.html?page_id=142758, Rýchla zdravotná pomoc,Košický,Michalovce
"Všeobecná ambulancia pre deti a dorast, MUDr. Štefan Sopko Zima, Veľké Kapušany, (AKTINOS s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/michalovce/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-stefan-sopko-zima-velke-kapusany-aktinos-2.html?page_id=142673, Pediatria,Košický,Michalovce
"Ambulancia dentálnej hygieny, Mgr. Vlasta Vojnová, dipl.d.h., Michalovce, (Mgr. Vlasta Vojnová)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/michalovce/ambulancia-dentalnej-hygieny-mgr.-vlasta-vojnova-dipl.d.h.-michalovce-mgr.-vlasta-vojnova.html?page_id=142604, Dentálna hygiena,Košický,Michalovce
"Ambulancia zubného lekárstva, MDDr. Pavol Slosarčik, Michalovce, (PS dent s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/michalovce/ambulancia-zubneho-lekarstva-mddr.-pavol-slosarcik-michalovce-ps-dent.html?page_id=142416, Zubné lekárstvo,Košický,Michalovce
"Ambulancia zubného lekárstva, MDDr. Vladimír Sivý, Michalovce, (SiVDent s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/michalovce/ambulancia-zubneho-lekarstva-mddr.-vladimir-sivy-michalovce-sivdent-s.-r.-o..html?page_id=142393, Zubné lekárstvo,Košický,Michalovce
"Ambulancia zubného lekárstva, Michalovce, (I.K.Dent s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/michalovce/ambulancia-zubneho-lekarstva-michalovce-i.k.dent-1.html?page_id=142356, Zubné lekárstvo,Košický,Michalovce
"Ambulancia klinickej imunológie a alergológie, Michalovce, (MEDIRAG, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/michalovce/ambulancia-klinickej-imunologie-a-alergologie-michalovce-medirag.html?page_id=141296, Klinická imunológia a alergológia,Košický,Michalovce
