title,doctor_url,specialization,kraj,okres
"Oftalmologická ambulancia, MUDr. Jana Iľová, Rožňava, (OFTAL - IN s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/roznava/oftalmologicka-ambulancia-mudr.-jana-ilova-roznava-oftal-in-1.html?page_id=143266, Oftalmológia,Košický,Rožňava
"Ambulancia vnútorného lekárstva, MUDr. Jarmila Karpenko, Rožňava, (KaJaIn, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/roznava/ambulancia-vnutorneho-lekarstva-mudr.-jarmila-karpenko-roznava-kajain.html?page_id=143249, Vnútorné lekárstvo,Košický,Rožňava
"Gynekologická ambulancia, MUDr. Attila Lesko, Dobšiná, (NIKAGYN s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/roznava/gynekologicka-ambulancia-mudr.-attila-lesko-dobsina-nikagyn.html?page_id=143183, Gynekológia a pôrodníctvo,Košický,Rožňava
"Ambulancia klinickej psychológie, Mgr. Eva Sitáková, Plešivec, (Psychiatrická liečebňa Samuela Bluma v Plešivci)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/roznava/ambulancia-klinickej-psychologie-mgr.-eva-sitakova-plesivec-psychiatricka-liecebna-samuela-bluma-v-plesivci.html?page_id=143165," Klinická psychológia, Dopravná psychológia, Psychoterapia",Košický,Rožňava
"Gynekologická ambulancia, Dobšiná, (IGYN s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/roznava/gynekologicka-ambulancia-dobsina-igyn.html?page_id=142728," Gynekológia a pôrodníctvo, Ultrazvuk v gynekológii a pôrodníctve",Košický,Rožňava
"Všeobecná ambulancia pre dospelých, MUDr. Rita Kozsárová, Gemerská Hôrka, (Kozsár Medical s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/roznava/vseobecna-ambulancia-pre-dospelych-mudr.-rita-kozsarova-gemerska-horka-kozsar-medical-s.-r.-o..html?page_id=142289, Všeobecné lekárstvo,Košický,Rožňava
"MUDr. Takáč Senglerová Gabriela, Rožňava, (TS MEDICAL, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/roznava/mudr.-takac-senglerova-gabriela-roznava-ts-medical.html?page_id=142278, Všeobecné lekárstvo,Košický,Rožňava
"Ambulancia rýchlej zdravotnej pomoci, Lipovník, (Záchranná služba Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/roznava/ambulancia-rychlej-zdravotnej-pomoci-lipovnik-zachranna-sluzba-kosice.html?page_id=134947, Rýchla zdravotná pomoc,Košický,Rožňava
"Ambulancia rýchlej zdravotnej pomoci, Štítnik, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/roznava/ambulancia-rychlej-zdravotnej-pomoci-stitnik-lse-life-star-emergency.html?page_id=134943, Rýchla zdravotná pomoc,Košický,Rožňava
"Ambulancia zubného lekárstva, MDDr. Gabriel Müller, Rožňava, (StudioDental, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/roznava/ambulancia-zubneho-lekarstva-mddr.-gabriel-muller-roznava-studiodental.html?page_id=134725, Zubné lekárstvo,Košický,Rožňava
