title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, Sobrance, (MUDr. Marcela Rajzáková s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/vseobecna-ambulancia-pre-dospelych-sobrance-mudr.-marcela-rajzakova.html?page_id=142274, Všeobecné lekárstvo,Košický,Sobrance
"Ortopedická ambulancia, Sobrance, (Arthrocare s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/ortopedicka-ambulancia-sobrance-arthrocare.html?page_id=142182, Ortopédia,Košický,Sobrance
"Ambulancia zubného lekárstva, MUDr. Ingrid Micháleková, Sobrance, (MI DENTAL s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/ambulancia-zubneho-lekarstva-mudr.-ingrid-michalekova-sobrance-mi-dental.html?page_id=141360, Zubné lekárstvo,Košický,Sobrance
"Dispečing dopravnej zdravotnej služby, Sobrance, (DOZAS - Dopravno-zdravotná služba, s.r.o. Sobrance)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/dispecing-dopravnej-zdravotnej-sluzby-sobrance-dozas-dopravno-zdravotna-sluzba-sobrance.html?page_id=132608,,Košický,Sobrance
"Ambulancia rýchlej lekárskej pomoci, Sobrance, (Záchranná služba Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/ambulancia-rychlej-lekarskej-pomoci-sobrance-zachranna-sluzba-kosice.html?page_id=132587, Rýchla lekárska pomoc,Košický,Sobrance
"Všeobecná ambulancia pre deti a dorast, MUDr. Marcella Beňaková, Sobrance, (MABENA s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-marcella-benakova-sobrance-mabena.html?page_id=128578," Pediatria, Všeobecná starostlivosť o deti a dorast, Dorastové lekárstvo",Košický,Sobrance
"Všeobecná ambulancia pre dospelých, MUDr. Andrej Dubrovský, Sobrance, (MEDIZEMO s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/vseobecna-ambulancia-pre-dospelych-mudr.-andrej-dubrovsky-sobrance-medizemo.html?page_id=128380, Všeobecné lekárstvo,Košický,Sobrance
"Ambulancia zubného lekárstva, MUDr. Romančák Pavol, Sobrance, (PARODENT, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/ambulancia-zubneho-lekarstva-mudr.-romancak-pavol-sobrance-parodent.html?page_id=126536, Zubné lekárstvo,Košický,Sobrance
"Všeobecná ambulancia pre deti a dorast, MUDr. Jaroslava Heimová, Sobrance, (MUDr. Heimová, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-jaroslava-heimova-sobrance-mudr.-heimova.html?page_id=124927, Všeobecná starostlivosť o deti a dorast,Košický,Sobrance
"Otorinolaryngologická ambulancia, MUDr. Valéria fedorová, Sobrance, (FEDMED s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/otorinolaryngologicka-ambulancia-mudr.-valeria-fedorova-sobrance-fedmed.html?page_id=124655," Otorinolaryngológia, Foniatria",Košický,Sobrance
"Všeobecná ambulancia pre dospelých, Porúbka, (AMAK SO s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/vseobecna-ambulancia-pre-dospelych-porubka-amak-so.html?page_id=123719, Všeobecné lekárstvo,Košický,Sobrance
"Ambulancia čeľustnej ortopédie, MUDr. Iveta Bučková, Sobrance, (IB-Dent s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/ambulancia-celustnej-ortopedie-mudr.-iveta-buckova-sobrance-ib-dent-s.-r.-o..html?page_id=104953, čeľustná ortopédia,Košický,Sobrance
"Ambulancia vnútorného lekárstva, MUDr. Miroslav Pinkovský, Sobrance, (MUDr. Miroslav Pinkovský)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/ambulancia-vnutorneho-lekarstva-mudr.-miroslav-pinkovsky-sobrance-mudr.-miroslav-pinkovsky.html?page_id=97065, Vnútorné lekárstvo,Košický,Sobrance
"Všeobecná ambulancia pre deti a dorast, MUDr. Ľubomír Fučko, Bežovce, (MUDr. Ľubomír Fučko)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-lubomir-fucko-bezovce-mudr.-lubomir-fucko.html?page_id=97048, Všeobecná starostlivosť o deti a dorast,Košický,Sobrance
"Konvalinka, s.r.o., Sobrance, (Konvalinka, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/konvalinka-sobrance-konvalinka.html?page_id=96997, Psychiatria,Košický,Sobrance
"Reumatologická ambulancia, MUDr. Dušan Kostovčík, Sobrance, (DK-med, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/reumatologicka-ambulancia-mudr.-dusan-kostovcik-sobrance-dk-med.html?page_id=96981, Reumatológia,Košický,Sobrance
"SVaLZ, rádiológia, MUDr. Eva Leczová, Sobrance, (LECDENS s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/svalz-radiologia-mudr.-eva-leczova-sobrance-lecdens-s.-r.-o..html?page_id=96965, Rádiológia,Košický,Sobrance
"ADOS, Kpt. Nálepku, Sobrance, (Arcidiecézna charita Košice)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/ados-kpt.-nalepku-sobrance-arcidiecezna-charita-kosice.html?page_id=92836, Domáca ošetrovateľská starostlivosť,Košický,Sobrance
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Sobrance, (Regionálna nemocnica Sobrance, n.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-sobrance-regionalna-nemocnica-sobrance-n.o..html?page_id=92744," Fyziatria, balneológia a liečebná rehabilitácia",Košický,Sobrance
"SVaLZ, funkčná diagnostika, Sobrance, (Regionálna nemocnica Sobrance, n.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/svalz-funkcna-diagnostika-sobrance-regionalna-nemocnica-sobrance-n.o..html?page_id=92745, Funkčná diagnostika,Košický,Sobrance
"SVaLZ, abdominálna ultrasonografia u dospelých, Sobrance, (Regionálna nemocnica Sobrance, n.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/svalz-abdominalna-ultrasonografia-u-dospelych-sobrance-regionalna-nemocnica-sobrance-n.o..html?page_id=92741," Abdominálna ultrasonografia u dospelých, Rádiológia",Košický,Sobrance
"SVaLZ, rádiológia, Sobrance, (Regionálna nemocnica Sobrance, n.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/svalz-radiologia-sobrance-regionalna-nemocnica-sobrance-n.o..html?page_id=92742, Rádiológia,Košický,Sobrance
"SVaLZ, klinická biochémia, Sobrance, (Regionálna nemocnica Sobrance, n.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/svalz-klinicka-biochemia-sobrance-regionalna-nemocnica-sobrance-n.o..html?page_id=92740, Klinická biochémia,Košický,Sobrance
"Pneumologicko-ftizeologická ambulancia, Sobrance, (Regionálna nemocnica Sobrance, n.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/pneumologicko-ftizeologicka-ambulancia-sobrance-regionalna-nemocnica-sobrance-n.o.-2.html?page_id=92737," Pneumológia a ftizeológia, Endoskopia respiračného systému",Košický,Sobrance
"Neurologická ambulancia, Sobrance, (Regionálna nemocnica Sobrance, n.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/neurologicka-ambulancia-sobrance-regionalna-nemocnica-sobrance-n.o..html?page_id=92736, Neurológia,Košický,Sobrance
"Ambulancia vnútorného lekárstva, Sobrance, (Regionálna nemocnica Sobrance, n.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/ambulancia-vnutorneho-lekarstva-sobrance-regionalna-nemocnica-sobrance-n.o..html?page_id=92735, Vnútorné lekárstvo,Košický,Sobrance
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Sobrance, (Regionálna nemocnica Sobrance, n.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/sobrance/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-sobrance-regionalna-nemocnica-sobrance-n.o..html?page_id=92734," Fyziatria, balneológia a liečebná rehabilitácia",Košický,Sobrance
