title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, MUDr. Jozef Kaněra, Spišská Nová Ves, (TARLEN, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/ambulancia-zubneho-lekarstva-mudr.-jozef-kanera-spisska-nova-ves-tarlen.html?page_id=143707, Zubné lekárstvo,Košický,Spišská Nová Ves
"Ambulancia dentálnej hygieny, Bc. Denisa Vaľková, Spišská Nová Ves, (Bc. Denisa Vaľková)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/ambulancia-dentalnej-hygieny-bc.-denisa-valkova-spisska-nova-ves-bc.-denisa-valkova.html?page_id=143558, Dentálna hygiena,Košický,Spišská Nová Ves
"Ambulancia zubného lekárstva, MDDr. Gurčíková Katarína, Spišská Nová Ves, (KMG-Dent, s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/ambulancia-zubneho-lekarstva-mddr.-gurcikova-katarina-spisska-nova-ves-kmg-dent-s.-r.-o..html?page_id=143500,!,Košický,Spišská Nová Ves
"DIABETOLOGICKA s.r.o., Spišská Nová Ves, (DIABETOLOGICKÁ, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/diabetologicka-spisska-nova-ves-diabetologicka.html?page_id=143203," Diabetológia, poruchy látkovej premeny a výživy",Košický,Spišská Nová Ves
"Ambulancia dentálnej hygieny, Bc.Dávid Špánik, Spišská Nová Ves, (Interdental s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/ambulancia-dentalnej-hygieny-bc.david-spanik-spisska-nova-ves-interdental-s.-r.-o..html?page_id=143198, Dentálna hygiena,Košický,Spišská Nová Ves
"Ortopedická ambulancia, MUDr. Stanislav Tomčo, Spišská Nová Ves, (RTGtechno, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/ortopedicka-ambulancia-mudr.-stanislav-tomco-spisska-nova-ves-rtgtechno.html?page_id=142680, Ortopédia,Košický,Spišská Nová Ves
"Všeobecná ambulancia pre dospelých, MUDr. Martin Kravec, Spišská Nová Ves, (AMBULANCIA 01, s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/vseobecna-ambulancia-pre-dospelych-mudr.-martin-kravec-spisska-nova-ves-ambulancia-01-s.-r.-o..html?page_id=142586, Všeobecné lekárstvo,Košický,Spišská Nová Ves
"Ambulancia zubného lekárstva, MDDr. Štefan Bardovič, Spišské Vlachy, (Dental care - SB s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/ambulancia-zubneho-lekarstva-mddr.-stefan-bardovic-spisske-vlachy-dental-care-sb-s.-r.-o..html?page_id=142542, Zubné lekárstvo,Košický,Spišská Nová Ves
"Dermatovenerologická ambulancia, Spišská Nová Ves, (AJD Clinics s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/dermatovenerologicka-ambulancia-spisska-nova-ves-ajd-clinics.html?page_id=142402, Dermatovenerológia,Košický,Spišská Nová Ves
"Ambulancia zubného lekárstva, MDDr. Matej Čech, Spišská Nová Ves, (CECHDENT s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/ambulancia-zubneho-lekarstva-mddr.-matej-cech-spisska-nova-ves-cechdent.html?page_id=142167," Zubné lekárstvo, Dentoalveolárna chirurgia",Košický,Spišská Nová Ves
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Spišská Nová Ves, (FitM - group s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-spisska-nova-ves-fitm-group.html?page_id=142136," Fyziatria, balneológia a liečebná rehabilitácia",Košický,Spišská Nová Ves
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Spišská Nová Ves, (FitM - group s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-spisska-nova-ves-fitm-group.html?page_id=142137," Fyziatria, balneológia a liečebná rehabilitácia",Košický,Spišská Nová Ves
"Všeobecná ambulancia pre dospelých, MUDr. Iveta Fulková, Rudňany, (Doktorka, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/vseobecna-ambulancia-pre-dospelych-mudr.-iveta-fulkova-rudnany-doktorka.html?page_id=141512, Všeobecné lekárstvo,Košický,Spišská Nová Ves
"Ambulancia klinickej psychológie, Spišská Nová Ves, (EGIDA-SNV s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/ambulancia-klinickej-psychologie-spisska-nova-ves-egida-snv.html?page_id=141366, Klinická psychológia,Košický,Spišská Nová Ves
"Gastroenterologická ambulancia, Spišská Nová Ves, (Nemocnica s poliklinikou Spišská Nová Ves, a.s.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/gastroenterologicka-ambulancia-spisska-nova-ves-nemocnica-s-poliklinikou-spisska-nova-ves-a.s..html?page_id=141297, Gastroenterológia,Košický,Spišská Nová Ves
"Gynekologická ambulancia, Spišská Nová Ves, (MHM Company s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/gynekologicka-ambulancia-spisska-nova-ves-mhm-company.html?page_id=140994, Gynekológia a pôrodníctvo,Košický,Spišská Nová Ves
"Všeobecná ambulancia pre deti a dospelých, MUDr. Branislav Pencák, Rudňany, (MUDr. Branislav Pencák, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/spisska-nova-ves/vseobecna-ambulancia-pre-deti-a-dospelych-mudr.-branislav-pencak-rudnany-mudr.-branislav-pencak.html?page_id=140862," Všeobecné lekárstvo, Pediatria",Košický,Spišská Nová Ves
