title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, Kráľovský Chlmec, (PRAKTLEK - MUDr. VARGA T., s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/trebisov/vseobecna-ambulancia-pre-dospelych-kralovsky-chlmec-praktlek-mudr.-varga-t..html?page_id=143728, Všeobecné lekárstvo,Košický,Trebišov
"ADOS, Nemocničná, Kráľovský Chlmec, (Nemocnica s poliklinikou n.o. Kráľovský Chlmec)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/trebisov/ados-nemocnicna-kralovsky-chlmec-nemocnica-s-poliklinikou-n.o.-kralovsky-chlmec.html?page_id=143346, Domáca ošetrovateľská starostlivosť,Košický,Trebišov
"Všeobecná ambulancia pre dospelých, Tomáš Kačurák, Parchovany, (TOLKA, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/trebisov/vseobecna-ambulancia-pre-dospelych-tomas-kacurak-parchovany-tolka.html?page_id=143337, Všeobecné lekárstvo,Košický,Trebišov
"Všeobecná ambulancia pre dospelých, Tomáš Kačurák, Dvorianky, (TOLKA, s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/trebisov/vseobecna-ambulancia-pre-dospelych-tomas-kacurak-dvorianky-tolka.html?page_id=143338, Všeobecné lekárstvo,Košický,Trebišov
"Všeobecná ambulancia pre deti a dorast, Veľké Trakany, (Sz. Panteleimon s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/trebisov/vseobecna-ambulancia-pre-deti-a-dorast-velke-trakany-sz.-panteleimon.html?page_id=143254, Pediatria,Košický,Trebišov
"Všeobecná ambulancia pre dospelých, Čierna nad Tisou, (Sz. Panteleimon s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/trebisov/vseobecna-ambulancia-pre-dospelych-cierna-nad-tisou-sz.-panteleimon.html?page_id=143255, Všeobecné lekárstvo,Košický,Trebišov
"Všeobecná ambulancia pre dospelých, Veľké Trakany, (Sz. Panteleimon s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/trebisov/vseobecna-ambulancia-pre-dospelych-velke-trakany-sz.-panteleimon.html?page_id=143256, Všeobecné lekárstvo,Košický,Trebišov
"Všeobecná ambulancia pre deti a dorast, Čierna nad Tisou, (Sz. Panteleimon s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/trebisov/vseobecna-ambulancia-pre-deti-a-dorast-cierna-nad-tisou-sz.-panteleimon.html?page_id=143253, Pediatria,Košický,Trebišov
"Gynekologická ambulancia, MUDr. Štefan Ander, Kráľovský Chlmec, (NZZ – Gynekologická ambulancia s. r. o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/trebisov/gynekologicka-ambulancia-mudr.-stefan-ander-kralovsky-chlmec-nzz-gynekologicka-ambulancia-s.-r.-o..html?page_id=142677, Gynekológia a pôrodníctvo,Košický,Trebišov
"Kardiologická ambulancia, MUDr. Monika Lörinczová, Streda nad Bodrogom, (Kardiologická ambulancia MUDr. Fazekaša s.r.o.)",https://www.e-vuc.sk/ksk/ambulantne-zdravotnicke-zariadenia/trebisov/kardiologicka-ambulancia-mudr.-monika-lorinczova-streda-nad-bodrogom-kardiologicka-ambulancia-mudr.-fazekasa.html?page_id=142555, Kardiológia,Košický,Trebišov
