title,doctor_url,specialization,kraj,okres
"Gynekologická ambulancia, Moča, (PRO LIFE s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/gynekologicka-ambulancia-moca-pro-life.html?page_id=143336," Gynekológia a pôrodníctvo, Mamológia, Ultrazvuk v gynekológii a pôrodníctve",Nitriansky,Komárno
"Všeobecná ambulancia pre dospelých, Iža, (CZ-MEDIC, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/vseobecna-ambulancia-pre-dospelych-iza-cz-medic.html?page_id=143240, Všeobecné lekárstvo,Nitriansky,Komárno
"Psychiatrická ambulancia, Komárno, (KALOPSYCHION s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/psychiatricka-ambulancia-komarno-kalopsychion-s.-r.-o..html?page_id=143086, Psychiatria,Nitriansky,Komárno
"Otorinolaryngologická ambulancia, Komárno, (HOMO - MED s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/otorinolaryngologicka-ambulancia-komarno-homo-med.html?page_id=143084, Otorinolaryngológia,Nitriansky,Komárno
"Oftalmologická ambulancia, Kolárovo, (MUDr. Mária Balázs s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/oftalmologicka-ambulancia-kolarovo-mudr.-maria-balazs-1.html?page_id=142669, Oftalmológia,Nitriansky,Komárno
"Ambulancia zubného lekárstva, Kolárovo, (K2 Dental Clinic s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-zubneho-lekarstva-kolarovo-k2-dental-clinic.html?page_id=142498, Zubné lekárstvo,Nitriansky,Komárno
"Ambulancia zubného lekárstva, Komárno, (MUDr. Marta Náteková)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-zubneho-lekarstva-komarno-mudr.-marta-natekova.html?page_id=142106, Zubné lekárstvo,Nitriansky,Komárno
"ADOS, Námestie Slobody, Marcelová, (PEDIATER BE, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ados-namestie-slobody-marcelova-pediater-be.html?page_id=141978, Domáca ošetrovateľská starostlivosť,Nitriansky,Komárno
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Hurbanovo, (Rehabilitačné centrum TOMI s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-hurbanovo-rehabilitacne-centrum-tomi.html?page_id=141422," Fyziatria, balneológia a liečebná rehabilitácia",Nitriansky,Komárno
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Hurbanovo, (Rehabilitačné centrum TOMI s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-hurbanovo-rehabilitacne-centrum-tomi.html?page_id=141421," Fyziatria, balneológia a liečebná rehabilitácia",Nitriansky,Komárno
"Všeobecná ambulancia pre dospelých, Dulovce, (MEDCom s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/vseobecna-ambulancia-pre-dospelych-dulovce-medcom.html?page_id=141278, Všeobecné lekárstvo,Nitriansky,Komárno
"Všeobecná ambulancia pre deti a dorast, Búč, (MUDr. Margita Hajtmanová)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/vseobecna-ambulancia-pre-deti-a-dorast-buc-mudr.-margita-hajtmanova.html?page_id=140632, Pediatria,Nitriansky,Komárno
"Ambulancia zubného lekárstva, Komárno, (MDDr. Janka Štefániková)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-zubneho-lekarstva-komarno-mddr.-janka-stefanikova.html?page_id=140402, Zubné lekárstvo,Nitriansky,Komárno
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Komárno, (RE - MED s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-komarno-re-med-2.html?page_id=140148," Fyziatria, balneológia a liečebná rehabilitácia",Nitriansky,Komárno
"Všeobecná ambulancia pre dospelých, Komárno, (MedHelp s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/vseobecna-ambulancia-pre-dospelych-komarno-medhelp.html?page_id=139301, Všeobecné lekárstvo,Nitriansky,Komárno
"Gynekologická ambulancia, MUDr. Sebastián Ulrich, Komárno, (Gynekológ No1, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/gynekologicka-ambulancia-mudr.-sebastian-ulrich-komarno-gynekolog-no1.html?page_id=135519, Gynekológia a pôrodníctvo,Nitriansky,Komárno
"Ambulancia rýchlej zdravotnej pomoci, Zemianska Olča, (ZaMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-rychlej-zdravotnej-pomoci-zemianska-olca-zamed.html?page_id=135349, Rýchla zdravotná pomoc,Nitriansky,Komárno
"Jednodňová zdravotná starostlivosť, anestéziológia a intenzívna medicína, Kolárovo, (MEDCHIR, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/jednodnova-zdravotna-starostlivost-anesteziologia-a-intenzivna-medicina-kolarovo-medchir.html?page_id=135218, Anestéziológia a intenzívna medicína,Nitriansky,Komárno
"SVaLZ, rádiológia, Hurbanovo, (VALLINMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/svalz-radiologia-hurbanovo-vallinmed.html?page_id=134940," Rádiológia, Sonografia",Nitriansky,Komárno
"Ambulancia rýchlej zdravotnej pomoci, Marcelová, (ZaMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-rychlej-zdravotnej-pomoci-marcelova-zamed.html?page_id=134786, Rýchla zdravotná pomoc,Nitriansky,Komárno
"Ambulancia rýchlej zdravotnej pomoci, Nesvady, (ZaMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-rychlej-zdravotnej-pomoci-nesvady-zamed.html?page_id=134787, Rýchla zdravotná pomoc,Nitriansky,Komárno
"Ambulancia rýchlej zdravotnej pomoci, Pribeta, (ZaMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-rychlej-zdravotnej-pomoci-pribeta-zamed.html?page_id=134783, Rýchla zdravotná pomoc,Nitriansky,Komárno
"Ambulancia rýchlej zdravotnej pomoci, Kolárovo, (ZaMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-rychlej-zdravotnej-pomoci-kolarovo-zamed.html?page_id=134784, Rýchla zdravotná pomoc,Nitriansky,Komárno
"Ambulancia rýchlej zdravotnej pomoci, Komárno 2, (ZaMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-rychlej-zdravotnej-pomoci-komarno-2-zamed.html?page_id=134781, Rýchla zdravotná pomoc,Nitriansky,Komárno
"Chirurgická ambulancia, Hurbanovo, (Chirurgia Hurbanovo s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/chirurgicka-ambulancia-hurbanovo-chirurgia-hurbanovo-s.-r.-o..html?page_id=133173, Chirurgia,Nitriansky,Komárno
"Všeobecná ambulancia pre deti a dorast, Komárno, (Nemocnica AGEL Komárno s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/vseobecna-ambulancia-pre-deti-a-dorast-komarno-nemocnica-agel-komarno.html?page_id=132954, Pediatria,Nitriansky,Komárno
"Ambulancia rýchlej zdravotnej pomoci „S“, Komárno 4, (ZaMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-rychlej-zdravotnej-pomoci-s-komarno-4-zamed.html?page_id=132838, Rýchla zdravotná pomoc „S“,Nitriansky,Komárno
"Ambulancia rýchlej zdravotnej pomoci „S“, Komárno 3, (ZaMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/komarno/ambulancia-rychlej-zdravotnej-pomoci-s-komarno-3-zamed.html?page_id=132839, Rýchla zdravotná pomoc „S“,Nitriansky,Komárno
