title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, Tlmače, (OBOTO s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levice/vseobecna-ambulancia-pre-dospelych-tlmace-oboto.html?page_id=143805, Všeobecné lekárstvo,Nitriansky,Levice
"Všeobecná ambulancia pre dospelých, Farná, (Medic-Vital-Natura, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levice/vseobecna-ambulancia-pre-dospelych-farna-medic-vital-natura.html?page_id=143533, Všeobecné lekárstvo,Nitriansky,Levice
"Ambulancia zubného lekárstva, Santovka, (Only Smile s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levice/ambulancia-zubneho-lekarstva-santovka-only-smile-s.-r.-o..html?page_id=143343, Zubné lekárstvo,Nitriansky,Levice
"Ambulancia zubného lekárstva, Nová Dedina, (Only Smile s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levice/ambulancia-zubneho-lekarstva-nova-dedina-only-smile-s.-r.-o..html?page_id=143344, Zubné lekárstvo,Nitriansky,Levice
"Ambulancia zubného lekárstva, Rybník, (Only Smile s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levice/ambulancia-zubneho-lekarstva-rybnik-only-smile-s.-r.-o..html?page_id=143345, Zubné lekárstvo,Nitriansky,Levice
"ADOS, Ul. I. Krasku, Levice, (SWOT spol. s r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levice/ados-ul.-i.-krasku-levice-swot-spol.-s-r.o.-1.html?page_id=143182, Domáca ošetrovateľská starostlivosť,Nitriansky,Levice
"Urologická ambulancia, Levice, (Nemocnica AGEL Levice s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levice/urologicka-ambulancia-levice-nemocnica-agel-levice.html?page_id=142100, Urológia,Nitriansky,Levice
"Ambulancia pediatrickej kardiológie, Levice, (Nemocnica AGEL Levice s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levice/ambulancia-pediatrickej-kardiologie-levice-nemocnica-agel-levice.html?page_id=142099, Pediatrická kardiológia,Nitriansky,Levice
"Ambulancia zubného lekárstva, Levice, (REAdent s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levice/ambulancia-zubneho-lekarstva-levice-readent.html?page_id=141885, Zubné lekárstvo,Nitriansky,Levice
"Ambulancia plastickej chirurgie, Levice, (ALMA3, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levice/ambulancia-plastickej-chirurgie-levice-alma3.html?page_id=141354, Plastická chirurgia,Nitriansky,Levice
