title,doctor_url,specialization,kraj,okres
"Pneumologicko-ftizeologická ambulancia, Nitra, (Rádiológia Zobor a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/pneumologicko-ftizeologicka-ambulancia-nitra-radiologia-zobor-a.s..html?page_id=143544, Pneumológia a ftizeológia,Nitriansky,Nitra
"Pneumologicko-ftizeologická ambulancia, Nitra, (JESSENIUS - diagnostické centrum, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/pneumologicko-ftizeologicka-ambulancia-nitra-jessenius-diagnosticke-centrum-a.s..html?page_id=143543, Pneumológia a ftizeológia,Nitriansky,Nitra
"Pneumologicko-ftizeologická ambulancia, Nitra, (Diagnosticko-terapeutické centrum Largus, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/pneumologicko-ftizeologicka-ambulancia-nitra-diagnosticko-terapeuticke-centrum-largus-a.s..html?page_id=143542, Pneumológia a ftizeológia,Nitriansky,Nitra
"Dermatovenerologická ambulancia, Nitra, (NESS Clinic, s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/dermatovenerologicka-ambulancia-nitra-ness-clinic-s.-r.-o..html?page_id=143473, Dermatovenerológia,Nitriansky,Nitra
"Ambulancia dentálnej hygieny, Nitra, (Shine Dent s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/ambulancia-dentalnej-hygieny-nitra-shine-dent.html?page_id=143409, Dentálna hygiena,Nitriansky,Nitra
"Neurologická ambulancia, Nitra, (Rádiológia Zobor a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/neurologicka-ambulancia-nitra-radiologia-zobor-a.s..html?page_id=143404, Neurológia,Nitriansky,Nitra
"Poliklinika, Štefánikova trieda, Nitra, (Rádiológia Zobor a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/poliklinika-stefanikova-trieda-nitra-radiologia-zobor-a.s..html?page_id=143405,64-45615951-A0002,Nitriansky,Nitra
"Všeobecná ambulancia pre dospelých, Nitra, (Rádiológia Zobor a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/vseobecna-ambulancia-pre-dospelych-nitra-radiologia-zobor-a.s..html?page_id=143406, Všeobecné lekárstvo,Nitriansky,Nitra
"SVaLZ, rádiológia, Nitra, (Rádiológia Zobor a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/svalz-radiologia-nitra-radiologia-zobor-a.s.-1.html?page_id=143407," Rádiológia, Mamografia, Abdominálna ultrasonografia u dospelých, Počítačová tomografia - CT, Magnetická rezonancia, Osteodenzitometria",Nitriansky,Nitra
"SVaLZ, rádiológia, Nitra, (JESSENIUS - diagnostické centrum, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/svalz-radiologia-nitra-jessenius-diagnosticke-centrum-a.s.-11.html?page_id=143374," Rádiológia, Magnetická rezonancia",Nitriansky,Nitra
"Poliklinika, Štefánikova trieda, Nitra, (JESSENIUS - diagnostické centrum, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/poliklinika-stefanikova-trieda-nitra-jessenius-diagnosticke-centrum-a.s.-1.html?page_id=143372,64-36540315-A0017,Nitriansky,Nitra
"Všeobecná ambulancia pre dospelých, Nitra, (JESSENIUS - diagnostické centrum, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/vseobecna-ambulancia-pre-dospelych-nitra-jessenius-diagnosticke-centrum-a.s..html?page_id=143373, Všeobecné lekárstvo,Nitriansky,Nitra
"Poliklinika, Štefánikova trieda, Nitra, (Diagnosticko-terapeutické centrum Largus, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/poliklinika-stefanikova-trieda-nitra-diagnosticko-terapeuticke-centrum-largus-a.s.-1.html?page_id=143369,64-52974472-A0007,Nitriansky,Nitra
"Všeobecná ambulancia pre dospelých, Nitra, (Diagnosticko-terapeutické centrum Largus, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/vseobecna-ambulancia-pre-dospelych-nitra-diagnosticko-terapeuticke-centrum-largus-a.s..html?page_id=143370, Všeobecné lekárstvo,Nitriansky,Nitra
