title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, Komjatice, (NaviMed s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/vseobecna-ambulancia-pre-dospelych-komjatice-navimed.html?page_id=143703, Všeobecné lekárstvo,Nitriansky,Nové zámky
"Ambulancia zubného lekárstva, Nové Zámky, (Maydent s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-zubneho-lekarstva-nove-zamky-maydent.html?page_id=143532, Zubné lekárstvo,Nitriansky,Nové zámky
"Ambulancia klinickej logopédie, Nové Zámky, (LogoWin s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-klinickej-logopedie-nove-zamky-logowin.html?page_id=143531, Klinická logopédia,Nitriansky,Nové zámky
"Ambulancia diabetológie a porúch látkovej premeny a výživy, Nové Zámky, (DK DIA s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-nove-zamky-dk-dia.html?page_id=143448," Diabetológia, poruchy látkovej premeny a výživy",Nitriansky,Nové zámky
"Všeobecná ambulancia pre dospelých, Štúrovo, (Milval, s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/vseobecna-ambulancia-pre-dospelych-sturovo-milval-s.-r.-o..html?page_id=143391, Všeobecné lekárstvo,Nitriansky,Nové zámky
"Ambulancia klinickej psychológie, Nové Zámky, (M-live, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-klinickej-psychologie-nove-zamky-m-live.html?page_id=143301," Klinická psychológia, Psychoterapia, Dopravná psychológia",Nitriansky,Nové zámky
"Všeobecná ambulancia pre dospelých, Černík, (RS HealthConsulting s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/vseobecna-ambulancia-pre-dospelych-cernik-rs-healthconsulting.html?page_id=143244, Všeobecné lekárstvo,Nitriansky,Nové zámky
"Ambulancia zubného lekárstva, Palárikovo, (Maydent s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-zubneho-lekarstva-palarikovo-maydent.html?page_id=143242, Zubné lekárstvo,Nitriansky,Nové zámky
"Gynekologická ambulancia, Nové Zámky, (MISTA gyn and prenatal care s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/gynekologicka-ambulancia-nove-zamky-mista-gyn-and-prenatal-care.html?page_id=142531, Gynekológia a pôrodníctvo,Nitriansky,Nové zámky
"Všeobecná ambulancia pre dospelých, Štúrovo, (Bibimed s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/vseobecna-ambulancia-pre-dospelych-sturovo-bibimed-s.-r.-o..html?page_id=142468, Všeobecné lekárstvo,Nitriansky,Nové zámky
"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Radvanská, PhD., Nové Zámky, (SZALAMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-eva-radvanska-phd.-nove-zamky-szalamed.html?page_id=142211, Pediatria,Nitriansky,Nové zámky
"Ambulancia zubného lekárstva, Nové Zámky, (PromiDent, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-zubneho-lekarstva-nove-zamky-promident.html?page_id=141645, Zubné lekárstvo,Nitriansky,Nové zámky
"Ambulancia dentálnej hygieny, Bc. Katarína Chovancová, Nové Zámky, (M-live, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-dentalnej-hygieny-bc.-katarina-chovancova-nove-zamky-m-live.html?page_id=141587, Dentálna hygiena,Nitriansky,Nové zámky
"Oftalmologická ambulancia, Nové Zámky, (Wessely Medical Optic s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/oftalmologicka-ambulancia-nove-zamky-wessely-medical-optic.html?page_id=141580, Oftalmológia,Nitriansky,Nové zámky
"Jednodňová zdravotná starostlivosť, oftalmológia, Nové Zámky, (Wessely Medical Optic s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/jednodnova-zdravotna-starostlivost-oftalmologia-nove-zamky-wessely-medical-optic.html?page_id=141581, Oftalmológia,Nitriansky,Nové zámky
"ADOS, Bitúnková , Nové Zámky, (PADOS s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ados-bitunkova-nove-zamky-pados.html?page_id=141532, Domáca ošetrovateľská starostlivosť,Nitriansky,Nové zámky
"Urologická ambulancia, Štúrovo, (UROZONE, s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/urologicka-ambulancia-sturovo-urozone-s.-r.-o..html?page_id=141424, Urológia,Nitriansky,Nové zámky
"Urologická ambulancia, Kamenný Most, (UROZONE, s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/urologicka-ambulancia-kamenny-most-urozone-s.-r.-o..html?page_id=141425, Urológia,Nitriansky,Nové zámky
"Gastroenterologická ambulancia, Nové Zámky, (PANMEDICA, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/gastroenterologicka-ambulancia-nove-zamky-panmedica.html?page_id=141237, Gastroenterológia,Nitriansky,Nové zámky
"Gastroenterologická ambulancia, Štúrovo, (PANMEDICA, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/gastroenterologicka-ambulancia-sturovo-panmedica.html?page_id=141199, Gastroenterológia,Nitriansky,Nové zámky
"Jednodňová zdravotná starostlivosť, gastroenterológia, Nové Zámky, (PANMEDICA, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/jednodnova-zdravotna-starostlivost-gastroenterologia-nove-zamky-panmedica.html?page_id=141200, Gastroenterológia,Nitriansky,Nové zámky
"Reumatologická ambulancia, Nové Zámky, (Reumed AS, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/reumatologicka-ambulancia-nove-zamky-reumed-as.html?page_id=140404, Reumatológia,Nitriansky,Nové zámky
"Ambulancia zubného lekárstva, Nové Zámky, (JD Dental s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-zubneho-lekarstva-nove-zamky-jd-dental-s.-r.-o..html?page_id=136112, Zubné lekárstvo,Nitriansky,Nové zámky
"Všeobecná ambulancia pre dospelých, Nové Zámky, (NORIMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/vseobecna-ambulancia-pre-dospelych-nove-zamky-norimed.html?page_id=135601, Všeobecné lekárstvo,Nitriansky,Nové zámky
"Jednodňová zdravotná starostlivosť, anestéziológia a intenzívna medicína, Nové Zámky, (Diamond Medical, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/jednodnova-zdravotna-starostlivost-anesteziologia-a-intenzivna-medicina-nove-zamky-diamond-medical.html?page_id=135259, Anestéziológia a intenzívna medicína,Nitriansky,Nové zámky
"Jednodňová zdravotná starostlivosť, anestéziológia a intenzívna medicína, Nové Zámky, (LB ANEST, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/jednodnova-zdravotna-starostlivost-anesteziologia-a-intenzivna-medicina-nove-zamky-lb-anest.html?page_id=135252, Anestéziológia a intenzívna medicína,Nitriansky,Nové zámky
"Ambulancia rýchlej lekárskej pomoci, Nové Zámky 1, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-rychlej-lekarskej-pomoci-nove-zamky-1-zachranna-zdravotna-sluzba-bratislava.html?page_id=135237, Rýchla lekárska pomoc,Nitriansky,Nové zámky
"Všeobecná ambulancia pre dospelých, Strekov, (VINOVA Group s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/vseobecna-ambulancia-pre-dospelych-strekov-vinova-group.html?page_id=135081, Všeobecné lekárstvo,Nitriansky,Nové zámky
"Všeobecná ambulancia pre dospelých, Nové Zámky, (RODMED s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/vseobecna-ambulancia-pre-dospelych-nove-zamky-rodmed.html?page_id=134906, Všeobecné lekárstvo,Nitriansky,Nové zámky
"Ambulancia rýchlej zdravotnej pomoci, Nové Zámky 2, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-rychlej-zdravotnej-pomoci-nove-zamky-2-zachranna-zdravotna-sluzba-bratislava.html?page_id=134865, Rýchla zdravotná pomoc,Nitriansky,Nové zámky
"Ambulancia rýchlej zdravotnej pomoci, Kolta, (ZaMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-rychlej-zdravotnej-pomoci-kolta-zamed.html?page_id=134864, Rýchla zdravotná pomoc,Nitriansky,Nové zámky
"Ambulancia pediatrickej neurológie, Nové Zámky, (NEUROLOGICA s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-pediatrickej-neurologie-nove-zamky-neurologica.html?page_id=134798, Pediatrická neurológia,Nitriansky,Nové zámky
"Neurologická ambulancia, Nové Zámky, (NEUROLOGICA s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/neurologicka-ambulancia-nove-zamky-neurologica.html?page_id=134799, Neurológia,Nitriansky,Nové zámky
"Ambulancia rýchlej zdravotnej pomoci, Komjatice, (ZaMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-rychlej-zdravotnej-pomoci-komjatice-zamed.html?page_id=134785, Rýchla zdravotná pomoc,Nitriansky,Nové zámky
"Ambulancia rýchlej zdravotnej pomoci, Gbelce, (ZaMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-rychlej-zdravotnej-pomoci-gbelce-zamed.html?page_id=134782, Rýchla zdravotná pomoc,Nitriansky,Nové zámky
"Ambulancia rýchlej zdravotnej pomoci, Podhájska, (ZaMED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/ambulancia-rychlej-zdravotnej-pomoci-podhajska-zamed.html?page_id=134735, Rýchla zdravotná pomoc,Nitriansky,Nové zámky
"Endokrinologická ambulancia, Nové Zámky, (Endomedical s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/endokrinologicka-ambulancia-nove-zamky-endomedical.html?page_id=134717, Endokrinológia,Nitriansky,Nové zámky
"Gynekologická ambulancia, MUDr.Lucia Králiková, Šurany, (Mestská poliklinika)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-zamky/gynekologicka-ambulancia-mudr.lucia-kralikova-surany-mestska-poliklinika.html?page_id=134711, Gynekológia a pôrodníctvo,Nitriansky,Nové zámky
