title,doctor_url,specialization,kraj,okres
"Urologická ambulancia, Topoľčany, (Svet zdravia Nemocnica Topoľčany, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/urologicka-ambulancia-topolcany-svet-zdravia-nemocnica-topolcany-a.s.-1.html?page_id=143410, Onkológia v urológii,Nitriansky,Topoľčany
"Ambulancia dentálnej hygieny, Topoľčany, (DENTIST - KA s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/ambulancia-dentalnej-hygieny-topolcany-dentist-ka.html?page_id=142511, Dentálna hygiena,Nitriansky,Topoľčany
"Neurologická ambulancia, Topoľčany, (MK NEURO s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/neurologicka-ambulancia-topolcany-mk-neuro.html?page_id=142316, Neurológia,Nitriansky,Topoľčany
"Ambulancia pediatrickej neurológie, Topoľčany, (MK NEURO s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/ambulancia-pediatrickej-neurologie-topolcany-mk-neuro.html?page_id=142315, Pediatrická neurológia,Nitriansky,Topoľčany
"Chirurgická ambulancia, MUDr. Jozef Čaniga, Topoľčany, (AJC MED, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/chirurgicka-ambulancia-mudr.-jozef-caniga-topolcany-ajc-med.html?page_id=142265, Chirurgia,Nitriansky,Topoľčany
"Rehabilitačné centrum, Topoľčany, (Slovenský Červený kríž, územný spolok Topoľčany)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/rehabilitacne-centrum-topolcany-slovensky-cerveny-kriz-uzemny-spolok-topolcany.html?page_id=142101," Fyziatria, balneológia a liečebná rehabilitácia",Nitriansky,Topoľčany
"Rehabilitačné centrum, Topoľčany, (Slovenský Červený kríž, územný spolok Topoľčany)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/rehabilitacne-centrum-topolcany-slovensky-cerveny-kriz-uzemny-spolok-topolcany-1.html?page_id=142102," Fyziatria, balneológia a liečebná rehabilitácia",Nitriansky,Topoľčany
"Chirurgická ambulancia, Tovarníky, (Inštitút prediktívnej a personalizovanej medicíny, s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/chirurgicka-ambulancia-tovarniky-institut-prediktivnej-a-personalizovanej-mediciny-s.-r.-o..html?page_id=140765, Chirurgia,Nitriansky,Topoľčany
"SVaLZ, fyzioterapia, Topoľčany, (Mgr. Katarína Šulavíková)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/svalz-fyzioterapia-topolcany-mgr.-katarina-sulavikova-1.html?page_id=140243, Fyzioterapia,Nitriansky,Topoľčany
"Všeobecná ambulancia pre dospelých, Topoľčany, (JASIS SK s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/vseobecna-ambulancia-pre-dospelych-topolcany-jasis-sk.html?page_id=136552, Všeobecné lekárstvo,Nitriansky,Topoľčany
"Ambulancia zubného lekárstva, Ludanice, (BeliDent s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/ambulancia-zubneho-lekarstva-ludanice-belident.html?page_id=135472, Zubné lekárstvo,Nitriansky,Topoľčany
"Všeobecná ambulancia pre deti a dorast, Preseľany, (URAMOVÁ - lekár pre deti a dorast, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/vseobecna-ambulancia-pre-deti-a-dorast-preselany-uramova-lekar-pre-deti-a-dorast.html?page_id=135306," Pediatria, Dorastové lekárstvo",Nitriansky,Topoľčany
"SVaLZ, magnetická rezonancia, Topoľčany, (Svet zdravia Nemocnica Topoľčany, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/svalz-magneticka-rezonancia-topolcany-svet-zdravia-nemocnica-topolcany-a.s..html?page_id=135221, Magnetická rezonancia,Nitriansky,Topoľčany
"Tobimed, zubná klinika, Topoľčany, (MEDO-DENT, s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/tobimed-zubna-klinika-topolcany-medo-dent-s.-r.-o..html?page_id=135127, Zubné lekárstvo,Nitriansky,Topoľčany
"Nefrologická ambulancia, Topoľčany, (B. Braun Avitum, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/nefrologicka-ambulancia-topolcany-b.-braun-avitum.html?page_id=135034, Nefrológia,Nitriansky,Topoľčany
"Tobimed, zubná klinika, Topoľčany, (TOBIÁŠDENT, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/tobimed-zubna-klinika-topolcany-tobiasdent.html?page_id=135006," Zubné lekárstvo, Dentoalveolárna chirurgia",Nitriansky,Topoľčany
"Ambulancia rýchlej zdravotnej pomoci, Topoľčany 2, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/ambulancia-rychlej-zdravotnej-pomoci-topolcany-2-zachranna-zdravotna-sluzba-bratislava.html?page_id=134885, Rýchla zdravotná pomoc,Nitriansky,Topoľčany
"Ambulancia rýchlej zdravotnej pomoci, Veľké Ripňany, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/ambulancia-rychlej-zdravotnej-pomoci-velke-ripnany-lse-life-star-emergency.html?page_id=134884, Rýchla zdravotná pomoc,Nitriansky,Topoľčany
"Ambulancia pracovného lekárstva, Krušovce, (ALW, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/ambulancia-pracovneho-lekarstva-krusovce-alw.html?page_id=133119, Pracovné lekárstvo,Nitriansky,Topoľčany
"Ambulancia úrazovej chirurgie, Topoľčany, (MUDr. Ján Paulík)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/ambulancia-urazovej-chirurgie-topolcany-mudr.-jan-paulik.html?page_id=132936," úrazová chirurgia, Telovýchovné lekárstvo, Chirurgia",Nitriansky,Topoľčany
"Dispečing dopravnej zdravotnej služby, Topoľčany, (PETVAL ZDNR, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/dispecing-dopravnej-zdravotnej-sluzby-topolcany-petval-zdnr.html?page_id=132834,,Nitriansky,Topoľčany
"Všeobecná ambulancia pre deti a dorast, Topoľčany, (MUDr. Chmelárová Miriam, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/topolcany/vseobecna-ambulancia-pre-deti-a-dorast-topolcany-mudr.-chmelarova-miriam.html?page_id=132577, Pediatria,Nitriansky,Topoľčany
