title,doctor_url,specialization,kraj,okres
"Urologická ambulancia, Zlaté Moravce, (Urologická ambulancia Zlaté Moravce, s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zlate-moravce/urologicka-ambulancia-zlate-moravce-urologicka-ambulancia-zlate-moravce-s.-r.-o..html?page_id=143705, Urológia,Nitriansky,Zlaté Moravce
"SVaLZ, fyzioterapia, Zlaté Moravce, (Mgr. Ľuboš Rumanko)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zlate-moravce/svalz-fyzioterapia-zlate-moravce-mgr.-lubos-rumanko.html?page_id=143271, Fyzioterapia,Nitriansky,Zlaté Moravce
"Jednodňová zdravotná starostlivosť, gynekológia a pôrodníctvo, Zlaté Moravce, (Nemocnica AGEL Zlaté Moravce a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zlate-moravce/jednodnova-zdravotna-starostlivost-gynekologia-a-porodnictvo-zlate-moravce-nemocnica-agel-zlate-moravce-a.s..html?page_id=142098, Gynekológia a pôrodníctvo,Nitriansky,Zlaté Moravce
"ADOS, Bernolákova, Zlaté Moravce, (ADOS Domi s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zlate-moravce/ados-bernolakova-zlate-moravce-ados-domi.html?page_id=141530,!,Nitriansky,Zlaté Moravce
"Ambulancia diabetológie a porúch látkovej premeny a výživy, Zlaté Moravce, (DEImedi, s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zlate-moravce/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-zlate-moravce-deimedi-s.-r.-o..html?page_id=140778," Diabetológia, poruchy látkovej premeny a výživy",Nitriansky,Zlaté Moravce
"Ambulancia vnútorného lekárstva, Zlaté Moravce, (DEImedi, s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zlate-moravce/ambulancia-vnutorneho-lekarstva-zlate-moravce-deimedi-s.-r.-o..html?page_id=140779, Vnútorné lekárstvo,Nitriansky,Zlaté Moravce
"Všeobecná ambulancia pre dospelých, Zlaté Moravce, (L - INT s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zlate-moravce/vseobecna-ambulancia-pre-dospelych-zlate-moravce-l-int.html?page_id=140499, Všeobecné lekárstvo,Nitriansky,Zlaté Moravce
"SVaLZ, rádiológia, Zlaté Moravce, (Diagnosticko-terapeutické centrum Largus, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zlate-moravce/svalz-radiologia-zlate-moravce-diagnosticko-terapeuticke-centrum-largus-a.s..html?page_id=140486, Rádiológia,Nitriansky,Zlaté Moravce
"Jednodňová zdravotná starostlivosť v odbore úrazová chirurgia, Zlaté Moravce, (Nemocnica AGEL Zlaté Moravce a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zlate-moravce/jednodnova-zdravotna-starostlivost-v-odbore-urazova-chirurgia-zlate-moravce-nemocnica-agel-zlate-moravce-a.s..html?page_id=135599, úrazová chirurgia,Nitriansky,Zlaté Moravce
"Ambulancia diabetológie a porúch látkovej premeny a výživy, Zlaté Moravce, Zlaté Moravce, (Nemocnica AGEL Zlaté Moravce a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/zlate-moravce/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-zlate-moravce-zlate-moravce-nemocnica-agel-zlate-moravce-a.s..html?page_id=135358," Diabetológia, poruchy látkovej premeny a výživy",Nitriansky,Zlaté Moravce
