title,doctor_url,specialization,kraj,okres
"Gynekologická ambulancia, Močenok, (FemiGyn s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sala/gynekologicka-ambulancia-mocenok-femigyn-s.-r.-o..html?page_id=143540, Gynekológia a pôrodníctvo,Nitriansky,Šaľa
"SVaLZ, rádiológia, Šaľa, (MUDr. Kristína Švecová)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sala/svalz-radiologia-sala-mudr.-kristina-svecova.html?page_id=143443, Rádiológia,Nitriansky,Šaľa
"Ambulancia zubného lekárstva, Vlčany, (TM-REHAB s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sala/ambulancia-zubneho-lekarstva-vlcany-tm-rehab.html?page_id=143276, Zubné lekárstvo,Nitriansky,Šaľa
"Ambulancia zubného lekárstva, Šaľa, (TeRI - dent s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sala/ambulancia-zubneho-lekarstva-sala-teri-dent-s.-r.-o..html?page_id=143246," Zubné lekárstvo, Dentoalveolárna chirurgia",Nitriansky,Šaľa
"Ambulancia zubného lekárstva, Neded, (TeRI - dent s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sala/ambulancia-zubneho-lekarstva-neded-teri-dent-s.-r.-o..html?page_id=143247," Zubné lekárstvo, Dentoalveolárna chirurgia",Nitriansky,Šaľa
"Všeobecná ambulancia pre dospelých, Šaľa, (VAS - VIVA, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sala/vseobecna-ambulancia-pre-dospelych-sala-vas-viva-1.html?page_id=143114, Všeobecné lekárstvo,Nitriansky,Šaľa
"Ambulancia zubného lekárstva, Šaľa, (AW-DENT, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sala/ambulancia-zubneho-lekarstva-sala-aw-dent-1.html?page_id=142731," Zubné lekárstvo, čeľustná ortopédia",Nitriansky,Šaľa
"Ambulancia všeobecného lekárstva, MUDr. Vagovičová, Šaľa, (Salbrod, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sala/ambulancia-vseobecneho-lekarstva-mudr.-vagovicova-sala-salbrod.html?page_id=142670, Všeobecné lekárstvo,Nitriansky,Šaľa
"Všeobecná ambulancia pre dospelých, Šaľa, (MediElic s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sala/vseobecna-ambulancia-pre-dospelych-sala-medielic.html?page_id=142550, Všeobecné lekárstvo,Nitriansky,Šaľa
"SVaLZ, rádiológia, Šaľa, (DIAGNOSTICA MEDICA, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sala/svalz-radiologia-sala-diagnostica-medica-a.s.-1.html?page_id=142410, Rádiológia,Nitriansky,Šaľa
"Ambulancia klinickej logopédie, Šaľa, (Mgr. Veronika Halašová)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sala/ambulancia-klinickej-logopedie-sala-mgr.-veronika-halasova.html?page_id=141852, Klinická logopédia,Nitriansky,Šaľa
