title,doctor_url,specialization,kraj,okres
"Gynekologická ambulancia, Bardejov, (ADMEX, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/gynekologicka-ambulancia-bardejov-admex.html?page_id=143738, Gynekológia a pôrodníctvo,Prešovský,Bardejov
"Ambulancia zubného lekárstva, Bardejov, (Apolonia s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-zubneho-lekarstva-bardejov-apolonia.html?page_id=143722, Zubné lekárstvo,Prešovský,Bardejov
"Ambulancia diabetológie a porúch látkovej premeny a výživy, Raslavice, (ŠAMUDOVSKÝ, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-raslavice-samudovsky.html?page_id=142687," Diabetológia, poruchy látkovej premeny a výživy",Prešovský,Bardejov
"Endokrinologická ambulancia, Raslavice, (ŠAMUDOVSKÝ, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/endokrinologicka-ambulancia-raslavice-samudovsky.html?page_id=142688, Endokrinológia,Prešovský,Bardejov
"Ambulancia zubného lekárstva, Bardejov, (DENTYX s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-zubneho-lekarstva-bardejov-dentyx.html?page_id=141759, Zubné lekárstvo,Prešovský,Bardejov
"Jednodňová zdravotná starostlivosť, ortopédia, Bardejov, (NsP Sv. Jakuba, n.o., Bardejov)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/jednodnova-zdravotna-starostlivost-ortopedia-bardejov-nsp-sv.-jakuba-n.o.-bardejov.html?page_id=141649, Ortopédia,Prešovský,Bardejov
"Ambulancia klinickej psychológie, Bardejov, (Psychosociálne centrum s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-klinickej-psychologie-bardejov-psychosocialne-centrum.html?page_id=141442," Klinická psychológia, Dopravná psychológia, Psychoterapia",Prešovský,Bardejov
"Všeobecná ambulancia pre dospelých, MUDr. Lenka Tarasovitšová, Kružlov, (ZDRAVIE - LT, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/vseobecna-ambulancia-pre-dospelych-mudr.-lenka-tarasovitsova-kruzlov-zdravie-lt.html?page_id=140743, Všeobecné lekárstvo,Prešovský,Bardejov
"Jednodňová zdravotná starostlivosť, otorinolaryngológia, Bardejov, (ALIAN, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/jednodnova-zdravotna-starostlivost-otorinolaryngologia-bardejov-alian.html?page_id=140163, Otorinolaryngológia,Prešovský,Bardejov
"Jednodňová zdravotná starostlivosť, chirurgia, Bardejov, (ALIAN, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/jednodnova-zdravotna-starostlivost-chirurgia-bardejov-alian.html?page_id=140164, Chirurgia,Prešovský,Bardejov
"Jednodňová zdravotná starostlivosť, úrazová chirurgia, Bardejov, (ALIAN, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/jednodnova-zdravotna-starostlivost-urazova-chirurgia-bardejov-alian.html?page_id=140165, úrazová chirurgia,Prešovský,Bardejov
"Jednodňová zdravotná starostlivosť, ortopédia, Bardejov, (ALIAN, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/jednodnova-zdravotna-starostlivost-ortopedia-bardejov-alian.html?page_id=140162, Ortopédia,Prešovský,Bardejov
"Ambulancia diabetológie a porúch látkovej premeny a výživy, Bardejov, (ŠAMUDOVSKÝ, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-bardejov-samudovsky.html?page_id=139712," Diabetológia, poruchy látkovej premeny a výživy",Prešovský,Bardejov
"Ortopedická ambulancia, Bardejov, (Orthoklinika, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ortopedicka-ambulancia-bardejov-orthoklinika.html?page_id=135822, Ortopédia,Prešovský,Bardejov
"Ambulancia zubného lekárstva, Gavryleshko Kateryna, Bardejov, (Apolonia s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-zubneho-lekarstva-gavryleshko-kateryna-bardejov-apolonia.html?page_id=135816, Zubné lekárstvo,Prešovský,Bardejov
"Všeobecná ambulancia pre deti a dorast, Bardejov, (NsP Sv. Jakuba, n.o., Bardejov)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/vseobecna-ambulancia-pre-deti-a-dorast-bardejov-nsp-sv.-jakuba-n.o.-bardejov-1.html?page_id=135563, Všeobecná starostlivosť o deti a dorast,Prešovský,Bardejov
"Smile Care, s.r.o, Kružlov, (Smile Care, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/smile-care-s.r.o-kruzlov-smile-care.html?page_id=135467, Zubné lekárstvo,Prešovský,Bardejov
"Ambulancia rýchlej zdravotnej pomoci, Nižná Polianka, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-rychlej-zdravotnej-pomoci-nizna-polianka-lse-life-star-emergency.html?page_id=134936, Rýchla zdravotná pomoc,Prešovský,Bardejov
"Všeobecná ambulancia pre deti a dorast, Bardejov, (MEDIBARD s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/vseobecna-ambulancia-pre-deti-a-dorast-bardejov-medibard.html?page_id=134894, Pediatria,Prešovský,Bardejov
"Ambulancia dentálnej hygieny, Bardejov, (Bc. Henrieta Marcinová)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-dentalnej-hygieny-bardejov-bc.-henrieta-marcinova.html?page_id=134892, Dentálna hygiena,Prešovský,Bardejov
"Ambulancia rýchlej zdravotnej pomoci, Bardejov 2, (NsP Sv. Jakuba, n.o., Bardejov)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-rychlej-zdravotnej-pomoci-bardejov-2-nsp-sv.-jakuba-n.o.-bardejov.html?page_id=134670, Rýchla zdravotná pomoc,Prešovský,Bardejov
"Ambulancia rýchlej zdravotnej pomoci, Malcov, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-rychlej-zdravotnej-pomoci-malcov-lse-life-star-emergency.html?page_id=134669, Rýchla zdravotná pomoc,Prešovský,Bardejov
"Gynekologická ambulancia, Bardejov, (GYN MEDICAL BJ s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/gynekologicka-ambulancia-bardejov-gyn-medical-bj.html?page_id=133164," Gynekológia a pôrodníctvo, Ultrazvuk v gynekológii a pôrodníctve",Prešovský,Bardejov
"Všeobecná ambulancia pre deti a dorast, Bardejov, (LES ENFANTS, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/vseobecna-ambulancia-pre-deti-a-dorast-bardejov-les-enfants.html?page_id=132982, Pediatria,Prešovský,Bardejov
"Ambulancia rýchlej zdravotnej pomoci „S“, Bardejov 3, (NsP Sv. Jakuba, n.o., Bardejov)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-rychlej-zdravotnej-pomoci-s-bardejov-3-nsp-sv.-jakuba-n.o.-bardejov.html?page_id=132820, Rýchla zdravotná pomoc „S“,Prešovský,Bardejov
"Ambulancia rýchlej lekárskej pomoci, Bardejov 1, (NsP Sv. Jakuba, n.o., Bardejov)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-rychlej-lekarskej-pomoci-bardejov-1-nsp-sv.-jakuba-n.o.-bardejov.html?page_id=132733, Rýchla lekárska pomoc,Prešovský,Bardejov
"Ambulancia rýchlej zdravotnej pomoci, Raslavice, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-rychlej-zdravotnej-pomoci-raslavice-lse-life-star-emergency.html?page_id=132732, Rýchla zdravotná pomoc,Prešovský,Bardejov
"Endokrinologická ambulancia, Bardejov, (REMEDIUM, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/endokrinologicka-ambulancia-bardejov-remedium.html?page_id=132535, Endokrinológia,Prešovský,Bardejov
"Jednodňová zdravotná starostlivosť, chirurgia, Bardejov, (REMEDIUM, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/jednodnova-zdravotna-starostlivost-chirurgia-bardejov-remedium.html?page_id=131640, Chirurgia,Prešovský,Bardejov
"Chirurgická ambulancia, Bardejov, (REMEDIUM, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/chirurgicka-ambulancia-bardejov-remedium.html?page_id=131639, Chirurgia,Prešovský,Bardejov
"Ambulancia diabetológie a porúch látkovej premeny a výživy, Bardejov, (NsP Sv. Jakuba, n.o., Bardejov)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-bardejov-nsp-sv.-jakuba-n.o.-bardejov.html?page_id=131544," Diabetológia, poruchy látkovej premeny a výživy",Prešovský,Bardejov
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Bardejov, (REMEDIUM, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-bardejov-remedium.html?page_id=131187," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Bardejov
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Bardejov, (REMEDIUM, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-bardejov-remedium.html?page_id=131185," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Bardejov
"Otorinolaryngologická ambulancia, Bardejov, (REMEDIUM, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/otorinolaryngologicka-ambulancia-bardejov-remedium.html?page_id=131186, Otorinolaryngológia,Prešovský,Bardejov
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Bardejov, (MUZMED s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-bardejov-muzmed.html?page_id=130722," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Bardejov
"Geriatrická ambulancia, MUDr. Sylvia Divulitová, Bardejov, (ALIAN, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/geriatricka-ambulancia-mudr.-sylvia-divulitova-bardejov-alian.html?page_id=130002, Geriatria,Prešovský,Bardejov
"Ambulancia zubného lekárstva, Bardejov, (JANAJ s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-zubneho-lekarstva-bardejov-janaj.html?page_id=129411, Zubné lekárstvo,Prešovský,Bardejov
"Všeobecná ambulancia pre dospelých, Bardejov, (ALIAN, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/vseobecna-ambulancia-pre-dospelych-bardejov-alian.html?page_id=128562,!,Prešovský,Bardejov
"Jednodňová zdravotná starostlivosť, plastická chirurgia, Bardejov, (REMEDIUM, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/jednodnova-zdravotna-starostlivost-plasticka-chirurgia-bardejov-remedium.html?page_id=128148, Plastická chirurgia,Prešovský,Bardejov
"Všeobecná ambulancia pre dospelých, Gaboltov, (MEDIKAL PLUS, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/vseobecna-ambulancia-pre-dospelych-gaboltov-medikal-plus.html?page_id=126268, Všeobecné lekárstvo,Prešovský,Bardejov
"SVaLZ, klinická biochémia, Bardejov, (Laboratóriá SVaLZ)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/svalz-klinicka-biochemia-bardejov-laboratoria-svalz.html?page_id=125624, Klinická biochémia,Prešovský,Bardejov
"Ambulancia zubného lekárstva, Bardejov, (SpaDental, s.r.o.,)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-zubneho-lekarstva-bardejov-spadental.html?page_id=125584," Zubné lekárstvo, Stomatológia",Prešovský,Bardejov
"Mobilný hospic, Bardejov, (Arcidiecézna charita Košice)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/mobilny-hospic-bardejov-arcidiecezna-charita-kosice.html?page_id=125583, Domáca hospicová starostlivosť,Prešovský,Bardejov
"ADOS, Pri štadióne, Bardejov, (Arcidiecézna charita Košice)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ados-pri-stadione-bardejov-arcidiecezna-charita-kosice.html?page_id=125582, Domáca ošetrovateľská starostlivosť,Prešovský,Bardejov
"Ambulancia diabetológie a porúch látkovej premeny a výživy, MUDr. Estere Lisá, Bardejov, (DIAMAX, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-mudr.-estere-lisa-bardejov-diamax.html?page_id=125396," Diabetológia, poruchy látkovej premeny a výživy",Prešovský,Bardejov
"Dermatovenerologická ambulancia, Bardejov, (Maxderm, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/dermatovenerologicka-ambulancia-bardejov-maxderm.html?page_id=124316, Dermatovenerológia,Prešovský,Bardejov
"Ambulancia vnútorného lekárstva, Bardejov, (NsP Sv. Jakuba, n.o., Bardejov)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bardejov/ambulancia-vnutorneho-lekarstva-bardejov-nsp-sv.-jakuba-n.o.-bardejov-1.html?page_id=123169, Vnútorné lekárstvo,Prešovský,Bardejov
