title,doctor_url,specialization,kraj,okres
"Otorinolaryngologická ambulancia, Humenné, (ORL-M.S., s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/otorinolaryngologicka-ambulancia-humenne-orl-m.s.-s.-r.-o..html?page_id=143359, Foniatria,Prešovský,Humenné
"Ambulancia zubného lekárstva, Humenné, (ZUZADENT s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/ambulancia-zubneho-lekarstva-humenne-zuzadent-s.-r.-o..html?page_id=143238, Zubné lekárstvo,Prešovský,Humenné
"ADOS, Papín, (Mgr. Marta Fedáková)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/ados-papin-mgr.-marta-fedakova.html?page_id=142684, Domáca ošetrovateľská starostlivosť,Prešovský,Humenné
"SVaLZ, fyzioterapia, Humenné, (Mgr. Petronela Čisľáková)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/svalz-fyzioterapia-humenne-mgr.-petronela-cislakova.html?page_id=142481, Fyzioterapia,Prešovský,Humenné
"Chirurgická ambulancia, Humenné, (Chirurg Clinic, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/chirurgicka-ambulancia-humenne-chirurg-clinic.html?page_id=141757, Chirurgia,Prešovský,Humenné
"Jednodňová zdravotná starostlivosť, ortopédia, Humenné, (ORL HUMENNÉ)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/jednodnova-zdravotna-starostlivost-ortopedia-humenne-orl-humenne.html?page_id=140720, Ortopédia,Prešovský,Humenné
"Jednodňová zdravotná starostlivosť, urológia, Humenné, (ORL HUMENNÉ)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/jednodnova-zdravotna-starostlivost-urologia-humenne-orl-humenne.html?page_id=140483, Urológia,Prešovský,Humenné
"Dermatovenerologická ambulancia, MUDr. Erika Prunyiová, Humenné, (Nemocnica A. Leňa Humenné, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/dermatovenerologicka-ambulancia-mudr.-erika-prunyiova-humenne-nemocnica-a.-lena-humenne-a.s..html?page_id=140124, Dermatovenerológia,Prešovský,Humenné
"MUDr. Pavol Urbán - ambulancia vnútorného lekárstva, Humenné, (MUDr. Pavol Urbán)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/mudr.-pavol-urban-ambulancia-vnutorneho-lekarstva-humenne-mudr.-pavol-urban.html?page_id=135820, Vnútorné lekárstvo,Prešovský,Humenné
"Všeobecná ambulancia pre dospelých, Humenné, (GAB MED, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/vseobecna-ambulancia-pre-dospelych-humenne-gab-med-s.-r.-o..html?page_id=135818, Všeobecné lekárstvo,Prešovský,Humenné
"Ambulancia rýchlej zdravotnej pomoci, Humenné 2, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/ambulancia-rychlej-zdravotnej-pomoci-humenne-2-lse-life-star-emergency.html?page_id=134937, Rýchla zdravotná pomoc,Prešovský,Humenné
"Gastroenterologická ambulancia, Humenné, (OCIAN, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/gastroenterologicka-ambulancia-humenne-ocian.html?page_id=134897, Gastroenterológia,Prešovský,Humenné
"Urologická ambulancia, Humenné, (MediKus Humenné II, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/urologicka-ambulancia-humenne-medikus-humenne-ii.html?page_id=134896, Urológia,Prešovský,Humenné
"Ambulancia rýchlej lekárskej pomoci, Humenné 1, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/ambulancia-rychlej-lekarskej-pomoci-humenne-1-lse-life-star-emergency.html?page_id=133083, Rýchla lekárska pomoc,Prešovský,Humenné
"Ambulancia rýchlej zdravotnej pomoci, Koškovce, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/ambulancia-rychlej-zdravotnej-pomoci-koskovce-lse-life-star-emergency.html?page_id=133077, Rýchla zdravotná pomoc,Prešovský,Humenné
"Dispečing dopravnej zdravotnej služby, Humenné, (JP-SANICAR s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/dispecing-dopravnej-zdravotnej-sluzby-humenne-jp-sanicar.html?page_id=132614,,Prešovský,Humenné
"Pneumologicko-ftizeologická ambulancia, Humenné, (REUMACARE)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/pneumologicko-ftizeologicka-ambulancia-humenne-reumacare.html?page_id=132468, Pneumológia a ftizeológia,Prešovský,Humenné
"Ortopedická ambulancia, Humenné, (OrthoStabil s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/ortopedicka-ambulancia-humenne-orthostabil.html?page_id=132163," Ortopédia, Pediatrická ortopédia",Prešovský,Humenné
"Všeobecná ambulancia pre dospelých, Humenné, (MED-AID, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/vseobecna-ambulancia-pre-dospelych-humenne-med-aid.html?page_id=129751, Všeobecné lekárstvo,Prešovský,Humenné
"Všeobecná ambulancia pre dospelých, MUDr. Katarína Cukrovaná, Humenné, (Nemocnica A. Leňa Humenné, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/vseobecna-ambulancia-pre-dospelych-mudr.-katarina-cukrovana-humenne-nemocnica-a.-lena-humenne-a.s..html?page_id=129417, Všeobecné lekárstvo,Prešovský,Humenné
"Ambulancia zubného lekárstva, MDDr. Viktor Macko, MPH, MBA, MHA, Humenné, (Avident s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/ambulancia-zubneho-lekarstva-mddr.-viktor-macko-mph-mba-mha-humenne-avident.html?page_id=129408, Zubné lekárstvo,Prešovský,Humenné
"Všeobecná ambulancia pre deti a dorast, Humenné, (KAM-DET, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/vseobecna-ambulancia-pre-deti-a-dorast-humenne-kam-det.html?page_id=128514, Všeobecná starostlivosť o deti a dorast,Prešovský,Humenné
"Všeobecná ambulancia pre dospelých, Humenné, (MEDSPRO)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/vseobecna-ambulancia-pre-dospelych-humenne-medspro.html?page_id=126807, Všeobecné lekárstvo,Prešovský,Humenné
"Stacionár, neurológia, Humenné, (NEUROCIA, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/stacionar-neurologia-humenne-neurocia.html?page_id=126666, Neurológia,Prešovský,Humenné
"Mobilný hospic, Humenné, (Ošetrovateľské centrum, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/mobilny-hospic-humenne-osetrovatelske-centrum.html?page_id=126515, Domáca hospicová starostlivosť,Prešovský,Humenné
"ADOS, Lipová, Humenné, (Ošetrovateľské centrum, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/humenne/ados-lipova-humenne-osetrovatelske-centrum.html?page_id=126514, Domáca ošetrovateľská starostlivosť,Prešovský,Humenné
