title,doctor_url,specialization,kraj,okres
"Pediatrická ambulancia, Kežmarok, (Nemocnica Dr.Vojtecha Alexandra v Kežmarku n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/pediatricka-ambulancia-kezmarok-nemocnica-dr.vojtecha-alexandra-v-kezmarku-n.o.-3.html?page_id=143299, Neonatológia,Prešovský,Kežmarok
"Ambulancia vnútorného lekárstva, Kežmarok, (Nemocnica Dr.Vojtecha Alexandra v Kežmarku n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-vnutorneho-lekarstva-kezmarok-nemocnica-dr.vojtecha-alexandra-v-kezmarku-n.o.-2.html?page_id=143297, Vnútorné lekárstvo,Prešovský,Kežmarok
"Pediatrická ambulancia, Kežmarok, (Nemocnica Dr.Vojtecha Alexandra v Kežmarku n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/pediatricka-ambulancia-kezmarok-nemocnica-dr.vojtecha-alexandra-v-kezmarku-n.o.-2.html?page_id=143298, Pediatria,Prešovský,Kežmarok
"Neurologická ambulancia IV., Spišská Stará Ves, (Ľubovnianska nemocnica, n. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/neurologicka-ambulancia-iv.-spisska-stara-ves-lubovnianska-nemocnica-n.-o..html?page_id=142620, Neurológia,Prešovský,Kežmarok
"Ambulancia vnútorného lekárstva III., Spišská Stará Ves, (Ľubovnianska nemocnica, n. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-vnutorneho-lekarstva-iii.-spisska-stara-ves-lubovnianska-nemocnica-n.-o..html?page_id=142619, Vnútorné lekárstvo,Prešovský,Kežmarok
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Kežmarok, (Nemocnica Dr.Vojtecha Alexandra v Kežmarku n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-kezmarok-nemocnica-dr.vojtecha-alexandra-v-kezmarku-n.o..html?page_id=142472," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Kežmarok
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Kežmarok, (Nemocnica Dr.Vojtecha Alexandra v Kežmarku n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-kezmarok-nemocnica-dr.vojtecha-alexandra-v-kezmarku-n.o.-1.html?page_id=142466," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Kežmarok
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Kežmarok, (Nemocnica Dr.Vojtecha Alexandra v Kežmarku n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-kezmarok-nemocnica-dr.vojtecha-alexandra-v-kezmarku-n.o..html?page_id=142465," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Kežmarok
"Ortopedická ambulancia, Kežmarok, (PP-ORTO, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ortopedicka-ambulancia-kezmarok-pp-orto-s.-r.-o..html?page_id=142163, Ortopédia,Prešovský,Kežmarok
"Psychiatrická ambulancia, Kežmarok, (MUDr. Anna Uhrová)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/psychiatricka-ambulancia-kezmarok-mudr.-anna-uhrova.html?page_id=141977, Psychiatria,Prešovský,Kežmarok
"SVaLZ, fyzioterapia, Kežmarok, (Mgr. Václav Zubaj)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/svalz-fyzioterapia-kezmarok-mgr.-vaclav-zubaj.html?page_id=141975, Fyzioterapia,Prešovský,Kežmarok
"Všeobecná ambulancia pre dospelých, Lendak, (MUDr. Ján Krzysik, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/vseobecna-ambulancia-pre-dospelych-lendak-mudr.-jan-krzysik-s.-r.-o..html?page_id=141964, Všeobecné lekárstvo,Prešovský,Kežmarok
"Psychiatrická ambulancia, Kežmarok, (PSYCH - Health s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/psychiatricka-ambulancia-kezmarok-psych-health-s.-r.-o..html?page_id=135769, Psychiatria,Prešovský,Kežmarok
"Jednodňová zdravotná starostlivosť, gastroenterológia, Kežmarok, (Nemocnica Dr.Vojtecha Alexandra v Kežmarku n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/jednodnova-zdravotna-starostlivost-gastroenterologia-kezmarok-nemocnica-dr.vojtecha-alexandra-v-kezmarku-n.o..html?page_id=135664, Gastroenterológia,Prešovský,Kežmarok
"Gastroenterologická ambulancia, Kežmarok, (Nemocnica Dr.Vojtecha Alexandra v Kežmarku n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/gastroenterologicka-ambulancia-kezmarok-nemocnica-dr.vojtecha-alexandra-v-kezmarku-n.o..html?page_id=135663, Gastroenterológia,Prešovský,Kežmarok
"Všeobecná ambulancia pre dospelých, Vrbov, (MEDSIL s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/vseobecna-ambulancia-pre-dospelych-vrbov-medsil-s.-r.-o..html?page_id=133168, Všeobecné lekárstvo,Prešovský,Kežmarok
"Všeobecná ambulancia pre dospelých, Kežmarok, (Anevita  s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/vseobecna-ambulancia-pre-dospelych-kezmarok-anevita.html?page_id=132815, Všeobecné lekárstvo,Prešovský,Kežmarok
"Ambulancia rýchlej zdravotnej pomoci, Spišská Stará Ves, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-rychlej-zdravotnej-pomoci-spisska-stara-ves-lse-life-star-emergency.html?page_id=132629, Rýchla zdravotná pomoc,Prešovský,Kežmarok
"Ambulancia rýchlej zdravotnej pomoci, Spišská Belá, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-rychlej-zdravotnej-pomoci-spisska-bela-lse-life-star-emergency.html?page_id=132630, Rýchla zdravotná pomoc,Prešovský,Kežmarok
"Ambulancia rýchlej lekárskej pomoci, Kežmarok, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-rychlej-lekarskej-pomoci-kezmarok-lse-life-star-emergency.html?page_id=132632, Rýchla lekárska pomoc,Prešovský,Kežmarok
"Dispečing dopravnej zdravotnej služby, Kežmarok, (AGEL Clinic s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/dispecing-dopravnej-zdravotnej-sluzby-kezmarok-agel-clinic-s.-r.-o..html?page_id=132572,,Prešovský,Kežmarok
"B. Braun Avitum s.r.o., Spišská Stará Ves, (B. Braun Avitum, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/b.-braun-avitum-spisska-stara-ves-b.-braun-avitum.html?page_id=131086, Nefrológia,Prešovský,Kežmarok
"Všeobecná ambulancia pre dospelých, Spišská Belá, (SIMEDI s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/vseobecna-ambulancia-pre-dospelych-spisska-bela-simedi.html?page_id=130823, Všeobecné lekárstvo,Prešovský,Kežmarok
"Ambulancia zubného lekárstva, Spišská Belá, (DENTALIVE,s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-zubneho-lekarstva-spisska-bela-dentalive.html?page_id=130758, Zubné lekárstvo,Prešovský,Kežmarok
"Ambulancia zubného lekárstva, Kežmarok, (Paudent, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-zubneho-lekarstva-kezmarok-paudent.html?page_id=129693, Zubné lekárstvo,Prešovský,Kežmarok
"Ambulancia zubného lekárstva, Kežmarok, (ZUBČEKOVO, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-zubneho-lekarstva-kezmarok-zubcekovo.html?page_id=129638, Zubné lekárstvo,Prešovský,Kežmarok
"SVaLZ, hematológia a transfuziológia, Kežmarok, (Nemocnica AGEL Levoča a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/svalz-hematologia-a-transfuziologia-kezmarok-nemocnica-agel-levoca-a.s..html?page_id=129572, Hematológia a transfuziológia,Prešovský,Kežmarok
"SVaLZ, klinická biochémia, Kežmarok, (Nemocnica AGEL Levoča a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/svalz-klinicka-biochemia-kezmarok-nemocnica-agel-levoca-a.s..html?page_id=129571, Klinická biochémia,Prešovský,Kežmarok
"Ambulancia zubného lekárstva, Lendak, (Dentema s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-zubneho-lekarstva-lendak-dentema.html?page_id=127593, Zubné lekárstvo,Prešovský,Kežmarok
"B. Braun Avitum s.r.o., Kežmarok, (B. Braun Avitum, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/b.-braun-avitum-kezmarok-b.-braun-avitum-1.html?page_id=126149, Nefrológia,Prešovský,Kežmarok
"B. Braun Avitum s.r.o., Kežmarok, (B. Braun Avitum, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/b.-braun-avitum-kezmarok-b.-braun-avitum.html?page_id=126148, Nefrológia,Prešovský,Kežmarok
"Ambulancia zubného lekárstva, MDDr. Oleksandra Rohach, Kežmarok, (Dens KK, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-zubneho-lekarstva-mddr.-oleksandra-rohach-kezmarok-dens-kk-s.-r.-o..html?page_id=125723, Zubné lekárstvo,Prešovský,Kežmarok
"Mobilný hospic, Kežmarok, (Spišská katolícka charita)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/mobilny-hospic-kezmarok-spisska-katolicka-charita.html?page_id=125686, Domáca hospicová starostlivosť,Prešovský,Kežmarok
"Ambulancia klinickej psychológie, Kežmarok, (ProPeople consulting, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/kezmarok/ambulancia-klinickej-psychologie-kezmarok-propeople-consulting.html?page_id=124109," Klinická psychológia, Dopravná psychológia",Prešovský,Kežmarok
