title,doctor_url,specialization,kraj,okres
"Ortopedická ambulancia, Levoča, (Nemocnica AGEL Levoča a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levoca/ortopedicka-ambulancia-levoca-nemocnica-agel-levoca-a.s..html?page_id=142161, Ortopédia,Prešovský,Levoča
"Jednodňová zdravotná starostlivosť, ortopédia, Levoča, (Nemocnica AGEL Levoča a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levoca/jednodnova-zdravotna-starostlivost-ortopedia-levoca-nemocnica-agel-levoca-a.s..html?page_id=140793, Ortopédia,Prešovský,Levoča
"Jednodňová zdravotná starostlivosť, úrazová chirurgia, Levoča, (Nemocnica AGEL Levoča a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levoca/jednodnova-zdravotna-starostlivost-urazova-chirurgia-levoca-nemocnica-agel-levoca-a.s..html?page_id=140792, úrazová chirurgia,Prešovský,Levoča
"Kardiologická ambulancia, MUDr. Katarína Gorbárová, Levoča, (KardioLEV s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levoca/kardiologicka-ambulancia-mudr.-katarina-gorbarova-levoca-kardiolev-s.-r.-o..html?page_id=139613, Kardiológia,Prešovský,Levoča
"Ambulancia zubného lekárstva, Levoča, (SCHWIRIAN, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levoca/ambulancia-zubneho-lekarstva-levoca-schwirian-s.-r.-o..html?page_id=139289, Zubné lekárstvo,Prešovský,Levoča
"Detská ambulancia MUDr. Mária Slugeňová, s.r.o., Levoča, (Detská ambulancia, MUDr. Mária Slugeňová, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levoca/detska-ambulancia-mudr.-maria-slugenova-levoca-detska-ambulancia-mudr.-maria-slugenova.html?page_id=135617, Všeobecná starostlivosť o deti a dorast,Prešovský,Levoča
"Všeobecná ambulancia pre deti a dorast, Levoča, (BabyRemedium s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levoca/vseobecna-ambulancia-pre-deti-a-dorast-levoca-babyremedium.html?page_id=135488, Všeobecná starostlivosť o deti a dorast,Prešovský,Levoča
"Všeobecná ambulancia pre deti a dorast, Spišské Podhradie, (BabyRemedium s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levoca/vseobecna-ambulancia-pre-deti-a-dorast-spisske-podhradie-babyremedium.html?page_id=135489, Všeobecná starostlivosť o deti a dorast,Prešovský,Levoča
"Stacionár, neurológia, Levoča, (Nemocnica AGEL Levoča a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levoca/stacionar-neurologia-levoca-nemocnica-agel-levoca-a.s..html?page_id=135420, Neurológia,Prešovský,Levoča
"Ambulancia rýchlej zdravotnej pomoci, Levoča 1, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levoca/ambulancia-rychlej-zdravotnej-pomoci-levoca-1-lse-life-star-emergency.html?page_id=134707, Rýchla zdravotná pomoc,Prešovský,Levoča
"Ambulancia rýchlej zdravotnej pomoci, Levoča 2, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/levoca/ambulancia-rychlej-zdravotnej-pomoci-levoca-2-lse-life-star-emergency.html?page_id=134708, Rýchla zdravotná pomoc,Prešovský,Levoča
