title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, Medzilaborce, (Mesto Medzilaborce)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/medzilaborce/vseobecna-ambulancia-pre-dospelych-medzilaborce-mesto-medzilaborce.html?page_id=143141, Všeobecné lekárstvo,Prešovský,Medzilaborce
"Ortopedická ambulancia, Medzilaborce, (SINORTHO, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/medzilaborce/ortopedicka-ambulancia-medzilaborce-sinortho.html?page_id=141866, Ortopédia,Prešovský,Medzilaborce
"SVaLZ, sonografia, Medzilaborce, (Mesto Medzilaborce)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/medzilaborce/svalz-sonografia-medzilaborce-mesto-medzilaborce.html?page_id=140455, Sonografia,Prešovský,Medzilaborce
"SVaLZ, rádiológia, Medzilaborce, (Mesto Medzilaborce)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/medzilaborce/svalz-radiologia-medzilaborce-mesto-medzilaborce.html?page_id=135492, Rádiológia,Prešovský,Medzilaborce
"Ambulancia rýchlej lekárskej pomoci, Medzilaborce, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/medzilaborce/ambulancia-rychlej-lekarskej-pomoci-medzilaborce-lse-life-star-emergency.html?page_id=133081, Rýchla lekárska pomoc,Prešovský,Medzilaborce
"Špecializovaná ambulancia, zubné lekárstvo, Medzilaborce, (Dental ML s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/medzilaborce/specializovana-ambulancia-zubne-lekarstvo-medzilaborce-dental-ml-s.-r.-o..html?page_id=132186, Zubné lekárstvo,Prešovský,Medzilaborce
"Gastroenterologická ambulancia, Medzilaborce, (GITCARE s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/medzilaborce/gastroenterologicka-ambulancia-medzilaborce-gitcare.html?page_id=130127, Gastroenterológia,Prešovský,Medzilaborce
"Oftalmologická ambulancia, Medzilaborce, (KATOS MED s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/medzilaborce/oftalmologicka-ambulancia-medzilaborce-katos-med.html?page_id=125675, Oftalmológia,Prešovský,Medzilaborce
"Nefrologická ambulancia, Medzilaborce, (FMC - dialyzačné služby, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/medzilaborce/nefrologicka-ambulancia-medzilaborce-fmc-dialyzacne-sluzby-s.-r.-o..html?page_id=121304, Nefrológia,Prešovský,Medzilaborce
"Neurologická ambulancia, Medzilaborce, (VIVALEK, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/medzilaborce/neurologicka-ambulancia-medzilaborce-vivalek.html?page_id=104785, Neurológia,Prešovský,Medzilaborce
