title,doctor_url,specialization,kraj,okres
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Svit, (Mediflex s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-svit-mediflex.html?page_id=143439," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Poprad
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Svit, (Mediflex s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-svit-mediflex.html?page_id=143440," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Poprad
"Ortopedická ambulancia, Poprad, (Klinika Podháj s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ortopedicka-ambulancia-poprad-klinika-podhaj-s.-r.-o..html?page_id=143402, Ortopédia,Prešovský,Poprad
"Všeobecná ambulancia pre deti a dorast, Poprad, (Prevemed s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/vseobecna-ambulancia-pre-deti-a-dorast-poprad-prevemed-s.-r.-o..html?page_id=143081, Pediatria,Prešovský,Poprad
"Všeobecná ambulancia pre deti a dorast, Švábovce, (Prevemed s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/vseobecna-ambulancia-pre-deti-a-dorast-svabovce-prevemed-s.-r.-o..html?page_id=143082, Pediatria,Prešovský,Poprad
"Gynekologická ambulancia, Štrba, (BrenCare, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/gynekologicka-ambulancia-strba-brencare-s.-r.-o.-1.html?page_id=142757, Gynekologická urológia,Prešovský,Poprad
"Gynekologická ambulancia, Štrba, (BrenCare, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/gynekologicka-ambulancia-strba-brencare-s.-r.-o..html?page_id=142756, Gynekológia a pôrodníctvo,Prešovský,Poprad
"Všeobecná ambulancia pre deti a dorast, Poprad, (NEFRON, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/vseobecna-ambulancia-pre-deti-a-dorast-poprad-nefron-s.-r.-o..html?page_id=142662, Pediatria,Prešovský,Poprad
"Ambulancia plastickej chirurgie, Vysoké Tatry, (Esthea s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-plastickej-chirurgie-vysoke-tatry-esthea-s.-r.-o..html?page_id=142462, Plastická chirurgia,Prešovský,Poprad
"Ambulancia pracovného lekárstva, Poprad, (TeamPrevent Santé s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-pracovneho-lekarstva-poprad-teamprevent-sante-s.-r.-o..html?page_id=142423, Pracovné lekárstvo,Prešovský,Poprad
"Všeobecná ambulancia pre dospelých, Poprad, (Nemocnica Poprad, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/vseobecna-ambulancia-pre-dospelych-poprad-nemocnica-poprad-a.s.-1.html?page_id=142361, Všeobecné lekárstvo,Prešovský,Poprad
"Ambulancia klinickej imunológie a alergológie, Poprad, (Nemocnica Poprad, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-klinickej-imunologie-a-alergologie-poprad-nemocnica-poprad-a.s.-1.html?page_id=142360, Klinická imunológia a alergológia,Prešovský,Poprad
"Všeobecná ambulancia pre deti a dorast, Poprad, (Ambulancia SOVIČKA, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/vseobecna-ambulancia-pre-deti-a-dorast-poprad-ambulancia-sovicka-s.-r.-o..html?page_id=142263, Pediatria,Prešovský,Poprad
"SVaLZ, sonografia, Vysoké Tatry, (Nemocnica Poprad, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/svalz-sonografia-vysoke-tatry-nemocnica-poprad-a.s..html?page_id=142192, Sonografia,Prešovský,Poprad
"SVaLZ, rádiológia, Vysoké Tatry, (Nemocnica Poprad, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/svalz-radiologia-vysoke-tatry-nemocnica-poprad-a.s..html?page_id=142191, Rádiológia,Prešovský,Poprad
"Ortopedická ambulancia, Vysoké Tatry, (Nemocnica Poprad, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ortopedicka-ambulancia-vysoke-tatry-nemocnica-poprad-a.s..html?page_id=142190, Ortopédia,Prešovský,Poprad
"Neurologická ambulancia, Vysoké Tatry, (Nemocnica Poprad, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/neurologicka-ambulancia-vysoke-tatry-nemocnica-poprad-a.s..html?page_id=142189, Neurológia,Prešovský,Poprad
"Endokrinologická ambulancia, Poprad, (Nemocnica Poprad, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/endokrinologicka-ambulancia-poprad-nemocnica-poprad-a.s..html?page_id=142188, Endokrinológia,Prešovský,Poprad
"Ambulancia zubného lekárstva, Poprad, (Dental group, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-zubneho-lekarstva-poprad-dental-group-2.html?page_id=142165, Zubné lekárstvo,Prešovský,Poprad
"Všeobecná ambulancia pre dospelých, Poprad, (Nemocnica Poprad, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/vseobecna-ambulancia-pre-dospelych-poprad-nemocnica-poprad-a.s..html?page_id=142009, Všeobecné lekárstvo,Prešovský,Poprad
"Ambulancia dentálnej hygieny, Poprad, (Bc. Petra Warholová)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-dentalnej-hygieny-poprad-bc.-petra-warholova.html?page_id=141991, Dentálna hygiena,Prešovský,Poprad
"Gynekologická ambulancia, Poprad, (Tatra Gyn, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/gynekologicka-ambulancia-poprad-tatra-gyn-1.html?page_id=141850, Gynekológia a pôrodníctvo,Prešovský,Poprad
"Ambulancia zubného lekárstva, MDDr. Petr Nevtípil, Poprad, (Benedent s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-zubneho-lekarstva-mddr.-petr-nevtipil-poprad-benedent.html?page_id=141648, Zubné lekárstvo,Prešovský,Poprad
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Vysoké Tatry, (Mediflex s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-vysoke-tatry-mediflex.html?page_id=141632," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Poprad
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Vysoké Tatry, (Mediflex s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-vysoke-tatry-mediflex.html?page_id=141633," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Poprad
"Jednodňová zdravotná starostlivosť, oftalmológia, Poprad, (Očná klinika Kulanga s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/jednodnova-zdravotna-starostlivost-oftalmologia-poprad-ocna-klinika-kulanga-s.-r.-o..html?page_id=141542, Oftalmológia,Prešovský,Poprad
"Jednodňová zdravotná starostlivosť, pediatrická urológia, Vysoké Tatry, (Národný  ústav detskej  tuberkulózy a respiračných chorôb, n.o. Dolný Smokovec)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/jednodnova-zdravotna-starostlivost-pediatricka-urologia-vysoke-tatry-narodny-ustav-detskej-tuberkulozy-a-respiracnych-chorob-n.o.-dolny-smokovec.html?page_id=141408, Pediatrická urológia,Prešovský,Poprad
"Ambulancia pediatrickej gastroenterológie, hepatológie a výživy, Vysoké Tatry, (Národný  ústav detskej  tuberkulózy a respiračných chorôb, n.o. Dolný Smokovec)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-pediatrickej-gastroenterologie-hepatologie-a-vyzivy-vysoke-tatry-narodny-ustav-detskej-tuberkulozy-a-respiracnych-chorob-n.o.-dolny-smokovec.html?page_id=141407," Pediatrická gastroenterológia, hepatológia a výživa",Prešovský,Poprad
"Všeobecná ambulancia pre dospelých, Švábovce, (STADARON s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/vseobecna-ambulancia-pre-dospelych-svabovce-stadaron-s.-r.-o..html?page_id=140857, Všeobecné lekárstvo,Prešovský,Poprad
"Ambulancia dentálnej hygieny, Poprad, (Linea Dent, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-dentalnej-hygieny-poprad-linea-dent.html?page_id=140676, Dentálna hygiena,Prešovský,Poprad
"Ambulancia zubného lekárstva, Poprad, (Linea Dent, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-zubneho-lekarstva-poprad-linea-dent-1.html?page_id=140677, Zubné lekárstvo,Prešovský,Poprad
"ADOS, Teplická, Poprad, (ADOS POPRAD, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ados-teplicka-poprad-ados-poprad.html?page_id=140276, Domáca ošetrovateľská starostlivosť,Prešovský,Poprad
"Všeobecná ambulancia pre deti a dorast, Poprad, (MUDr. Michaela Mikulová)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/vseobecna-ambulancia-pre-deti-a-dorast-poprad-mudr.-michaela-mikulova.html?page_id=139711," Pediatria, Všeobecná starostlivosť o deti a dorast",Prešovský,Poprad
"Ambulancia zubného lekárstva, Poprad, (Pohanková Dagmar MUDr., s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-zubneho-lekarstva-poprad-pohankova-dagmar-mudr..html?page_id=136500, Zubné lekárstvo,Prešovský,Poprad
"Ambulancia dentálnej hygieny, Poprad, (Bc. Katarína Bizoňová)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-dentalnej-hygieny-poprad-bc.-katarina-bizonova.html?page_id=135844, Dentálna hygiena,Prešovský,Poprad
"Ambulancia diabetológie a porúch látkovej premeny a výživy, Poprad, (DENTAVIA s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-poprad-dentavia.html?page_id=135722," Diabetológia, poruchy látkovej premeny a výživy",Prešovský,Poprad
"Všeobecná ambulancia pre dospelých, Andrea Slodičáková, Ždiar, (PractiCARE, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/vseobecna-ambulancia-pre-dospelych-andrea-slodicakova-zdiar-practicare.html?page_id=135595, Všeobecné lekárstvo,Prešovský,Poprad
"Ambulancia zubného lekárstva, Svit, (ZUBCHECK s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/poprad/ambulancia-zubneho-lekarstva-svit-zubcheck-s.-r.-o..html?page_id=135233, Zubné lekárstvo,Prešovský,Poprad
