title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, Prešov, (wesper, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/vseobecna-ambulancia-pre-dospelych-presov-wesper-a.s.-1.html?page_id=143731,!,Prešovský,Prešov
"Otorinolaryngologická ambulancia, Prešov, (MediHead s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/otorinolaryngologicka-ambulancia-presov-medihead.html?page_id=143482, Otorinolaryngológia,Prešovský,Prešov
"Ambulancia pracovného lekárstva, Prešov, (TeamPrevent Santé s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/ambulancia-pracovneho-lekarstva-presov-teamprevent-sante-s.-r.-o..html?page_id=143466, Pracovné lekárstvo,Prešovský,Prešov
"Gynekologická ambulancia, Kapušany, (Poliklinika Giraltovce ILB, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/gynekologicka-ambulancia-kapusany-poliklinika-giraltovce-ilb.html?page_id=143441, Gynekológia a pôrodníctvo,Prešovský,Prešov
"SVaLZ, klinická mikrobiológia, Prešov, (Medikocentrum, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/svalz-klinicka-mikrobiologia-presov-medikocentrum.html?page_id=143313, Klinická mikrobiológia,Prešovský,Prešov
"Ambulancia zubného lekárstva, Prešov, (Ugľaj, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/ambulancia-zubneho-lekarstva-presov-uglaj.html?page_id=143269, Zubné lekárstvo,Prešovský,Prešov
"Stacionár, vnútorné lekárstvo, Prešov, (Prvá pomoc, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/stacionar-vnutorne-lekarstvo-presov-prva-pomoc.html?page_id=143167, Vnútorné lekárstvo,Prešovský,Prešov
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Prešov, (Biosana, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-presov-biosana-2.html?page_id=142755," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Prešov
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Prešov, (Biosana, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-presov-biosana-2.html?page_id=142539," Fyziatria, balneológia a liečebná rehabilitácia, Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Prešov
"Špecializovaná ambulancia, úrazová chirurgia, Prešov, (BEES MEDICAL s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/specializovana-ambulancia-urazova-chirurgia-presov-bees-medical.html?page_id=142524, úrazová chirurgia,Prešovský,Prešov
"Ambulancia zubného lekárstva, Prešov, (Jarková Dent s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/ambulancia-zubneho-lekarstva-presov-jarkova-dent-s.-r.-o..html?page_id=142464, Zubné lekárstvo,Prešovský,Prešov
"Jednodňová zdravotná starostlivosť, úrazová chirurgia, Prešov, (BEES MEDICAL s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/jednodnova-zdravotna-starostlivost-urazova-chirurgia-presov-bees-medical.html?page_id=142295, úrazová chirurgia,Prešovský,Prešov
"Všeobecná ambulancia pre dospelých, Kapušany, (Poliklinika Giraltovce ILB, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/vseobecna-ambulancia-pre-dospelych-kapusany-poliklinika-giraltovce-ilb.html?page_id=142264, Všeobecné lekárstvo,Prešovský,Prešov
"Ambulancia zubného lekárstva, Lemešany, (SIZA DENT s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/ambulancia-zubneho-lekarstva-lemesany-siza-dent-s.-r.-o..html?page_id=142072, Zubné lekárstvo,Prešovský,Prešov
"Všeobecná ambulancia pre dospelých, Kendice, (PETKEMED s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/vseobecna-ambulancia-pre-dospelych-kendice-petkemed.html?page_id=141914, Všeobecné lekárstvo,Prešovský,Prešov
"Všeobecná ambulancia pre dospelých, Petrovany, (PETKEMED s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/vseobecna-ambulancia-pre-dospelych-petrovany-petkemed.html?page_id=141915, Všeobecné lekárstvo,Prešovský,Prešov
"Dermatovenerologická ambulancia, MUDr. Ingrid Drobná (Siváková), Prešov, (wesper, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/dermatovenerologicka-ambulancia-mudr.-ingrid-drobna-sivakova-presov-wesper-a.s..html?page_id=141791, Dermatovenerológia,Prešovský,Prešov
"SVaLZ, fyzioterapia, Prešov, (PRESTIGE FYZIO, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/svalz-fyzioterapia-presov-prestige-fyzio-s.-r.-o..html?page_id=141764, Fyzioterapia,Prešovský,Prešov
"Physio-Medical, Prešov, (Physio-Medical s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/physio-medical-presov-physio-medical-s.-r.-o..html?page_id=141623," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Prešov
"ADOS, Volgogradská, Prešov, (KSPV, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/ados-volgogradska-presov-kspv.html?page_id=141613, Domáca ošetrovateľská starostlivosť,Prešovský,Prešov
"NOVU - MED center, s.r.o., Na rínku, Kapušany, (NOVU - MED center, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/novu-med-center-na-rinku-kapusany-novu-med-center-s.-r.-o..html?page_id=141557, Domáca ošetrovateľská starostlivosť,Prešovský,Prešov
"Ambulancia dentálnej hygieny, Prešov, (Bc. Bibiána Dančová)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/ambulancia-dentalnej-hygieny-presov-bc.-bibiana-dancova.html?page_id=141510, Dentálna hygiena,Prešovský,Prešov
"Všeobecná ambulancia pre dospelých, Prešov, (Praktická ambulancia, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/vseobecna-ambulancia-pre-dospelych-presov-prakticka-ambulancia.html?page_id=141405, Všeobecné lekárstvo,Prešovský,Prešov
"Všeobecná ambulancia pre dospelých, Prešov, (Praktická ambulancia, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/vseobecna-ambulancia-pre-dospelych-presov-prakticka-ambulancia-1.html?page_id=141406, Všeobecné lekárstvo,Prešovský,Prešov
"Hematologická a transfúziologická ambulancia, Prešov, (Unilabs Slovensko, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/hematologicka-a-transfuziologicka-ambulancia-presov-unilabs-slovensko-s.-r.-o..html?page_id=140800, Hematológia a transfuziológia,Prešovský,Prešov
"Všeobecná ambulancia pre dospelých, Chminianska Nová Ves, (MEDMARA, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/vseobecna-ambulancia-pre-dospelych-chminianska-nova-ves-medmara.html?page_id=140776, Všeobecné lekárstvo,Prešovský,Prešov
"Ambulancia dentálnej hygieny, Prešov, (D.B-Dent, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/ambulancia-dentalnej-hygieny-presov-d.b-dent-s.-r.-o..html?page_id=140718, Dentálna hygiena,Prešovský,Prešov
"Ambulancia dentálnej hygieny, Prešov, (Verber s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/ambulancia-dentalnej-hygieny-presov-verber.html?page_id=140685, Dentálna hygiena,Prešovský,Prešov
"Oftalmologická ambulancia, Prešov, (MUDr. Andrej Pribula)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/oftalmologicka-ambulancia-presov-mudr.-andrej-pribula-1.html?page_id=140680, Oftalmológia,Prešovský,Prešov
"Jednodňová zdravotná starostlivosť, oftalmológia, Prešov, (MUDr. Andrej Pribula)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/jednodnova-zdravotna-starostlivost-oftalmologia-presov-mudr.-andrej-pribula.html?page_id=140681, Oftalmológia,Prešovský,Prešov
"Oftalmologická ambulancia, Prešov, (MUDr. Andrej Pribula)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/oftalmologicka-ambulancia-presov-mudr.-andrej-pribula.html?page_id=140679, Oftalmológia,Prešovský,Prešov
"Jednodňová zdravotná starostlivosť, anestéziológia a intenzívna medicína, Ľubotice, (SOFYC Clinic, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/jednodnova-zdravotna-starostlivost-anesteziologia-a-intenzivna-medicina-lubotice-sofyc-clinic.html?page_id=140658, Anestéziológia a intenzívna medicína,Prešovský,Prešov
"Neurologická ambulancia, Prešov, (MINERAL-SLOVAKIA, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/neurologicka-ambulancia-presov-mineral-slovakia.html?page_id=140619, Neurológia,Prešovský,Prešov
"Endokrinologická ambulancia, Prešov, (Fakultná nemocnica s poliklinikou J.A. Reimana Prešov)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/presov/endokrinologicka-ambulancia-presov-fakultna-nemocnica-s-poliklinikou-j.a.-reimana-presov-1.html?page_id=140533, Endokrinológia,Prešovský,Prešov
