title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre deti a dorast, MUDr. Gerová  Renáta, Pečovská Nová Ves, (MEDI-INFANS, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-gerova-renata-pecovska-nova-ves-medi-infans-s.-r.-o..html?page_id=143296, Pediatria,Prešovský,Sabinov
"Covid ambulancia, Sabinov, (Poliklinika Sabinov, n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/covid-ambulancia-sabinov-poliklinika-sabinov-n.o..html?page_id=142742, Vnútorné lekárstvo,Prešovský,Sabinov
"Všeobecná ambulancia pre dospelých, Šarišské Dravce, (MEDIKOPROF s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/vseobecna-ambulancia-pre-dospelych-sarisske-dravce-medikoprof.html?page_id=142068, Všeobecné lekárstvo,Prešovský,Sabinov
"Gynekologická ambulancia, Jarovnice, (Karinea s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/gynekologicka-ambulancia-jarovnice-karinea-s.-r.-o..html?page_id=141802, Gynekológia a pôrodníctvo,Prešovský,Sabinov
"Jednodňová zdravotná starostlivosť, chirurgia, Lipany, (Takmar s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/jednodnova-zdravotna-starostlivost-chirurgia-lipany-takmar.html?page_id=140456, Chirurgia,Prešovský,Sabinov
"Jednodňová zdravotná starostlivosť, úrazová chirurgia, Lipany, (Takmar s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/jednodnova-zdravotna-starostlivost-urazova-chirurgia-lipany-takmar.html?page_id=140457, úrazová chirurgia,Prešovský,Sabinov
"Ambulancia klinickej logopédie, Sabinov, (LOGOKO, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/ambulancia-klinickej-logopedie-sabinov-logoko.html?page_id=140454, Klinická logopédia,Prešovský,Sabinov
"Všeobecná ambulancia pre dospelých, Jarovnice, (MUDr. Magdaléna Kohiová)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/vseobecna-ambulancia-pre-dospelych-jarovnice-mudr.-magdalena-kohiova.html?page_id=139757, Všeobecné lekárstvo,Prešovský,Sabinov
"Ortopedická ambulancia, Lipany, (ORTHON, s.r.o.,)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/ortopedicka-ambulancia-lipany-orthon.html?page_id=139614, Ortopédia,Prešovský,Sabinov
"SVaLZ, fyzioterapia, Lipany, (Bc. Viera Bujňačková)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/svalz-fyzioterapia-lipany-bc.-viera-bujnackova.html?page_id=136968, Fyzioterapia,Prešovský,Sabinov
"ADOS, Hollého, Sabinov, (Femilon s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/ados-holleho-sabinov-femilon-s.-r.-o..html?page_id=135765, Domáca ošetrovateľská starostlivosť,Prešovský,Sabinov
"Ambulancia úrazovej chirurgie, Lipany, (Takmar s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/ambulancia-urazovej-chirurgie-lipany-takmar.html?page_id=135718, úrazová chirurgia,Prešovský,Sabinov
"Chirurgická ambulancia, Lipany, (Takmar s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/chirurgicka-ambulancia-lipany-takmar.html?page_id=135689, Chirurgia,Prešovský,Sabinov
"Hematologická a transfúziologická ambulancia, Sabinov, (Poliklinika Sabinov, n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/hematologicka-a-transfuziologicka-ambulancia-sabinov-poliklinika-sabinov-n.o..html?page_id=135054, Hematológia a transfuziológia,Prešovský,Sabinov
"Ambulancia pediatrickej kardiológie, Sabinov, (Poliklinika Sabinov, n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/sabinov/ambulancia-pediatrickej-kardiologie-sabinov-poliklinika-sabinov-n.o..html?page_id=135053, Pediatrická kardiológia,Prešovský,Sabinov
