title,doctor_url,specialization,kraj,okres
"Otorinolaryngologická ambulancia, Snina, (ORL-M.S., s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/otorinolaryngologicka-ambulancia-snina-orl-m.s.-s.-r.-o..html?page_id=143357, Otorinolaryngológia,Prešovský,Snina
"Otorinolaryngologická ambulancia, Snina, (ORL-M.S., s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/otorinolaryngologicka-ambulancia-snina-orl-m.s.-s.-r.-o.-1.html?page_id=143358, Foniatria,Prešovský,Snina
"Všeobecná ambulancia pre dospelých, Stakčín, (Stakmed s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-dospelych-stakcin-stakmed-s.-r.-o..html?page_id=142074, Všeobecné lekárstvo,Prešovský,Snina
"Všeobecná ambulancia pre dospelých, Ubľa, (MUDr. Alina Piteľ)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-dospelych-ubla-mudr.-alina-pitel.html?page_id=142070, Všeobecné lekárstvo,Prešovský,Snina
"Všeobecná ambulancia pre deti a dorast, Snina, (MEDIRAG, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-deti-a-dorast-snina-medirag-1.html?page_id=141294, Pediatria,Prešovský,Snina
"Kardiologická ambulancia, Snina, (Nemocnica Snina, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/kardiologicka-ambulancia-snina-nemocnica-snina.html?page_id=140794, Kardiológia,Prešovský,Snina
"Neurologická ambulancia, Snina, (VITAL PLUS, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/neurologicka-ambulancia-snina-vital-plus.html?page_id=140759, Neurológia,Prešovský,Snina
"Stacionár, neurológia, Snina, (VITAL PLUS, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/stacionar-neurologia-snina-vital-plus.html?page_id=140760, Neurológia,Prešovský,Snina
"Všeobecná ambulancia pre deti a dorast, Belá nad Cirochou, (EMaPED s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-deti-a-dorast-bela-nad-cirochou-emaped-s.-r.-o..html?page_id=135666, Všeobecná starostlivosť o deti a dorast,Prešovský,Snina
"Ambulancia rýchlej zdravotnej pomoci, Ulič, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/ambulancia-rychlej-zdravotnej-pomoci-ulic-lse-life-star-emergency.html?page_id=135181, Rýchla zdravotná pomoc,Prešovský,Snina
"Ambulancia vnútorného lekárstva, Snina, (Badamed s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/ambulancia-vnutorneho-lekarstva-snina-badamed-s.-r.-o..html?page_id=135163," Vnútorné lekárstvo, Abdominálna ultrasonografia u dospelých, Diagnostická a intervenčná ezofagogastroduodenoskopia, Diagnostická a intervenčná kolonoskopia",Prešovský,Snina
"Ambulancia rýchlej zdravotnej pomoci, Ubľa, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/ambulancia-rychlej-zdravotnej-pomoci-ubla-lse-life-star-emergency.html?page_id=134934, Rýchla zdravotná pomoc,Prešovský,Snina
