title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, Stará Ľubovňa, (ELITDENT 2 s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/ambulancia-zubneho-lekarstva-stara-lubovna-elitdent-2-s.-r.-o..html?page_id=143585, Zubné lekárstvo,Prešovský,Stará Ľubovňa
"Ambulancia pediatrickej pneumológie a ftizeológie, MUDr. Jana Eliašová, Stará Ľubovňa, (Ľubovnianska nemocnica, n. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/ambulancia-pediatrickej-pneumologie-a-ftizeologie-mudr.-jana-eliasova-stara-lubovna-lubovnianska-nemocnica-n.-o..html?page_id=142618, Pediatrická pneumológia a ftizeológia,Prešovský,Stará Ľubovňa
"Ambulancia klinickej onkológie II., Stará Ľubovňa, (Ľubovnianska nemocnica, n. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/ambulancia-klinickej-onkologie-ii.-stara-lubovna-lubovnianska-nemocnica-n.-o..html?page_id=142617, Klinická onkológia,Prešovský,Stará Ľubovňa
"Všeobecná ambulancia pre deti a dorast, Podolínec, (Doktorka Barborka s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/vseobecna-ambulancia-pre-deti-a-dorast-podolinec-doktorka-barborka.html?page_id=141797, Všeobecná starostlivosť o deti a dorast,Prešovský,Stará Ľubovňa
"Jednodňová zdravotná starostlivosť, ortopédia, Stará Ľubovňa, (Ľubovnianska nemocnica, n. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/jednodnova-zdravotna-starostlivost-ortopedia-stara-lubovna-lubovnianska-nemocnica-n.-o..html?page_id=141409, Ortopédia,Prešovský,Stará Ľubovňa
"SVaLZ, ultrazvuk v gynekológii a pôrodníctve, MUDr. Štefan Kožuškanič, Stará Ľubovňa, (Ľubovnianska nemocnica, n. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/svalz-ultrazvuk-v-gynekologii-a-porodnictve-mudr.-stefan-kozuskanic-stara-lubovna-lubovnianska-nemocnica-n.-o..html?page_id=140350, Ultrazvuk v gynekológii a pôrodníctve,Prešovský,Stará Ľubovňa
"Ambulancia zubného lekárstva, Chmeľnica, (MUDr. Martina Imrichová)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/ambulancia-zubneho-lekarstva-chmelnica-mudr.-martina-imrichova.html?page_id=139522, Zubné lekárstvo,Prešovský,Stará Ľubovňa
"Ortopedická ambulancia, Stará Ľubovňa, (ORTOFOL s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/ortopedicka-ambulancia-stara-lubovna-ortofol.html?page_id=135767, Ortopédia,Prešovský,Stará Ľubovňa
"Ambulancia zubného lekárstva, Stará Ľubovňa, (DemjanDent, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/ambulancia-zubneho-lekarstva-stara-lubovna-demjandent.html?page_id=134702, Zubné lekárstvo,Prešovský,Stará Ľubovňa
"Dispečing dopravnej zdravotnej služby, Stará Ľubovňa, (Ľubovnianska nemocnica, n. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/dispecing-dopravnej-zdravotnej-sluzby-stara-lubovna-lubovnianska-nemocnica-n.-o..html?page_id=132828,,Prešovský,Stará Ľubovňa
"Všeobecná ambulancia pre dospelých, Ľubotín, (Deneka s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/vseobecna-ambulancia-pre-dospelych-lubotin-deneka.html?page_id=132817, Všeobecné lekárstvo,Prešovský,Stará Ľubovňa
"Urologická ambulancia, Stará Ľubovňa, (SL- UROLÓGIA, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/urologicka-ambulancia-stara-lubovna-sl-urologia.html?page_id=132659, Urológia,Prešovský,Stará Ľubovňa
"Ambulancia rýchlej lekárskej pomoci, Stará Ľubovňa, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/ambulancia-rychlej-lekarskej-pomoci-stara-lubovna-lse-life-star-emergency.html?page_id=132627, Rýchla lekárska pomoc,Prešovský,Stará Ľubovňa
"Ambulancia rýchlej zdravotnej pomoci, Ľubotín, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/ambulancia-rychlej-zdravotnej-pomoci-lubotin-lse-life-star-emergency.html?page_id=132631, Rýchla zdravotná pomoc,Prešovský,Stará Ľubovňa
"Všeobecná ambulancia pre dospelých, Stará Ľubovňa, (DAPTI, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/vseobecna-ambulancia-pre-dospelych-stara-lubovna-dapti.html?page_id=131607, Všeobecné lekárstvo,Prešovský,Stará Ľubovňa
"Gynekologická ambulancia (príjmová), Stará Ľubovňa, (Ľubovnianska nemocnica, n. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stara-lubovna/gynekologicka-ambulancia-prijmova-stara-lubovna-lubovnianska-nemocnica-n.-o..html?page_id=130872, Gynekológia a pôrodníctvo,Prešovský,Stará Ľubovňa
