title,doctor_url,specialization,kraj,okres
"Geriatrická ambulancia, MUDr. Zuzana Ševčíková Jakubová, Stropkov, (Leid.x, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/geriatricka-ambulancia-mudr.-zuzana-sevcikova-jakubova-stropkov-leid.x.html?page_id=142540, Geriatria,Prešovský,Stropkov
"Ambulancia rýchlej zdravotnej pomoci, Havaj, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/ambulancia-rychlej-zdravotnej-pomoci-havaj-lse-life-star-emergency.html?page_id=134938, Rýchla zdravotná pomoc,Prešovský,Stropkov
"Ambulancia rýchlej zdravotnej pomoci, Stropkov, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/ambulancia-rychlej-zdravotnej-pomoci-stropkov-lse-life-star-emergency.html?page_id=133078, Rýchla zdravotná pomoc,Prešovský,Stropkov
"Dispečing dopravnej zdravotnej služby, Stropkov, (ŠVAHLA s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/dispecing-dopravnej-zdravotnej-sluzby-stropkov-svahla.html?page_id=132618,,Prešovský,Stropkov
"Ambulancia klinickej psychológie, Stropkov, (Centrum klinickej psychológie s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/ambulancia-klinickej-psychologie-stropkov-centrum-klinickej-psychologie.html?page_id=123938, Klinická psychológia,Prešovský,Stropkov
"SVaLZ, mamodiagnostika v gynekológii, Stropkov, (TOPGYN, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/svalz-mamodiagnostika-v-gynekologii-stropkov-topgyn.html?page_id=104997, Mamodiagnostika v gynekológii,Prešovský,Stropkov
"SVaLZ, hematológia a transfuziológia, Stropkov, (Unilabs Slovensko, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/svalz-hematologia-a-transfuziologia-stropkov-unilabs-slovensko-s.-r.-o..html?page_id=100946, Hematológia a transfuziológia,Prešovský,Stropkov
"SVaLZ, klinická imunológia a alergológia, Stropkov, (Unilabs Slovensko, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/svalz-klinicka-imunologia-a-alergologia-stropkov-unilabs-slovensko-s.-r.-o..html?page_id=100943, Klinická imunológia a alergológia,Prešovský,Stropkov
"SVaLZ, klinická mikrobiológia, Stropkov, (Unilabs Slovensko, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/svalz-klinicka-mikrobiologia-stropkov-unilabs-slovensko-s.-r.-o..html?page_id=100937, Klinická mikrobiológia,Prešovský,Stropkov
"SVaLZ, klinická biochémia, Stropkov, (Unilabs Slovensko, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/svalz-klinicka-biochemia-stropkov-unilabs-slovensko-s.-r.-o..html?page_id=100930, Klinická biochémia,Prešovský,Stropkov
"Ambulancia zubného lekárstva, Stropkov, (ZDRAVÝ ÚSMEV, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/ambulancia-zubneho-lekarstva-stropkov-zdravy-usmev.html?page_id=100521, Zubné lekárstvo,Prešovský,Stropkov
"Ambulancia zubného lekárstva, Stropkov, (ZDRAVÝ ÚSMEV, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/ambulancia-zubneho-lekarstva-stropkov-zdravy-usmev-1.html?page_id=100520, Zubné lekárstvo,Prešovský,Stropkov
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Stropkov, (Vranovská nemocnica, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-stropkov-vranovska-nemocnica-a.s..html?page_id=100424," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Stropkov
"SVaLZ, funkčná diagnostika, Stropkov, (Vranovská nemocnica, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/svalz-funkcna-diagnostika-stropkov-vranovska-nemocnica-a.s..html?page_id=100423, Funkčná diagnostika,Prešovský,Stropkov
"SVaLZ, rádiológia, Stropkov, (Vranovská nemocnica, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/svalz-radiologia-stropkov-vranovska-nemocnica-a.s..html?page_id=100422, Rádiológia,Prešovský,Stropkov
"Geriatrická ambulancia, Stropkov, (Vranovská nemocnica, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/geriatricka-ambulancia-stropkov-vranovska-nemocnica-a.s..html?page_id=100402, Geriatria,Prešovský,Stropkov
"Ambulancia vnútorného lekárstva, Stropkov, (Vranovská nemocnica, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/ambulancia-vnutorneho-lekarstva-stropkov-vranovska-nemocnica-a.s..html?page_id=100395, Vnútorné lekárstvo,Prešovský,Stropkov
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Stropkov, (Vranovská nemocnica, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-stropkov-vranovska-nemocnica-a.s..html?page_id=100387," Fyziatria, balneológia a liečebná rehabilitácia",Prešovský,Stropkov
"Všeobecná ambulancia pre dospelých, MUDr. Mária Vatehová, Stropkov, (VIVE VALEQUE s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/vseobecna-ambulancia-pre-dospelych-mudr.-maria-vatehova-stropkov-vive-valeque.html?page_id=100371, Všeobecné lekárstvo,Prešovský,Stropkov
"SVaLZ, rádiológia, Stropkov, (VIVALEK, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/svalz-radiologia-stropkov-vivalek.html?page_id=100367, Rádiológia,Prešovský,Stropkov
"Neurologická ambulancia, Stropkov, (VIVALEK, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/stropkov/neurologicka-ambulancia-stropkov-vivalek.html?page_id=100366, Neurológia,Prešovský,Stropkov
