title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, Svidník, (MUDr. Ján Goldír)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/svidnik/vseobecna-ambulancia-pre-dospelych-svidnik-mudr.-jan-goldir.html?page_id=143315, Všeobecné lekárstvo,Prešovský,Svidník
"Hematologická a transfúziologická ambulancia, Svidník, (Nemocnica arm. generála L. Svobodu Svidník, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/svidnik/hematologicka-a-transfuziologicka-ambulancia-svidnik-nemocnica-arm.-generala-l.-svobodu-svidnik-a.s.-1.html?page_id=142616, Hematológia a transfuziológia,Prešovský,Svidník
"Urologická ambulancia, Svidník, (Nemocnica arm. generála L. Svobodu Svidník, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/svidnik/urologicka-ambulancia-svidnik-nemocnica-arm.-generala-l.-svobodu-svidnik-a.s..html?page_id=142023, Urológia,Prešovský,Svidník
"Mobilný hospic, MUDr. Erika Hnatová, Cernina, (Mgr. Anna Pisanská)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/svidnik/mobilny-hospic-mudr.-erika-hnatova-cernina-mgr.-anna-pisanska.html?page_id=141939, Domáca hospicová starostlivosť,Prešovský,Svidník
"SABMED DENTAL CLINIC, Svidník, (SABMED spol. s r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/svidnik/sabmed-dental-clinic-svidnik-sabmed-spol.-s-r.o.-1.html?page_id=140357, Zubné lekárstvo,Prešovský,Svidník
"Ambulancia rýchlej zdravotnej pomoci, Svidník 2, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/svidnik/ambulancia-rychlej-zdravotnej-pomoci-svidnik-2-lse-life-star-emergency.html?page_id=133079, Rýchla zdravotná pomoc,Prešovský,Svidník
"Ambulancia rýchlej lekárskej pomoci, Svidník 1, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/svidnik/ambulancia-rychlej-lekarskej-pomoci-svidnik-1-lse-life-star-emergency.html?page_id=133084, Rýchla lekárska pomoc,Prešovský,Svidník
"Ambulancia rýchlej lekárskej pomoci, Giraltovce, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/svidnik/ambulancia-rychlej-lekarskej-pomoci-giraltovce-lse-life-star-emergency.html?page_id=133085, Rýchla lekárska pomoc,Prešovský,Svidník
"Angiologická ambulancia, Svidník, (SIRCO, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/svidnik/angiologicka-ambulancia-svidnik-sirco-s.-r.-o..html?page_id=132822, Angiológia,Prešovský,Svidník
"Ambulancia zubného lekárstva, Giraltovce, (ESKULAP MIKULA, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/svidnik/ambulancia-zubneho-lekarstva-giraltovce-eskulap-mikula-s.-r.-o..html?page_id=132819, Zubné lekárstvo,Prešovský,Svidník
"Dispečing dopravnej zdravotnej služby, Svidník, (IVETABOZ s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/svidnik/dispecing-dopravnej-zdravotnej-sluzby-svidnik-ivetaboz.html?page_id=132652,,Prešovský,Svidník
"Jednodňová zdravotná starostlivosť, ortopédia, Svidník, (Nemocnica arm. generála L. Svobodu Svidník, a.s.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/svidnik/jednodnova-zdravotna-starostlivost-ortopedia-svidnik-nemocnica-arm.-generala-l.-svobodu-svidnik-a.s..html?page_id=128270, Ortopédia,Prešovský,Svidník
