title,doctor_url,specialization,kraj,okres
"Ambulancia dentálnej hygieny, Vranov nad Topľou, (Prophylaxe s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/vranov-nad-toplou/ambulancia-dentalnej-hygieny-vranov-nad-toplou-prophylaxe-s.-r.-o..html?page_id=143587, Dentálna hygiena,Prešovský,Vranov nad Topľou
"Všeobecná ambulancia pre dospelých, Tomáš Kačurák, Sečovská Polianka, (TOLKA, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/vranov-nad-toplou/vseobecna-ambulancia-pre-dospelych-tomas-kacurak-secovska-polianka-tolka.html?page_id=143335, Všeobecné lekárstvo,Prešovský,Vranov nad Topľou
"Ambulancia klinickej onkológie, Vranov nad Topľou, (HONESTUM, n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/vranov-nad-toplou/ambulancia-klinickej-onkologie-vranov-nad-toplou-honestum-n.o..html?page_id=143118, Klinická onkológia,Prešovský,Vranov nad Topľou
"Všeobecná ambulancia pre dospelých, Patrik Jakubek, Vranov nad Topľou, (NOMIMED, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/vranov-nad-toplou/vseobecna-ambulancia-pre-dospelych-patrik-jakubek-vranov-nad-toplou-nomimed.html?page_id=142091, Všeobecné lekárstvo,Prešovský,Vranov nad Topľou
"Angiologická ambulancia, MUDr. Michala Tobákoš, Vranov nad Topľou, (TOBAcare profil, s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/vranov-nad-toplou/angiologicka-ambulancia-mudr.-michala-tobakos-vranov-nad-toplou-tobacare-profil-s.-r.-o..html?page_id=142076, Angiológia,Prešovský,Vranov nad Topľou
"Mobilný hospic, Vranov nad Topľou, (HONESTUM, n.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/vranov-nad-toplou/mobilny-hospic-vranov-nad-toplou-honestum-n.o..html?page_id=141849, Domáca hospicová starostlivosť,Prešovský,Vranov nad Topľou
"Ambulancia zubného lekárstva, Vranov nad Topľou, (MAKO Family s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/vranov-nad-toplou/ambulancia-zubneho-lekarstva-vranov-nad-toplou-mako-family-s.-r.-o..html?page_id=141537, Zubné lekárstvo,Prešovský,Vranov nad Topľou
"Všeobecná ambulancia pre dospelých, Vranov nad Topľou, (EZ aPP , s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/vranov-nad-toplou/vseobecna-ambulancia-pre-dospelych-vranov-nad-toplou-ez-app.html?page_id=141431, Všeobecné lekárstvo,Prešovský,Vranov nad Topľou
"Ambulancia zubného lekárstva, Vranov nad Topľou, (VT DENT s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/vranov-nad-toplou/ambulancia-zubneho-lekarstva-vranov-nad-toplou-vt-dent-1.html?page_id=141137, Dentoalveolárna chirurgia,Prešovský,Vranov nad Topľou
"Všeobecná ambulancia pre dospelých, Vranov nad Topľou, (PC praktik s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/vranov-nad-toplou/vseobecna-ambulancia-pre-dospelych-vranov-nad-toplou-pc-praktik-s.-r.-o..html?page_id=140771, Všeobecné lekárstvo,Prešovský,Vranov nad Topľou
