title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, MUDr. Mária Králiková, Bánovce nad Bebravou, (MK Medico, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/vseobecna-ambulancia-pre-dospelych-mudr.-maria-kralikova-banovce-nad-bebravou-mk-medico-s.-r.-o..html?page_id=143508, Všeobecné lekárstvo,Trenčiansky,Bánovce nad Bebravou
"ADOS, Hviezdoslavova, Bánovce nad Bebravou, (ADOS sv. Tadeáša, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/ados-hviezdoslavova-banovce-nad-bebravou-ados-sv.-tadeasa.html?page_id=142235, Domáca ošetrovateľská starostlivosť,Trenčiansky,Bánovce nad Bebravou
"Ambulancia dentálnej hygieny, Alexandra Gubková, Bánovce nad Bebravou, (Alexandra Gubková)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/ambulancia-dentalnej-hygieny-alexandra-gubkova-banovce-nad-bebravou-alexandra-gubkova.html?page_id=141845, Dentálna hygiena,Trenčiansky,Bánovce nad Bebravou
"Všeobecná ambulancia pre deti a dorast, MUDr. Zita Hluchá, Bánovce nad Bebravou, (MUDr. Zita Hluchá s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-zita-hlucha-banovce-nad-bebravou-mudr.-zita-hlucha-1.html?page_id=141504, Pediatria,Trenčiansky,Bánovce nad Bebravou
"Všeobecná ambulancia pre dospelých, MUDr. Monika Chocholatá, Bánovce nad Bebravou, (MUDr. Chocholata s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/vseobecna-ambulancia-pre-dospelych-mudr.-monika-chocholata-banovce-nad-bebravou-mudr.-chocholata.html?page_id=141502, Všeobecné lekárstvo,Trenčiansky,Bánovce nad Bebravou
"Ambulancia rýchlej zdravotnej pomoci, Rybany, (RZP, a.s.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/ambulancia-rychlej-zdravotnej-pomoci-rybany-rzp-a.s..html?page_id=134931, Rýchla zdravotná pomoc,Trenčiansky,Bánovce nad Bebravou
"Ambulancia zubného lekárstva, MUDr. Ľudevít Richter, Bánovce nad Bebravou, (BN - DENT s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/ambulancia-zubneho-lekarstva-mudr.-ludevit-richter-banovce-nad-bebravou-bn-dent.html?page_id=132586, Zubné lekárstvo,Trenčiansky,Bánovce nad Bebravou
"Ambulancia rýchlej lekárskej pomoci, Bánovce nad Bebravou, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/ambulancia-rychlej-lekarskej-pomoci-banovce-nad-bebravou-lse-life-star-emergency.html?page_id=132496, Rýchla lekárska pomoc,Trenčiansky,Bánovce nad Bebravou
"Urologická ambulancia, MUDr. Matúš Chocholatý, Bánovce nad Bebravou, (PRIVÁTNA UROLOGICKÁ AMBULANCIA s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/urologicka-ambulancia-mudr.-matus-chocholaty-banovce-nad-bebravou-privatna-urologicka-ambulancia.html?page_id=132358, Urológia,Trenčiansky,Bánovce nad Bebravou
"Ambulancia klinickej logopédie, Bánovce nad Bebravou, (PhDr. Pavla Lacová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/ambulancia-klinickej-logopedie-banovce-nad-bebravou-phdr.-pavla-lacova.html?page_id=132276, Klinická logopédia,Trenčiansky,Bánovce nad Bebravou
"Ambulancia dentálnej hygieny, Bánovce nad Bebravou, (JL Dental s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/ambulancia-dentalnej-hygieny-banovce-nad-bebravou-jl-dental.html?page_id=132272, Dentálna hygiena,Trenčiansky,Bánovce nad Bebravou
"Ambulancia zubného lekárstva, MDDr. Michaela Šinská Miksová, Bánovce nad Bebravou, (Dental Angels s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/ambulancia-zubneho-lekarstva-mddr.-michaela-sinska-miksova-banovce-nad-bebravou-dental-angels-s.-r.-o..html?page_id=131114, Zubné lekárstvo,Trenčiansky,Bánovce nad Bebravou
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie II., Bánovce nad Bebravou, (Nemocnica AGEL Bánovce s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-ii.-banovce-nad-bebravou-nemocnica-agel-banovce.html?page_id=130390," Fyziatria, balneológia a liečebná rehabilitácia",Trenčiansky,Bánovce nad Bebravou
"Ambulancia čelustnej ortópédie I., Bánovce nad Bebravou, (Osteodent, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/ambulancia-celustnej-ortopedie-i.-banovce-nad-bebravou-osteodent-s.-r.-o..html?page_id=130379, čeľustná ortopédia,Trenčiansky,Bánovce nad Bebravou
"Ambulancia čeľustnej ortopédie II., Bánovce nad Bebravou, (Osteodent, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/ambulancia-celustnej-ortopedie-ii.-banovce-nad-bebravou-osteodent-s.-r.-o..html?page_id=130380, čeľustná ortopédia,Trenčiansky,Bánovce nad Bebravou
"DENTAX s.r.o., Bánovce nad Bebravou, (DENTAX s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banovce-nad-bebravou/dentax-banovce-nad-bebravou-dentax.html?page_id=130256, Zubné lekárstvo,Trenčiansky,Bánovce nad Bebravou
