title,doctor_url,specialization,kraj,okres
"Kožná ambulancia Dubnica - MUDr. Stanislava Bartošová, Dubnica nad Váhom, (LINEMI, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ilava/kozna-ambulancia-dubnica-mudr.-stanislava-bartosova-dubnica-nad-vahom-linemi.html?page_id=143685, Dermatovenerológia,Trenčiansky,Ilava
"ADOS, Pruské, (CRC Home Care s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ilava/ados-pruske-crc-home-care-s.-r.-o..html?page_id=143539, Domáca ošetrovateľská starostlivosť,Trenčiansky,Ilava
"Ambulancia zubného lekárstva II., Dubnica nad Váhom, (Diente - dental studio s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ilava/ambulancia-zubneho-lekarstva-ii.-dubnica-nad-vahom-diente-dental-studio.html?page_id=143465," Zubné lekárstvo, Dentálna hygiena",Trenčiansky,Ilava
"SVaLZ, funkčná diagnostika, MUDr. Marián Sitár, Pruské, (DIAGNOS-SM, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ilava/svalz-funkcna-diagnostika-mudr.-marian-sitar-pruske-diagnos-sm-s.-r.-o..html?page_id=143462, Funkčná diagnostika,Trenčiansky,Ilava
"Ambulancia vnútorného lekárstva, MUDr. Marián Sitár, Pruské, (DIAGNOS-SM, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ilava/ambulancia-vnutorneho-lekarstva-mudr.-marian-sitar-pruske-diagnos-sm-s.-r.-o..html?page_id=143461, Vnútorné lekárstvo,Trenčiansky,Ilava
"Všeobecná ambulancia pre dospelých, MUDr. Eva Múčková, Ilava, (RUNA Medic s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ilava/vseobecna-ambulancia-pre-dospelych-mudr.-eva-muckova-ilava-runa-medic.html?page_id=143389, Všeobecné lekárstvo,Trenčiansky,Ilava
"Gynekologická ambulancia, MUDr. Michaela Štefanková, Dubnica nad Váhom, (MCM GYNPED, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ilava/gynekologicka-ambulancia-mudr.-michaela-stefankova-dubnica-nad-vahom-mcm-gynped-s.-r.-o..html?page_id=143349," Gynekológia a pôrodníctvo, Ultrazvuk v gynekológii a pôrodníctve, Mamodiagnostika v gynekológii",Trenčiansky,Ilava
"Všeobecná ambulancia pre deti a dorast, MUDr. Anna Šobáňová, Nová Dubnica, (SOBIMED, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ilava/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-anna-sobanova-nova-dubnica-sobimed.html?page_id=141508, Pediatria,Trenčiansky,Ilava
"SVaLZ, fyzioterapia, Bc. Ing. Erika Čepáková, Ilava, (Bc. Ing. Erika Čepáková)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ilava/svalz-fyzioterapia-bc.-ing.-erika-cepakova-ilava-bc.-ing.-erika-cepakova.html?page_id=141496," Fyzioterapia, Reflexná terapia podľa Vojtu",Trenčiansky,Ilava
"Ambulancia zubného lekárstva, MUDr. Jozef Latkóczy, Nová Dubnica, (JL Stomatology s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/ilava/ambulancia-zubneho-lekarstva-mudr.-jozef-latkoczy-nova-dubnica-jl-stomatology.html?page_id=140387, Zubné lekárstvo,Trenčiansky,Ilava
