title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, MDDr. Matúš Omasta, Vrbovce, (MY DENT s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/ambulancia-zubneho-lekarstva-mddr.-matus-omasta-vrbovce-my-dent.html?page_id=143362, Zubné lekárstvo,Trenčiansky,Myjava
"Ortopedická ambulancia, MUDr. Ján Hendrich, Myjava, (Nemocnica s poliklinikou Myjava so sídlom v Myjave)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/ortopedicka-ambulancia-mudr.-jan-hendrich-myjava-nemocnica-s-poliklinikou-myjava-so-sidlom-v-myjave.html?page_id=142741, Ortopédia,Trenčiansky,Myjava
"Algeziologická ambulancia, MUDr. Miriama Baníková, Myjava, (Nemocnica s poliklinikou Myjava so sídlom v Myjave)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/algeziologicka-ambulancia-mudr.-miriama-banikova-myjava-nemocnica-s-poliklinikou-myjava-so-sidlom-v-myjave.html?page_id=142740, Algeziológia,Trenčiansky,Myjava
"Všeobecná ambulancia pre dospelých, MUDr.Peter Mokoš, Myjava, (Nemocnica s poliklinikou Myjava so sídlom v Myjave)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/vseobecna-ambulancia-pre-dospelych-mudr.peter-mokos-myjava-nemocnica-s-poliklinikou-myjava-so-sidlom-v-myjave.html?page_id=141385, Všeobecné lekárstvo,Trenčiansky,Myjava
"Všeobecná ambulancia pre dospelých, MUDr. Jakub Kubík, Myjava, (JK PrimCare, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/vseobecna-ambulancia-pre-dospelych-mudr.-jakub-kubik-myjava-jk-primcare.html?page_id=140703, Všeobecné lekárstvo,Trenčiansky,Myjava
"Dispečing dopravnej zdravotnej služby, Myjava, (EMOTRANS, spol. s r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/dispecing-dopravnej-zdravotnej-sluzby-myjava-emotrans-spol.-s-r.o..html?page_id=132921,,Trenčiansky,Myjava
"Ambulancia rýchlej lekárskej pomoci, Myjava, (Nemocnica s poliklinikou Myjava so sídlom v Myjave)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/ambulancia-rychlej-lekarskej-pomoci-myjava-nemocnica-s-poliklinikou-myjava-so-sidlom-v-myjave.html?page_id=132595, Rýchla lekárska pomoc,Trenčiansky,Myjava
"Ambulancia zubného lekárstva, MUDr. Rudolf Rebry, Myjava, (RR-DENTAL, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/ambulancia-zubneho-lekarstva-mudr.-rudolf-rebry-myjava-rr-dental-s.-r.-o..html?page_id=132467, Zubné lekárstvo,Trenčiansky,Myjava
"Gynekologická ambulancia, MUDr. Pavol Tallo, Myjava, (Parthenos s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/gynekologicka-ambulancia-mudr.-pavol-tallo-myjava-parthenos.html?page_id=132244," Gynekológia a pôrodníctvo, Ultrazvuk v gynekológii a pôrodníctve",Trenčiansky,Myjava
"Ambulancia rýchlej zdravotnej pomoci, Brezová pod Bradlom, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/ambulancia-rychlej-zdravotnej-pomoci-brezova-pod-bradlom-lse-life-star-emergency.html?page_id=132062, Rýchla zdravotná pomoc,Trenčiansky,Myjava
"Ambulancia zubného lekárstva, MDDr. Matúš Omasta, Myjava, (MY DENT s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/ambulancia-zubneho-lekarstva-mddr.-matus-omasta-myjava-my-dent.html?page_id=131395, Zubné lekárstvo,Trenčiansky,Myjava
"Neurologická ambulancia, MUDr. Jozef Zeman, Myjava, (Nemocnica s poliklinikou Myjava so sídlom v Myjave)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/neurologicka-ambulancia-mudr.-jozef-zeman-myjava-nemocnica-s-poliklinikou-myjava-so-sidlom-v-myjave.html?page_id=130844, Neurológia,Trenčiansky,Myjava
"Všeobecná ambulancia pre dospelých, MUDr. Jana Habardová, Myjava, (Neonmedical s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/vseobecna-ambulancia-pre-dospelych-mudr.-jana-habardova-myjava-neonmedical-s.-r.-o..html?page_id=129385, Všeobecné lekárstvo,Trenčiansky,Myjava
"Modrá Hviezda n.o. ADOS, Priepasné, (Modrá Hviezda n. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/modra-hviezda-n.o.-ados-priepasne-modra-hviezda-n.-o..html?page_id=126934, Domáca ošetrovateľská starostlivosť,Trenčiansky,Myjava
"Psychiatrická ambulancia, Myjava, (PSYCHE EDUCA s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/psychiatricka-ambulancia-myjava-psyche-educa.html?page_id=126910, Psychiatria,Trenčiansky,Myjava
"Ambulancia klinickej psychológie, Myjava, (PSYCHE EDUCA s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/ambulancia-klinickej-psychologie-myjava-psyche-educa.html?page_id=126909," Klinická psychológia, Psychoterapia",Trenčiansky,Myjava
"Všeobecná ambulancia pre deti a dorast, MUDr. Tatiana Glasová, Myjava, (TAMED, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-tatiana-glasova-myjava-tamed.html?page_id=123978, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Myjava
"Dermatovenerologická ambulancia, MUDr. Miriam Kročianová, Myjava, (MIKRO derma, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/dermatovenerologicka-ambulancia-mudr.-miriam-krocianova-myjava-mikro-derma.html?page_id=90234, Dermatovenerológia,Trenčiansky,Myjava
"ADOS, Staromyjavská, Myjava, (ADOS - 4LIFE s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/ados-staromyjavska-myjava-ados-4life.html?page_id=85435, Domáca ošetrovateľská starostlivosť,Trenčiansky,Myjava
"Ambulancia zubného lekárstva, MUDr. Paolo Rau, Myjava, (MUDr. Paolo Rau)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/ambulancia-zubneho-lekarstva-mudr.-paolo-rau-myjava-mudr.-paolo-rau.html?page_id=73482, Zubné lekárstvo,Trenčiansky,Myjava
"Ambulancia zubného lekárstva, MUDr. Anna Kurtišová, Myjava, (MUDr. Anna Kurtišová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/myjava/ambulancia-zubneho-lekarstva-mudr.-anna-kurtisova-myjava-mudr.-anna-kurtisova.html?page_id=73341," Zubné lekárstvo, čeľustná ortopédia",Trenčiansky,Myjava
