title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, Taras Ostapiak, Nové Mesto nad Váhom, (Tarasdent, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-zubneho-lekarstva-taras-ostapiak-nove-mesto-nad-vahom-tarasdent-s.-r.-o..html?page_id=143230, Zubné lekárstvo,Trenčiansky,Nové Mesto nad Váhom
"Nefrologická ambulancia, MUDr. Lucia Durdíková, Nové Mesto nad Váhom, (NsP Nové Mesto nad Váhom n. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/nefrologicka-ambulancia-mudr.-lucia-durdikova-nove-mesto-nad-vahom-nsp-nove-mesto-nad-vahom-n.-o..html?page_id=143113, Nefrológia,Trenčiansky,Nové Mesto nad Váhom
"Angiologická ambulancia, MUDr. Tomáš Podpera, Nové Mesto nad Váhom, (Art-Ven s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/angiologicka-ambulancia-mudr.-tomas-podpera-nove-mesto-nad-vahom-art-ven.html?page_id=142647, Angiológia,Trenčiansky,Nové Mesto nad Váhom
"Ambulancia zubného lekárstva, MDDr. Matúš Radulay, Beckov, (Denti felici s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-zubneho-lekarstva-mddr.-matus-radulay-beckov-denti-felici-s.-r.-o..html?page_id=142058, Zubné lekárstvo,Trenčiansky,Nové Mesto nad Váhom
"Ambulancia klinickej psychológie, PhDr. Michal Chovanec, Ph.D., Nové Mesto nad Váhom, (M-live, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-klinickej-psychologie-phdr.-michal-chovanec-ph.d.-nove-mesto-nad-vahom-m-live.html?page_id=141586," Klinická psychológia, Psychoterapia, Dopravná psychológia",Trenčiansky,Nové Mesto nad Váhom
"Ambulancia zubného lekárstva, MDDr. Soňa Lisá, Stará Turá, (SOMADENT, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-zubneho-lekarstva-mddr.-sona-lisa-stara-tura-somadent.html?page_id=141439, Zubné lekárstvo,Trenčiansky,Nové Mesto nad Váhom
"Ambulancia zubného lekárstva, MUDr. Ján Záhorec, Stará Turá, (SOMADENT, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-zubneho-lekarstva-mudr.-jan-zahorec-stara-tura-somadent.html?page_id=141440, Zubné lekárstvo,Trenčiansky,Nové Mesto nad Váhom
"Ambulancia zubného lekárstva, Bc. Renáta Izakovičová, Stará Turá, (SOMADENT, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-zubneho-lekarstva-bc.-renata-izakovicova-stara-tura-somadent.html?page_id=141441," Zubné lekárstvo, Dentálna hygiena",Trenčiansky,Nové Mesto nad Váhom
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, MUDr. Martina Sameková, Nové Mesto nad Váhom, (MSMEDICAL s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-mudr.-martina-samekova-nove-mesto-nad-vahom-msmedical.html?page_id=135480," Fyziatria, balneológia a liečebná rehabilitácia",Trenčiansky,Nové Mesto nad Váhom
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Bc. Tomáš Kandráč, Nové Mesto nad Váhom, (MSMEDICAL s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-bc.-tomas-kandrac-nove-mesto-nad-vahom-msmedical.html?page_id=135481," Fyziatria, balneológia a liečebná rehabilitácia",Trenčiansky,Nové Mesto nad Váhom
"Všeobecná ambulancia pre dospelých, MUDr. Lenka Gáliková, Moravské Lieskové, (ARIMED, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-dospelych-mudr.-lenka-galikova-moravske-lieskove-arimed.html?page_id=135463, Všeobecné lekárstvo,Trenčiansky,Nové Mesto nad Váhom
"ADOS, Ulica J. Hašku, Nové Mesto nad Váhom, (Ako zachrániť život s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ados-ulica-j.-hasku-nove-mesto-nad-vahom-ako-zachranit-zivot.html?page_id=135436, Domáca ošetrovateľská starostlivosť,Trenčiansky,Nové Mesto nad Váhom
"Dermatovenerologická ambulancia, MUDr. Lucia Drahovská, Nové Mesto nad Váhom, (LD Derma s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/dermatovenerologicka-ambulancia-mudr.-lucia-drahovska-nove-mesto-nad-vahom-ld-derma.html?page_id=135345, Dermatovenerológia,Trenčiansky,Nové Mesto nad Váhom
