title,doctor_url,specialization,kraj,okres
"Otorinolaryngologická ambulancia, MUDr. Mohanad Abusultan, Partizánske, (ENT Clinic, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/otorinolaryngologicka-ambulancia-mudr.-mohanad-abusultan-partizanske-ent-clinic-s.-r.-o..html?page_id=142453, Otorinolaryngológia,Trenčiansky,Partizánske
"Ambulancia zubného lekárstva, MDDr. Róbert Králik, Bošany, (RK - dental, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/ambulancia-zubneho-lekarstva-mddr.-robert-kralik-bosany-rk-dental.html?page_id=141989, Zubné lekárstvo,Trenčiansky,Partizánske
"Všeobecná ambulancia pre deti a dorast, MUDr. Izabela Kubová, Partizánske, (EmMa-Pediatria s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-izabela-kubova-partizanske-emma-pediatria-s.-r.-o..html?page_id=141498, Pediatria,Trenčiansky,Partizánske
"Ambulancia zubného lekárstva, MDDr. Lenka Murárová, Partizánske, (ELDENTAL s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/ambulancia-zubneho-lekarstva-mddr.-lenka-murarova-partizanske-eldental-s.-r.-o..html?page_id=141346, Zubné lekárstvo,Trenčiansky,Partizánske
"Ambulancia dentálnej hygieny, Bc. Denisa Bezáková, Partizánske, (Bc. Denisa Bezáková)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/ambulancia-dentalnej-hygieny-bc.-denisa-bezakova-partizanske-bc.-denisa-bezakova.html?page_id=141344, Dentálna hygiena,Trenčiansky,Partizánske
"Endokrinologická ambulancia, MUDr. Aneta Kováčiková, Partizánske, (Nemocnica na okraji mesta, n. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/endokrinologicka-ambulancia-mudr.-aneta-kovacikova-partizanske-nemocnica-na-okraji-mesta-n.-o..html?page_id=141231, Endokrinológia,Trenčiansky,Partizánske
"ADOS, Hrnčírikova, Partizánske, (ADOS sestričky s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/ados-hrncirikova-partizanske-ados-sestricky-s.-r.-o..html?page_id=139260, Domáca ošetrovateľská starostlivosť,Trenčiansky,Partizánske
"Ambulancia zubného lekárstva, Krste Tanushevski, Chynorany, (Dentavil s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/ambulancia-zubneho-lekarstva-krste-tanushevski-chynorany-dentavil-s.-r.-o..html?page_id=136468, Zubné lekárstvo,Trenčiansky,Partizánske
"Ambulancia dentálnej hygieny, Bc. Amália Holíková, Partizánske, (Bc. Amália Holíková)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/ambulancia-dentalnej-hygieny-bc.-amalia-holikova-partizanske-bc.-amalia-holikova.html?page_id=135279, Dentálna hygiena,Trenčiansky,Partizánske
"Ambulancia rýchlej zdravotnej pomoci, Partizánske, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/ambulancia-rychlej-zdravotnej-pomoci-partizanske-zachranna-zdravotna-sluzba-bratislava.html?page_id=132596, Rýchla zdravotná pomoc,Trenčiansky,Partizánske
"Ambulancia zubného lekárstva, MUDr. Ludvik Grűnwald, Bošany, (ORTOSET s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/ambulancia-zubneho-lekarstva-mudr.-ludvik-grunwald-bosany-ortoset-s.-r.-o..html?page_id=132518, Zubné lekárstvo,Trenčiansky,Partizánske
"Ambulancia čeľustnej ortopédie, MUDr. Ludvik Grűnwald, Bošany, (ORTOSET s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/ambulancia-celustnej-ortopedie-mudr.-ludvik-grunwald-bosany-ortoset-s.-r.-o..html?page_id=132519, čeľustná ortopédia,Trenčiansky,Partizánske
