title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, MDDr. Monika Janáková, Považská Bystrica, (MODENTA s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ambulancia-zubneho-lekarstva-mddr.-monika-janakova-povazska-bystrica-modenta-s.-r.-o..html?page_id=143694, Zubné lekárstvo,Trenčiansky,Považská Bystrica
"Angiologická ambulancia, MUDr. Roman Grbál, Považská Bystrica, (VASAMED s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/angiologicka-ambulancia-mudr.-roman-grbal-povazska-bystrica-vasamed.html?page_id=143234, Angiológia,Trenčiansky,Považská Bystrica
"Všeobecná ambulancia pre dospelých, MUDr. Jarmila Jurčíková, Považská Bystrica, (MUDr. Jarmila Jurčíková s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/vseobecna-ambulancia-pre-dospelych-mudr.-jarmila-jurcikova-povazska-bystrica-mudr.-jarmila-jurcikova-1.html?page_id=142656, Všeobecné lekárstvo,Trenčiansky,Považská Bystrica
"Ambulancia zubného lekárstva, MUDr. Alena Mičáková, Považská Bystrica, (M-DENT PB s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ambulancia-zubneho-lekarstva-mudr.-alena-micakova-povazska-bystrica-m-dent-pb-s.-r.-o..html?page_id=142239, Zubné lekárstvo,Trenčiansky,Považská Bystrica
"Ortopedická ambulancia, MUDr. Jaroslav Kňažko, Považská Bystrica, (JDK ORTO-REHA, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ortopedicka-ambulancia-mudr.-jaroslav-knazko-povazska-bystrica-jdk-orto-reha-s.-r.-o..html?page_id=142237, Ortopédia,Trenčiansky,Považská Bystrica
"SVaLZ, rádiológia, Považská Bystrica, (Nemocnica s poliklinikou Považská Bystrica)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/svalz-radiologia-povazska-bystrica-nemocnica-s-poliklinikou-povazska-bystrica.html?page_id=141960, Rádiológia,Trenčiansky,Považská Bystrica
"Ambulancia zubného lekárstva, Považská Bystrica, (K-DENTAL, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ambulancia-zubneho-lekarstva-povazska-bystrica-k-dental-1.html?page_id=141347," Zubné lekárstvo, Dentoalveolárna chirurgia, Implantológia",Trenčiansky,Považská Bystrica
"Ambulancia zubného lekárstva, Považská Bystrica, (K-DENTAL, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ambulancia-zubneho-lekarstva-povazska-bystrica-k-dental-2.html?page_id=141348," Zubné lekárstvo, Dentoalveolárna chirurgia, Implantológia",Trenčiansky,Považská Bystrica
"ADOS, Nemocničná, Považská Bystrica, (ADOS SRDCE PU s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ados-nemocnicna-povazska-bystrica-ados-srdce-pu-s.-r.-o..html?page_id=141291, Domáca ošetrovateľská starostlivosť,Trenčiansky,Považská Bystrica
"Ambulancia zubného lekárstva, Papradno, (Lotos Dent s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ambulancia-zubneho-lekarstva-papradno-lotos-dent-s.-r.-o..html?page_id=140886," Zubné lekárstvo, Dentálna hygiena",Trenčiansky,Považská Bystrica
"Všeobecná ambulancia pre dospelých, Považská Bystrica, (STEFFI, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/vseobecna-ambulancia-pre-dospelych-povazska-bystrica-steffi.html?page_id=140799, Všeobecné lekárstvo,Trenčiansky,Považská Bystrica
"Ambulancia zubného lekárstva, MUDr. MDDr. Peter Kopcík, Považská Bystrica, (MUDr. MDDr. Peter Kopcík)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ambulancia-zubneho-lekarstva-mudr.-mddr.-peter-kopcik-povazska-bystrica-mudr.-mddr.-peter-kopcik.html?page_id=140097, Zubné lekárstvo,Trenčiansky,Považská Bystrica
"Ambulancia dentálnej hygieny, Bc. Lívia Chlebanová Némová, Považská Bystrica, (Bc. Lívia Chlebanová Némová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ambulancia-dentalnej-hygieny-bc.-livia-chlebanova-nemova-povazska-bystrica-bc.-livia-chlebanova-nemova.html?page_id=135612, Dentálna hygiena,Trenčiansky,Považská Bystrica
"Všeobecná ambulancia pre dospelých, Olexandr Pavelchuk  , Papradno, (J & MS Medical, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/vseobecna-ambulancia-pre-dospelych-olexandr-pavelchuk-papradno-j-ms-medical.html?page_id=135533, Všeobecné lekárstvo,Trenčiansky,Považská Bystrica
"Ambulancia zubného lekárstva, MDDr. Zuzana Jurkuľáková, Papradno, (Lotos Dent s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ambulancia-zubneho-lekarstva-mddr.-zuzana-jurkulakova-papradno-lotos-dent-s.-r.-o..html?page_id=135465, Zubné lekárstvo,Trenčiansky,Považská Bystrica
"Ambulancia pediatrickej nefrológie, MUDr. Martina Košutová, Považská Bystrica, (Nemocnica s poliklinikou Považská Bystrica)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ambulancia-pediatrickej-nefrologie-mudr.-martina-kosutova-povazska-bystrica-nemocnica-s-poliklinikou-povazska-bystrica.html?page_id=135416, Pediatrická nefrológia,Trenčiansky,Považská Bystrica
"Ambulancia pediatrickej pneumológie a ftizeológie, MUDr. Martina Babecová, Považská Bystrica, (Nemocnica s poliklinikou Považská Bystrica)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ambulancia-pediatrickej-pneumologie-a-ftizeologie-mudr.-martina-babecova-povazska-bystrica-nemocnica-s-poliklinikou-povazska-bystrica.html?page_id=135417, Pediatrická pneumológia a ftizeológia,Trenčiansky,Považská Bystrica
"Všeobecná ambulancia pre deti a dorast, MUDr. Peter Truchlý, Papradno, (Nemocnica s poliklinikou Považská Bystrica)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-peter-truchly-papradno-nemocnica-s-poliklinikou-povazska-bystrica.html?page_id=135076, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Považská Bystrica
"Ambulancia rýchlej zdravotnej pomoci, Orlové, (RZP, a.s.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ambulancia-rychlej-zdravotnej-pomoci-orlove-rzp-a.s..html?page_id=134932, Rýchla zdravotná pomoc,Trenčiansky,Považská Bystrica
"Ambulancia rýchlej zdravotnej pomoci, Považská Bystrica 2, (Nemocnica s poliklinikou Považská Bystrica)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/ambulancia-rychlej-zdravotnej-pomoci-povazska-bystrica-2-nemocnica-s-poliklinikou-povazska-bystrica.html?page_id=134827, Rýchla zdravotná pomoc,Trenčiansky,Považská Bystrica
"Neurologická ambulancia, MUDr. Alena Fógelová, Považská Bystrica, (MUDr. Alena Fógelová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/neurologicka-ambulancia-mudr.-alena-fogelova-povazska-bystrica-mudr.-alena-fogelova.html?page_id=133006, Neurológia,Trenčiansky,Považská Bystrica
"Všeobecná ambulancia pre dospelých, MUDr. Jozef Krišťák, Domaniža, (J & MS Medical, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/povazska-bystrica/vseobecna-ambulancia-pre-dospelych-mudr.-jozef-kristak-domaniza-j-ms-medical.html?page_id=132881, Všeobecné lekárstvo,Trenčiansky,Považská Bystrica
