title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, MUDr. Herta Fecková, Handlová, (MUDr. Herta Fecková)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/ambulancia-zubneho-lekarstva-mudr.-herta-feckova-handlova-mudr.-herta-feckova-1.html?page_id=143749, Zubné lekárstvo,Trenčiansky,Prievidza
"ADOS, Ulica Matice slovenskej, Prievidza, (Mgr. Iveta Šujanová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/ados-ulica-matice-slovenskej-prievidza-mgr.-iveta-sujanova.html?page_id=143692, Domáca ošetrovateľská starostlivosť,Trenčiansky,Prievidza
"Chirurgická ambulancia, MUDr. Dušan Magdin, MPH, Prievidza, (Med – Fin s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/chirurgicka-ambulancia-mudr.-dusan-magdin-mph-prievidza-med-fin-s.-r.-o..html?page_id=143690, Chirurgia,Trenčiansky,Prievidza
"Ambulancia úrazovej chirurgie, MUDr. Dušan Magdin, MPH, Prievidza, (Med – Fin s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/ambulancia-urazovej-chirurgie-mudr.-dusan-magdin-mph-prievidza-med-fin-s.-r.-o..html?page_id=143689, úrazová chirurgia,Trenčiansky,Prievidza
"Ambulancia dentálnej hygieny, Bc. Katarína Čampišová, Chrenovec-Brusno, (Bc. Katarína Čampišová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/ambulancia-dentalnej-hygieny-bc.-katarina-campisova-chrenovec-brusno-bc.-katarina-campisova.html?page_id=143683, Dentálna hygiena,Trenčiansky,Prievidza
"Jednodňová zdravotná starostlivosť, urológia, MUDr. František Trudič, Prievidza, (Urologická ambulancia Prievidza, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/jednodnova-zdravotna-starostlivost-urologia-mudr.-frantisek-trudic-prievidza-urologicka-ambulancia-prievidza.html?page_id=143476, Urológia,Trenčiansky,Prievidza
"Ambulancia zubného lekárstva, MUDr. MDDr. Marianna Štefeková, Prievidza, (KittCare s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/ambulancia-zubneho-lekarstva-mudr.-mddr.-marianna-stefekova-prievidza-kittcare.html?page_id=143292, Zubné lekárstvo,Trenčiansky,Prievidza
"Ambulancia zubného lekárstva, MDDr. Gabriela Hundák Kittelová, Prievidza, (KittCare s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/ambulancia-zubneho-lekarstva-mddr.-gabriela-hundak-kittelova-prievidza-kittcare.html?page_id=143293," Zubné lekárstvo, Dentálna hygiena",Trenčiansky,Prievidza
"Ortopedická ambulancia, MUDr. Radoslav Strapko, Prievidza, (ESTETECH s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/ortopedicka-ambulancia-mudr.-radoslav-strapko-prievidza-estetech.html?page_id=143227, Ortopédia,Trenčiansky,Prievidza
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, MUDr. Mária Slezáková, Prievidza, (ESTETECH s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-mudr.-maria-slezakova-prievidza-estetech.html?page_id=143228," Fyziatria, balneológia a liečebná rehabilitácia",Trenčiansky,Prievidza
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, MUDr. Elena Strapková Boydová, Prievidza, (ESTETECH s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-mudr.-elena-strapkova-boydova-prievidza-estetech.html?page_id=143225," Fyziatria, balneológia a liečebná rehabilitácia",Trenčiansky,Prievidza
"Dermatovenerologická ambulancia, MUDr.Tibor Štovčík, Prievidza, (ESTETECH s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/dermatovenerologicka-ambulancia-mudr.tibor-stovcik-prievidza-estetech.html?page_id=143226, Dermatovenerológia,Trenčiansky,Prievidza
"Pneumologicko-ftizeologická ambulancia, MUDr. Jozef Kubík, Handlová, (Nemocnica AGEL Handlová s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/pneumologicko-ftizeologicka-ambulancia-mudr.-jozef-kubik-handlova-nemocnica-agel-handlova.html?page_id=143178, Pneumológia a ftizeológia,Trenčiansky,Prievidza
"Ambulancia zubného lekárstva, MUDr. MDDr. Marianna Štefeková, Prievidza, (M - KLUB, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/prievidza/ambulancia-zubneho-lekarstva-mudr.-mddr.-marianna-stefekova-prievidza-m-klub.html?page_id=143162, Zubné lekárstvo,Trenčiansky,Prievidza
