title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre dospelých, MUDr. Eva Múčková, Beluša, (RUNA Medic s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/vseobecna-ambulancia-pre-dospelych-mudr.-eva-muckova-belusa-runa-medic.html?page_id=143493, Všeobecné lekárstvo,Trenčiansky,Púchov
"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Cígerová, Púchov, (MDclinic a.s.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-eva-cigerova-puchov-mdclinic-a.s..html?page_id=143334, Pediatria,Trenčiansky,Púchov
"Ambulancia cievnej chirurgie, MUDr. Anna Markovičová, Púchov, (MUDr. Anna Markovičová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/ambulancia-cievnej-chirurgie-mudr.-anna-markovicova-puchov-mudr.-anna-markovicova.html?page_id=142064, Cievna chirurgia,Trenčiansky,Púchov
"Všeobecná ambulancia pre deti a dorast, MUDr. František Talafa, Lednické Rovne, (TALIMED s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-frantisek-talafa-lednicke-rovne-talimed-s.-r.-o..html?page_id=139350, Pediatria,Trenčiansky,Púchov
"Ambulancia klinickej psychológie, Mgr. Nina Mončeková, Púchov, (M+K Psychology, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/ambulancia-klinickej-psychologie-mgr.-nina-moncekova-puchov-mk-psychology.html?page_id=136182, Klinická psychológia,Trenčiansky,Púchov
"Všeobecná ambulancia pre dospelých, MUDr. Lucie Ďurkechová, Púchov, (Lucare  s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/vseobecna-ambulancia-pre-dospelych-mudr.-lucie-durkechova-puchov-lucare-s.-r.-o..html?page_id=135303, Všeobecné lekárstvo,Trenčiansky,Púchov
"Ambulancia dentálnej hygieny, Martina Jahodová, dip.d.h., Púchov, (PRODENTALL, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/ambulancia-dentalnej-hygieny-martina-jahodova-dip.d.h.-puchov-prodentall.html?page_id=135052, Dentálna hygiena,Trenčiansky,Púchov
"Ambulancia rýchlej zdravotnej pomoci, Beluša, (RZP, a.s.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/ambulancia-rychlej-zdravotnej-pomoci-belusa-rzp-a.s..html?page_id=134933, Rýchla zdravotná pomoc,Trenčiansky,Púchov
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie II., Púchov, (Medella, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-ii.-puchov-medella.html?page_id=133115," Fyziatria, balneológia a liečebná rehabilitácia",Trenčiansky,Púchov
"Zariadenie spoločných vyšetrovacích a liečebných zložiek v špecializačnom odbore FBLR II., Púchov, (Medella, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/zariadenie-spolocnych-vysetrovacich-a-liecebnych-zloziek-v-specializacnom-odbore-fblr-ii.-puchov-medella.html?page_id=133116," Fyziatria, balneológia a liečebná rehabilitácia",Trenčiansky,Púchov
"Gynekologická ambulancia, MUDr. Denisa Krumpová, Púchov, (Sun Gyn s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/gynekologicka-ambulancia-mudr.-denisa-krumpova-puchov-sun-gyn-s.-r.-o..html?page_id=132923, Gynekológia a pôrodníctvo,Trenčiansky,Púchov
"Dispečing dopravnej zdravotnej služby, Púchov, (Zdravotná doprava Púchov, spol. s r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/dispecing-dopravnej-zdravotnej-sluzby-puchov-zdravotna-doprava-puchov-spol.-s-r.o..html?page_id=132811,,Trenčiansky,Púchov
"Psychiatrická ambulancia, MUDr. Anton Puchoň, Púchov, (Psychiatrická ambulancia Púchov, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/psychiatricka-ambulancia-mudr.-anton-puchon-puchov-psychiatricka-ambulancia-puchov-s.-r.-o..html?page_id=132804, Psychiatria,Trenčiansky,Púchov
"Ambulancia rýchlej lekárskej pomoci, Púchov, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/ambulancia-rychlej-lekarskej-pomoci-puchov-lse-life-star-emergency.html?page_id=132570, Rýchla lekárska pomoc,Trenčiansky,Púchov
"Urologická ambulancia, MUDr. Ladislav Slobodník, Púchov, (Urohealth, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/urologicka-ambulancia-mudr.-ladislav-slobodnik-puchov-urohealth.html?page_id=132105, Urológia,Trenčiansky,Púchov
"Jednodňová zdravotná starostlivosť, urológia, MUDr. Ladislav Slobodník, Púchov, (Urohealth, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/jednodnova-zdravotna-starostlivost-urologia-mudr.-ladislav-slobodnik-puchov-urohealth.html?page_id=132106, Urológia,Trenčiansky,Púchov
"Všeobecná ambulancia pre dospelých, MUDr. Milan Trník, Púchov, (NeoCare, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/puchov/vseobecna-ambulancia-pre-dospelych-mudr.-milan-trnik-puchov-neocare.html?page_id=131397, Všeobecné lekárstvo,Trenčiansky,Púchov
