title,doctor_url,specialization,kraj,okres
"Jednodňová zdravotná starostlivosť, oftalmológia, Trenčín, (Nemocnica AGEL Bánovce s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/jednodnova-zdravotna-starostlivost-oftalmologia-trencin-nemocnica-agel-banovce.html?page_id=143788, Oftalmológia,Trenčiansky,Trenčín
"Všeobecná ambulancia pre dospelých, MUDr. Mário Belák, Horná Súča, (MB Medicus, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/vseobecna-ambulancia-pre-dospelych-mudr.-mario-belak-horna-suca-mb-medicus.html?page_id=143687, Všeobecné lekárstvo,Trenčiansky,Trenčín
"Ambulancia zubného lekárstva, Trenčín, (AB Clinic s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-zubneho-lekarstva-trencin-ab-clinic-s.-r.-o..html?page_id=143680," Zubné lekárstvo, Dentoalveolárna chirurgia, Dentálna hygiena",Trenčiansky,Trenčín
"Ambulancia zubného lekárstva, Trenčín, (AB Clinic s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-zubneho-lekarstva-trencin-ab-clinic-s.-r.-o.-1.html?page_id=143681," Zubné lekárstvo, Dentoalveolárna chirurgia, Dentálna hygiena",Trenčiansky,Trenčín
"Všeobecná ambulancia pre dospelých, MUDr. Ján Hencel, Trenčín, (Tvoja ambulancia, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/vseobecna-ambulancia-pre-dospelych-mudr.-jan-hencel-trencin-tvoja-ambulancia.html?page_id=143232, Všeobecné lekárstvo,Trenčiansky,Trenčín
"Ambulancia zubného lekárstva, Trenčín, (Elysium clinic s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-zubneho-lekarstva-trencin-elysium-clinic.html?page_id=143221, Zubné lekárstvo,Trenčiansky,Trenčín
"Ambulancia zubného lekárstva, Trenčín, (Elysium clinic s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-zubneho-lekarstva-trencin-elysium-clinic-1.html?page_id=143222, Zubné lekárstvo,Trenčiansky,Trenčín
"Ambulancia zubného lekárstva, MDDr. Juraj Chorvát, Trenčín, (Elysium clinic s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-zubneho-lekarstva-mddr.-juraj-chorvat-trencin-elysium-clinic.html?page_id=143223," Zubné lekárstvo, Dentálna hygiena",Trenčiansky,Trenčín
"Ambulancia zubného lekárstva, MUDr. Mehdi Forouhar, Trenčianske Jastrabie, (U.S. Center zubná klinika s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-zubneho-lekarstva-mudr.-mehdi-forouhar-trencianske-jastrabie-u.s.-center-zubna-klinika.html?page_id=142702," Zubné lekárstvo, Dentoalveolárna chirurgia, Implantológia, Mukogingiválna chirurgia, Dentálna hygiena",Trenčiansky,Trenčín
"Všeobecná ambulancia pre dospelých, MUDr. Monika Cáková, Nemšová, (Mobilný hospic sv. Rodiny s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/vseobecna-ambulancia-pre-dospelych-mudr.-monika-cakova-nemsova-mobilny-hospic-sv.-rodiny-s.-r.-o..html?page_id=142654, Všeobecné lekárstvo,Trenčiansky,Trenčín
"Ambulancia paliatívnej medicíny, MUDr. Monika Cáková, Nemšová, (Mobilný hospic sv. Rodiny s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-paliativnej-mediciny-mudr.-monika-cakova-nemsova-mobilny-hospic-sv.-rodiny-s.-r.-o..html?page_id=142652, Paliatívna medicína,Trenčiansky,Trenčín
"Geriatrická ambulancia, MUDr. Monika Cáková, Nemšová, (Mobilný hospic sv. Rodiny s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/geriatricka-ambulancia-mudr.-monika-cakova-nemsova-mobilny-hospic-sv.-rodiny-s.-r.-o..html?page_id=142653, Geriatria,Trenčiansky,Trenčín
"Ambulancia paliatívnej medicíny, MUDr. Mária Dohňanská, Trenčín, (Hospic Milosrdných sestier)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-paliativnej-mediciny-mudr.-maria-dohnanska-trencin-hospic-milosrdnych-sestier.html?page_id=142650, Paliatívna medicína,Trenčiansky,Trenčín
"Ambulancia zubného lekárstva, MDDr. Monika Studená, Trenčín, (Dentimon s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-zubneho-lekarstva-mddr.-monika-studena-trencin-dentimon.html?page_id=142649, Zubné lekárstvo,Trenčiansky,Trenčín
"Ambulancia zubného lekárstva, MDDr. Alexandra Guštafíková, Trenčín, (AG studio s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-zubneho-lekarstva-mddr.-alexandra-gustafikova-trencin-ag-studio.html?page_id=142645," Zubné lekárstvo, Dentálna hygiena",Trenčiansky,Trenčín
"Všeobecná ambulancia pre dospelých, Iryna Talama, Trenčín, (TOP-TAL-MED s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/vseobecna-ambulancia-pre-dospelych-iryna-talama-trencin-top-tal-med.html?page_id=142457, Všeobecné lekárstvo,Trenčiansky,Trenčín
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Bc. Marianna Jopčíková, Trenčín, (OZ Napreduj)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-bc.-marianna-jopcikova-trencin-oz-napreduj.html?page_id=142368," Fyziatria, balneológia a liečebná rehabilitácia",Trenčiansky,Trenčín
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, MUDr. Martin Šťastný, Trenčín, (OZ Napreduj)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-mudr.-martin-stastny-trencin-oz-napreduj.html?page_id=142367," Fyziatria, balneológia a liečebná rehabilitácia",Trenčiansky,Trenčín
"Ambulancia zubného lekárstva, MDDr. Lívia Benková, Trenčín, (Benkova.dent, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-zubneho-lekarstva-mddr.-livia-benkova-trencin-benkova.dent-s.-r.-o..html?page_id=142159, Zubné lekárstvo,Trenčiansky,Trenčín
"Ambulancia klinickej psychológie, PhDr. Magdaléna Krasulová, Trenčín, (M+K Psychology, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-klinickej-psychologie-phdr.-magdalena-krasulova-trencin-mk-psychology.html?page_id=142146," Klinická psychológia, Dopravná psychológia",Trenčiansky,Trenčín
"Ambulancia telovýchovného lekárstva, Trenčín, (TC Ambulancia s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-telovychovneho-lekarstva-trencin-tc-ambulancia-s.-r.-o..html?page_id=142123, Telovýchovné lekárstvo,Trenčiansky,Trenčín
"SVaLZ, fyzioterapia, Mgr. Marek Nemšák, Trenčín, (Mgr. Marek Nemšák)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/svalz-fyzioterapia-mgr.-marek-nemsak-trencin-mgr.-marek-nemsak.html?page_id=142062, Fyzioterapia,Trenčiansky,Trenčín
"Ambulancia zubného lekárstva, MUDr. Jaroslava Hrenáková, Trenčín, (JH DENT s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-zubneho-lekarstva-mudr.-jaroslava-hrenakova-trencin-jh-dent-s.-r.-o..html?page_id=142060, Zubné lekárstvo,Trenčiansky,Trenčín
"Ambulancia klinickej logopédie, Mgr. Mária Došeková, Trenčianska Teplá, (LOGOHELP s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-klinickej-logopedie-mgr.-maria-dosekova-trencianska-tepla-logohelp-s.-r.-o..html?page_id=141847, Klinická logopédia,Trenčiansky,Trenčín
"Neurologická ambulancia, MUDr. Andrej Blaho, PhD., Trenčín, (AB NEURO, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/neurologicka-ambulancia-mudr.-andrej-blaho-phd.-trencin-ab-neuro.html?page_id=141843, Neurológia,Trenčiansky,Trenčín
"Ambulancia dentálnej hygieny, Bc. Katarína Gašová, Trenčín, (Bc. Katarína Gašová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-dentalnej-hygieny-bc.-katarina-gasova-trencin-bc.-katarina-gasova.html?page_id=141690, Dentálna hygiena,Trenčiansky,Trenčín
"Neurologická ambulancia, MUDr. Marek Bojda, Trenčín, (Neuro TN s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/neurologicka-ambulancia-mudr.-marek-bojda-trencin-neuro-tn.html?page_id=141506, Neurológia,Trenčiansky,Trenčín
"Angiologická ambulancia, MUDr. Marek Šumaj, Trenčín, (Venasum s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/angiologicka-ambulancia-mudr.-marek-sumaj-trencin-venasum.html?page_id=141352, Angiológia,Trenčiansky,Trenčín
"Ambulancia zubného lekárstva, MDDr. Richard Glonek, Trenčianska Turná, (Glonek dent s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-zubneho-lekarstva-mddr.-richard-glonek-trencianska-turna-glonek-dent.html?page_id=141088, Zubné lekárstvo,Trenčiansky,Trenčín
"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Mandincová, Trenčín, (ESM Med, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-eva-mandincova-trencin-esm-med.html?page_id=141086, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Trenčín
"Jednodňová zdravotná starostlivosť, anestéziológia a intenzívna medicína, Trenčín, (PRIVÁTNA UROLOGICKÁ AMBULANCIA s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/jednodnova-zdravotna-starostlivost-anesteziologia-a-intenzivna-medicina-trencin-privatna-urologicka-ambulancia.html?page_id=140917, Anestéziológia a intenzívna medicína,Trenčiansky,Trenčín
"Ambulancia zubného lekárstva, MUDr. Jozef Latkóczy, Trenčianske Teplice, (JL Stomatology s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/ambulancia-zubneho-lekarstva-mudr.-jozef-latkoczy-trencianske-teplice-jl-stomatology.html?page_id=140684, Zubné lekárstvo,Trenčiansky,Trenčín
"Jednodňová zdravotná starostlivosť, urológia, MUDr. Roman Sokol, MPH, Trenčín, (PRIVÁTNA UROLOGICKÁ AMBULANCIA s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/jednodnova-zdravotna-starostlivost-urologia-mudr.-roman-sokol-mph-trencin-privatna-urologicka-ambulancia.html?page_id=140530, Urológia,Trenčiansky,Trenčín
"Všeobecná ambulancia pre dospelých, MUDr. Jozef Škunta, Nemšová, (MUDr. Jozef Škunta, PLD, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/trencin/vseobecna-ambulancia-pre-dospelych-mudr.-jozef-skunta-nemsova-mudr.-jozef-skunta-pld-s.-r.-o..html?page_id=140391, Všeobecné lekárstvo,Trenčiansky,Trenčín
