title,doctor_url,specialization,kraj,okres
"Všeobecná ambulancia pre deti a dorast, Šamorín, (Rescue - BH, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/vseobecna-ambulancia-pre-deti-a-dorast-samorin-rescue-bh-s.-r.-o..html?page_id=143798, Všeobecná starostlivosť o deti a dorast,Trnavský,Dunajská Streda
"Všeobecná ambulancia pre deti a dorast, Zlaté Klasy, (MARPED s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/vseobecna-ambulancia-pre-deti-a-dorast-zlate-klasy-marped.html?page_id=143676, Všeobecná starostlivosť o deti a dorast,Trnavský,Dunajská Streda
"Ambulancia vnútorného lekárstva, Lehnice, (MEDICARE SAMARIA s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-vnutorneho-lekarstva-lehnice-medicare-samaria.html?page_id=143591, Vnútorné lekárstvo,Trnavský,Dunajská Streda
"Ambulancia pediatrickej pneumológie a ftizeológie, Šamorín, (Rescue - BH, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-pediatrickej-pneumologie-a-ftizeologie-samorin-rescue-bh-s.-r.-o..html?page_id=143541, Pediatrická pneumológia a ftizeológia,Trnavský,Dunajská Streda
"Všeobecná ambulancia pre dospelých, Lehnice, (MEDICARE SAMARIA s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/vseobecna-ambulancia-pre-dospelych-lehnice-medicare-samaria.html?page_id=143471, Všeobecné lekárstvo,Trnavský,Dunajská Streda
"Gynekologická ambulancia, Lehnice, (KMEŤ gyn. amb., s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/gynekologicka-ambulancia-lehnice-kmet-gyn.-amb..html?page_id=143311, Gynekológia a pôrodníctvo,Trnavský,Dunajská Streda
"Kardiologická ambulancia, Šamorín, (Luxicor s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/kardiologicka-ambulancia-samorin-luxicor.html?page_id=143273, Kardiológia,Trnavský,Dunajská Streda
"Ambulancia klinickej psychológie, Lehnice, (L'élek Pont s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-klinickej-psychologie-lehnice-lelek-pont-s.-r.-o..html?page_id=143075," Klinická psychológia, Psychoterapia",Trnavský,Dunajská Streda
"Ortopedická ambulancia, Dunajská Streda, (SAGAX, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ortopedicka-ambulancia-dunajska-streda-sagax.html?page_id=142517, Ortopédia,Trnavský,Dunajská Streda
"Jednodňová zdravotná starostlivosť, ortopédia, Dunajská Streda, (SAGAX, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/jednodnova-zdravotna-starostlivost-ortopedia-dunajska-streda-sagax.html?page_id=142518, Ortopédia,Trnavský,Dunajská Streda
"Ambulancia telovýchovného lekárstva, Lehnice, (MEDICARE SAMARIA s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-telovychovneho-lekarstva-lehnice-medicare-samaria.html?page_id=142210, Telovýchovné lekárstvo,Trnavský,Dunajská Streda
"Ambulancia zubného lekárstva, Šamorín, (MDDr. Branislava Pírková, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-zubneho-lekarstva-samorin-mddr.-branislava-pirkova-s.-r.-o..html?page_id=142157," Zubné lekárstvo, Dentoalveolárna chirurgia",Trnavský,Dunajská Streda
"Všeobecná ambulancia pre deti a dorast, Lehnice, (MEDICARE SAMARIA s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/vseobecna-ambulancia-pre-deti-a-dorast-lehnice-medicare-samaria.html?page_id=142093, Všeobecná starostlivosť o deti a dorast,Trnavský,Dunajská Streda
"Ambulancia zubného lekárstva, Lehnice, (Dr. Martin Lehnice s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-zubneho-lekarstva-lehnice-dr.-martin-lehnice.html?page_id=141778, Zubné lekárstvo,Trnavský,Dunajská Streda
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Lehnice, (VITA LEHNICE, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-lehnice-vita-lehnice.html?page_id=141682," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Dunajská Streda
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Lehnice, (VITA LEHNICE, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-lehnice-vita-lehnice.html?page_id=141681," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Dunajská Streda
"Ambulancia zubného lekárstva, Šamorín, (Dentes+ s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-zubneho-lekarstva-samorin-dentes.html?page_id=141519, Zubné lekárstvo,Trnavský,Dunajská Streda
"Ambulancia zubného lekárstva, MDDr. Norbert Busnyák, Dunajská Streda, (Creative Dental Clinic, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-zubneho-lekarstva-mddr.-norbert-busnyak-dunajska-streda-creative-dental-clinic.html?page_id=141429, Zubné lekárstvo,Trnavský,Dunajská Streda
"Ambulancia pracovného lekárstva, Dunajská Streda, (TeamPrevent Santé s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-pracovneho-lekarstva-dunajska-streda-teamprevent-sante-s.-r.-o.-2.html?page_id=141404, Pracovné lekárstvo,Trnavský,Dunajská Streda
"Endokrinologická ambulancia, Dunajská Streda, (Thy-Márm s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/endokrinologicka-ambulancia-dunajska-streda-thy-marm.html?page_id=141394, Endokrinológia,Trnavský,Dunajská Streda
"Ambulancia zubného lekárstva, Dunajská Streda, (Clinica dentale, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-zubneho-lekarstva-dunajska-streda-clinica-dentale-s.-r.-o..html?page_id=141251, Zubné lekárstvo,Trnavský,Dunajská Streda
"Oftalmologická ambulancia, Šamorín, (RIMADO s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/oftalmologicka-ambulancia-samorin-rimado.html?page_id=140930, Oftalmológia,Trnavský,Dunajská Streda
"Neurologická ambulancia, MUDr. Oliver Lešický, Šamorín, (MEDICARE SAMARIA s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/neurologicka-ambulancia-mudr.-oliver-lesicky-samorin-medicare-samaria.html?page_id=140915, Neurológia,Trnavský,Dunajská Streda
"Ambulancia zubného lekárstva, Čiližská Radvaň, (TomStom, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-zubneho-lekarstva-cilizska-radvan-tomstom-s.-r.-o..html?page_id=140852, Zubné lekárstvo,Trnavský,Dunajská Streda
"Ortopedická ambulancia, Dunajská Streda, (RehabMed, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ortopedicka-ambulancia-dunajska-streda-rehabmed.html?page_id=140810, Ortopédia,Trnavský,Dunajská Streda
"Ambulancia zubného lekárstva, Šamorín, (MUDr. Hausnerová Dent s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-zubneho-lekarstva-samorin-mudr.-hausnerova-dent-s.-r.-o..html?page_id=140699, Zubné lekárstvo,Trnavský,Dunajská Streda
"Gynekologická ambulancia, Gabčíkovo, (KMEŤ gyn. amb., s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/gynekologicka-ambulancia-gabcikovo-kmet-gyn.-amb..html?page_id=140424, Gynekológia a pôrodníctvo,Trnavský,Dunajská Streda
"SVaLZ, fyzioterapia, Dunajská Streda, (Mgr. Noémi Tóthová)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/svalz-fyzioterapia-dunajska-streda-mgr.-noemi-tothova.html?page_id=140348, Fyzioterapia,Trnavský,Dunajská Streda
"Ambulancia zubného lekárstva, Dunajská Streda, (DentalARTists, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-zubneho-lekarstva-dunajska-streda-dentalartists-s.-r.-o..html?page_id=139608," Zubné lekárstvo, Dentoalveolárna chirurgia",Trnavský,Dunajská Streda
"Ambulancia zubného lekárstva, Trhová Hradská, (hordent s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-zubneho-lekarstva-trhova-hradska-hordent.html?page_id=138818, Zubné lekárstvo,Trnavský,Dunajská Streda
"Dispečing dopravnej zdravotnej služby, Šamorín, (Rescue-BH, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/dispecing-dopravnej-zdravotnej-sluzby-samorin-rescue-bh.html?page_id=136744,,Trnavský,Dunajská Streda
"SVaLZ, rádiológia, Veľký Meder, (MEDIC-UM s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/svalz-radiologia-velky-meder-medic-um.html?page_id=136174, Rádiológia,Trnavský,Dunajská Streda
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Šamorín, (FYZIOBET s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-samorin-fyziobet.html?page_id=135511," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Dunajská Streda
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Šamorín, (FYZIOBET s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-samorin-fyziobet.html?page_id=135512," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Dunajská Streda
"Všeobecná ambulancia pre dospelých, Dunajská Streda, (Harmonia practice s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/vseobecna-ambulancia-pre-dospelych-dunajska-streda-harmonia-practice.html?page_id=135500, Všeobecné lekárstvo,Trnavský,Dunajská Streda
"Všeobecná ambulancia pre deti a dorast, Dunajská Streda, (Pediatamb s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/vseobecna-ambulancia-pre-deti-a-dorast-dunajska-streda-pediatamb.html?page_id=135460, Všeobecná starostlivosť o deti a dorast,Trnavský,Dunajská Streda
"Všeobecná ambulancia pre deti a dorast, Vrakúň, (Pediatamb s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/vseobecna-ambulancia-pre-deti-a-dorast-vrakun-pediatamb.html?page_id=135461, Všeobecná starostlivosť o deti a dorast,Trnavský,Dunajská Streda
"Otorinolaryngologická ambulancia, Dunajská Streda, (Medical DS s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/otorinolaryngologicka-ambulancia-dunajska-streda-medical-ds.html?page_id=135458, Otorinolaryngológia,Trnavský,Dunajská Streda
"Otorinolaryngologická ambulancia, Veľký Meder, (Medical DS s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/otorinolaryngologicka-ambulancia-velky-meder-medical-ds.html?page_id=135457, Otorinolaryngológia,Trnavský,Dunajská Streda
"Všeobecná ambulancia pre dospelých, Šamorín, (SALIS s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/vseobecna-ambulancia-pre-dospelych-samorin-salis.html?page_id=135337, Všeobecné lekárstvo,Trnavský,Dunajská Streda
"Oftalmologická ambulancia, Šamorín, (SAMALUX, spol. s r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/oftalmologicka-ambulancia-samorin-samalux-spol.-s-r.o..html?page_id=135075, Oftalmológia,Trnavský,Dunajská Streda
"Všeobecná ambulancia pre deti a dorast, Veľký Meder, (ValueCompass s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/vseobecna-ambulancia-pre-deti-a-dorast-velky-meder-valuecompass-s.-r.-o..html?page_id=135031, Všeobecná starostlivosť o deti a dorast,Trnavský,Dunajská Streda
"Ambulancia rýchlej zdravotnej pomoci, Horné Janíky, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-rychlej-zdravotnej-pomoci-horne-janiky-zachranna-zdravotna-sluzba-bratislava.html?page_id=134777, Rýchla zdravotná pomoc,Trnavský,Dunajská Streda
"Ambulancia rýchlej lekárskej pomoci, Šamorín, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ambulancia-rychlej-lekarskej-pomoci-samorin-lse-life-star-emergency.html?page_id=134764, Rýchla lekárska pomoc,Trnavský,Dunajská Streda
"Ortopedická ambulancia, Šamorín, (Ortotické centrum s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/dunajska-streda/ortopedicka-ambulancia-samorin-ortoticke-centrum.html?page_id=134629, Ortopédia,Trnavský,Dunajská Streda
