title,doctor_url,specialization,kraj,okres
"Gynekologická ambulancia, Šintava, (FemiGyn s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/gynekologicka-ambulancia-sintava-femigyn-s.-r.-o.-1.html?page_id=143537, Gynekológia a pôrodníctvo,Trnavský,Galanta
"SVaLZ, rádiológia, Galanta, (SIBAD, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/svalz-radiologia-galanta-sibad.html?page_id=143415, Rádiológia,Trnavský,Galanta
"Ambulancia zubného lekárstva, Galanta, (ZUBGA s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/ambulancia-zubneho-lekarstva-galanta-zubga.html?page_id=143348, Zubné lekárstvo,Trnavský,Galanta
"Všeobecná ambulancia pre deti a dorast, Sereď, (Keramed, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/vseobecna-ambulancia-pre-deti-a-dorast-sered-keramed-s.-r.-o..html?page_id=143333, Všeobecná starostlivosť o deti a dorast,Trnavský,Galanta
"Ambulancia zubného lekárstva, Galanta, (Pavel Harbuz)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/ambulancia-zubneho-lekarstva-galanta-pavel-harbuz.html?page_id=142600, Zubné lekárstvo,Trnavský,Galanta
"SVaLZ, fyzioterapia, Galanta, (Mgr. Petra Borisová)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/svalz-fyzioterapia-galanta-mgr.-petra-borisova.html?page_id=142438, Fyzioterapia,Trnavský,Galanta
"ADOS Freya, Štvrť SNP, Galanta, (ADOS Freya s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/ados-freya-stvrt-snp-galanta-ados-freya-s.-r.-o..html?page_id=142287, Domáca ošetrovateľská starostlivosť,Trnavský,Galanta
"Ados ADVENA, D. Štúra, Sereď, (LAFI-TON s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/ados-advena-d.-stura-sered-lafi-ton-s.-r.-o..html?page_id=141821, Domáca ošetrovateľská starostlivosť,Trnavský,Galanta
"Ambulancia dentálnej hygieny, Galanta, (Zentist s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/ambulancia-dentalnej-hygieny-galanta-zentist-s.-r.-o..html?page_id=141683, Dentálna hygiena,Trnavský,Galanta
"Ambulancia pracovného lekárstva, Sereď, (TeamPrevent Santé s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/ambulancia-pracovneho-lekarstva-sered-teamprevent-sante-s.-r.-o..html?page_id=141674, Pracovné lekárstvo,Trnavský,Galanta
"SVaLZ, rádiológia, Galanta, (RTG Dental s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/galanta/svalz-radiologia-galanta-rtg-dental.html?page_id=141436, Rádiológia,Trnavský,Galanta
