title,doctor_url,specialization,kraj,okres
"SVaLZ, rádiológia, Hlohovec, (Diagnostické centrum Hlohovec s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/svalz-radiologia-hlohovec-diagnosticke-centrum-hlohovec.html?page_id=143577, Rádiológia,Trnavský,Hlohovec
"SVaLZ, počítačová tomografia - CT, Hlohovec, (Diagnostické centrum Hlohovec s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/svalz-pocitacova-tomografia-ct-hlohovec-diagnosticke-centrum-hlohovec.html?page_id=143578, Počítačová tomografia - CT,Trnavský,Hlohovec
"SVaLZ, fyzioterapia, Hlohovec, (Občianske združenie ""JA SÁM"")",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/svalz-fyzioterapia-hlohovec-obcianske-zdruzenie-ja-sam.html?page_id=141889," Fyzioterapia, Fyzioterapia funkčných a štrukturálnych porúch pohybového systému, Mobilizačné techniky, Reflexná terapia podľa Vojtu",Trnavský,Hlohovec
"SVaLZ, fyzioterapia, Hlohovec, (Rehabilitačná nemocnica Hlohovec s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/svalz-fyzioterapia-hlohovec-rehabilitacna-nemocnica-hlohovec.html?page_id=140634, Fyzioterapia,Trnavský,Hlohovec
"Ambulancia rýchlej zdravotnej pomoci, Leopoldov, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/ambulancia-rychlej-zdravotnej-pomoci-leopoldov-lse-life-star-emergency.html?page_id=133074, Rýchla zdravotná pomoc,Trnavský,Hlohovec
"Ambulancia rýchlej lekárskej pomoci, Hlohovec, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/ambulancia-rychlej-lekarskej-pomoci-hlohovec-lse-life-star-emergency.html?page_id=133075, Rýchla lekárska pomoc,Trnavský,Hlohovec
"SVaLZ, liečebná rehabilitácia a fyzioterapia porúch vybraných systémov, Hlohovec, (Centrum Natália)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/svalz-liecebna-rehabilitacia-a-fyzioterapia-poruch-vybranych-systemov-hlohovec-centrum-natalia.html?page_id=133033, Liečebná rehabilitácia a fyzioterapia porúch vybraných systémov,Trnavský,Hlohovec
"Ambulancia zubného lekárstva, Hlohovec, (MUDr. Roman Martončík)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/ambulancia-zubneho-lekarstva-hlohovec-mudr.-roman-martoncik.html?page_id=132488, Zubné lekárstvo,Trnavský,Hlohovec
"Všeobecná ambulancia pre dospelých, Hlohovec, (MUDr. Martin Ziman)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/vseobecna-ambulancia-pre-dospelych-hlohovec-mudr.-martin-ziman.html?page_id=132300,!,Trnavský,Hlohovec
"Ambulancia zubného lekárstva, Hlohovec, (Andel Dental, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/ambulancia-zubneho-lekarstva-hlohovec-andel-dental.html?page_id=130747, Zubné lekárstvo,Trnavský,Hlohovec
"Ambulancia čeľustnej ortopédie, Hlohovec, (Andel Dental, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/hlohovec/ambulancia-celustnej-ortopedie-hlohovec-andel-dental.html?page_id=130748, čeľustná ortopédia,Trnavský,Hlohovec
