title,doctor_url,specialization,kraj,okres
"Ambulancia zubného lekárstva, Piešťany, (AMA DENTAL s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-zubneho-lekarstva-piestany-ama-dental.html?page_id=143672, Zubné lekárstvo,Trnavský,Pieštany
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Piešťany, (Alpha H.R. s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-piestany-alpha-h.r..html?page_id=143634," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Pieštany
"Všeobecná ambulancia pre dospelých, Vrbové, (KARABA, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/vseobecna-ambulancia-pre-dospelych-vrbove-karaba.html?page_id=143424, Všeobecné lekárstvo,Trnavský,Pieštany
"Chirurgická ambulancia, Piešťany, (CHIR-EK, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/chirurgicka-ambulancia-piestany-chir-ek.html?page_id=143073, Chirurgia,Trnavský,Pieštany
"Ambulancia zubného lekárstva, Piešťany, (Stomatológia LS s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-zubneho-lekarstva-piestany-stomatologia-ls-s.-r.-o..html?page_id=142520, Zubné lekárstvo,Trnavský,Pieštany
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Piešťany, (VERTEBRA, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-piestany-vertebra-1.html?page_id=142385," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Pieštany
"Neurologická ambulancia, Piešťany, (VERTEBRA, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/neurologicka-ambulancia-piestany-vertebra-1.html?page_id=142386, Neurológia,Trnavský,Pieštany
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Piešťany, (PRO LIBERTAS, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-piestany-pro-libertas-s.-r.-o..html?page_id=142309," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Pieštany
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Piešťany, (PRO LIBERTAS, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-piestany-pro-libertas-s.-r.-o..html?page_id=142307," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Pieštany
"Dermatovenerologická ambulancia, Piešťany, (PRO LIBERTAS, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/dermatovenerologicka-ambulancia-piestany-pro-libertas-s.-r.-o..html?page_id=142308, Dermatovenerológia,Trnavský,Pieštany
"Ambulancia klinickej psychológie, Piešťany, (PhDr. Zuzana Mičková PhD., s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-klinickej-psychologie-piestany-phdr.-zuzana-mickova-phd..html?page_id=142233," Klinická psychológia, Dopravná psychológia",Trnavský,Pieštany
"Stacionár, fyziatria, balneológia a liečebná rehabilitácia, Piešťany, (AXIS Rehab s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/stacionar-fyziatria-balneologia-a-liecebna-rehabilitacia-piestany-axis-rehab-s.-r.-o..html?page_id=142156," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Pieštany
"Ambulancia zubného lekárstva, Piešťany, (RK - dental, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-zubneho-lekarstva-piestany-rk-dental-1.html?page_id=141988, Zubné lekárstvo,Trnavský,Pieštany
"Ambulancia klinickej imunológie a alergológie, Piešťany, (Imunosiv s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-klinickej-imunologie-a-alergologie-piestany-imunosiv.html?page_id=141968, Klinická imunológia a alergológia,Trnavský,Pieštany
"Ortopedická ambulancia, Piešťany, (Ortomed MN s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ortopedicka-ambulancia-piestany-ortomed-mn-s.-r.-o..html?page_id=141555, Ortopédia,Trnavský,Pieštany
"ADOS, Ulica Jána Zigmundíka, Vrbové, (Dotyk Života, o.z.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ados-ulica-jana-zigmundika-vrbove-dotyk-zivota-o.z..html?page_id=141528, Domáca ošetrovateľská starostlivosť,Trnavský,Pieštany
"Ambulancia čeľustnej ortopédie, Piešťany, (La clinic s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-celustnej-ortopedie-piestany-la-clinic.html?page_id=140806, čeľustná ortopédia,Trnavský,Pieštany
"Jednodňová zdravotná starostlivosť, chirurgia, Piešťany, (Medicentrum PN, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/jednodnova-zdravotna-starostlivost-chirurgia-piestany-medicentrum-pn.html?page_id=140285, Chirurgia,Trnavský,Pieštany
"Jednodňová zdravotná starostlivosť, ortopédia, Piešťany, (Medicentrum PN, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/jednodnova-zdravotna-starostlivost-ortopedia-piestany-medicentrum-pn.html?page_id=140286, Ortopédia,Trnavský,Pieštany
"Jednodňová zdravotná starostlivosť, otorinolaryngológia, Piešťany, (Medicentrum PN, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/jednodnova-zdravotna-starostlivost-otorinolaryngologia-piestany-medicentrum-pn.html?page_id=140284, Otorinolaryngológia,Trnavský,Pieštany
"Otorinolaryngologická ambulancia, Piešťany, (Medicentrum PN, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/otorinolaryngologicka-ambulancia-piestany-medicentrum-pn-2.html?page_id=140274," Otorinolaryngológia, Foniatria",Trnavský,Pieštany
"Otorinolaryngologická ambulancia, Piešťany, (Medicentrum PN, s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/otorinolaryngologicka-ambulancia-piestany-medicentrum-pn-1.html?page_id=140233, Otorinolaryngológia,Trnavský,Pieštany
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Piešťany, (HOREZZA, a.s.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-piestany-horezza-a.s..html?page_id=138819," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Pieštany
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Piešťany, (HOREZZA, a.s.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-piestany-horezza-a.s..html?page_id=138820," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Pieštany
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Piešťany, (HENDI CENTRUM s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-piestany-hendi-centrum-s.-r.-o..html?page_id=136150," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Pieštany
"Ambulancia klinickej logopédie, Piešťany, (HENDI CENTRUM s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-klinickej-logopedie-piestany-hendi-centrum-s.-r.-o..html?page_id=136151, Klinická logopédia,Trnavský,Pieštany
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Piešťany, (HENDI CENTRUM s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-piestany-hendi-centrum-s.-r.-o..html?page_id=136152," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Pieštany
"Ambulancia klinickej imunológie a alergológie, Piešťany, (ImuAlergo s.r.o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-klinickej-imunologie-a-alergologie-piestany-imualergo.html?page_id=136028, Klinická imunológia a alergológia,Trnavský,Pieštany
"Oftalmologická ambulancia, Piešťany, (EBO, s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/oftalmologicka-ambulancia-piestany-ebo-s.-r.-o..html?page_id=136026, Oftalmológia,Trnavský,Pieštany
"Ambulancia klinickej logopédie, Piešťany, (AXIS Rehab s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-klinickej-logopedie-piestany-axis-rehab-s.-r.-o..html?page_id=135716, Klinická logopédia,Trnavský,Pieštany
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Piešťany, (AXIS Rehab s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/svalz-fyziatria-balneologia-a-liecebna-rehabilitacia-piestany-axis-rehab-s.-r.-o..html?page_id=135717," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Pieštany
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Piešťany, (AXIS Rehab s. r. o.)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/ambulancia-fyziatrie-balneologie-a-liecebnej-rehabilitacie-piestany-axis-rehab-s.-r.-o..html?page_id=135715," Fyziatria, balneológia a liečebná rehabilitácia",Trnavský,Pieštany
"SVaLZ, rádiológia, Piešťany, (MUDr. Čupka Andrej)",https://www.e-vuc.sk/ttsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/piestany/svalz-radiologia-piestany-mudr.-cupka-andrej.html?page_id=135177, Rádiológia,Trnavský,Pieštany
